Time,accX,accY,accZ
1583284345962,0.5693078,-8.594429,4.2950997
1583284346013,0.62277925,-8.541324,4.332958
1583284346063,0.5973329,-8.532356,4.359658
1583284346112,0.53442687,-8.639362,4.3671913
1583284346163,0.5488378,-8.529831,4.326376
1583284346213,0.4713433,-8.535209,4.4027843
1583284346262,0.54760855,-8.555206,4.389372
1583284346312,0.58017045,-8.540784,4.3830066
1583284346363,0.5212397,-8.539005,4.39116
1583284346413,0.5636302,-8.527811,4.4180255
1583284346462,0.48050982,-8.439458,4.5841827
1583284346512,0.49398664,-8.521063,4.3423443
1583284346562,0.50111896,-8.5993595,4.3130713
1583284346613,0.42923883,-8.639351,4.2515144
1583284346662,0.45856017,-8.619258,4.23965
1583284346713,0.48331973,-8.658256,4.184153
1583284346762,0.4796459,-8.581859,4.282582
1583284346812,0.45628422,-8.658395,4.253322
1583284346863,0.4785889,-8.527189,4.288052
1583284346913,0.50394344,-8.608145,4.2660103
1583284346963,0.49229592,-8.568379,4.3325725
1583284347012,0.45030606,-8.643249,4.210411
1583284347063,0.5026411,-8.584768,4.3565555
1583284347112,0.51499254,-8.550831,4.2813673
1583284347163,0.479545,-8.618366,4.376675
1583284347212,0.632854,-8.559345,4.3630066
1583284347262,0.47298223,-8.545004,4.301346
1583284347313,0.5445473,-8.58607,4.403295
1583284347363,0.59936,-8.490423,4.4795346
1583284347412,0.6062953,-8.372075,4.5828533
1583284347462,0.65252286,-8.449997,4.590201
1583284347513,0.6768704,-8.473727,4.5616055
1583284347563,0.63053846,-8.4786005,4.5232325
1583284347612,0.6530743,-8.390675,4.6033826
1583284347663,0.72091097,-8.45614,4.5951667
1583284347712,0.6946326,-8.413761,4.6353917
1583284347763,0.68898106,-8.380827,4.678521
1583284347813,0.68540835,-8.42976,4.6547184
1583284347863,0.6984042,-8.398987,4.6665936
1583284347912,0.67979527,-8.390894,4.6666856
1583284347962,0.7025105,-8.36225,4.726976
1583284348012,0.69621783,-8.345131,4.7201724
1583284348063,0.70839554,-8.402783,4.7024913
1583284348113,0.6787611,-8.352624,4.706317
1583284348162,0.6789914,-8.382326,4.75002
1583284348213,0.7153245,-8.338197,4.776358
1583284348262,0.6087857,-8.32217,4.711644
1583284348312,0.6832058,-8.3978405,4.733113
1583284348362,0.6902726,-8.3834305,4.7517014
1583284348413,0.6417342,-8.34518,4.7305837
1583284348462,0.63707626,-8.345995,4.7590113
1583284348513,0.633041,-8.3257265,4.777398
1583284348562,0.6649307,-8.334554,4.7521415
1583284348612,0.6413171,-8.395606,4.733323
1583284348662,0.6733523,-8.373247,4.7401724
1583284348712,0.65808314,-8.362187,4.744139
1583284348763,0.6288326,-8.342298,4.7392554
1583284348813,0.61674875,-8.356287,4.7615566
1583284348863,0.63363075,-8.323137,4.787083
1583284348912,0.6247942,-8.340633,4.7529745
1583284348963,0.623459,-8.321966,4.7419558
1583284349013,0.6439351,-8.398415,4.6394835
1583284349062,0.608528,-8.548725,4.4477468
1583284349112,0.5711528,-8.538105,4.474808
1583284349162,0.57543015,-8.489883,4.5370965
1583284349213,0.6036052,-8.495189,4.3846793
1583284349262,0.5843975,-8.530793,4.51448
1583284349313,0.593484,-8.496418,4.460676
1583284349362,0.60584915,-8.528216,4.4191923
1583284349412,0.5667225,-8.485634,4.4958415
1583284349463,0.57655054,-8.494206,4.498961
1583284349513,0.6196325,-8.40639,4.542717
1583284349563,0.5768671,-8.542878,4.4703717
1583284349613,0.53974676,-8.5543585,4.418514
1583284349663,0.55411357,-8.501724,4.4540353
1583284349712,0.5743827,-8.465531,4.5021873
1583284349763,0.6469359,-8.539407,4.4673285
1583284349812,0.61626595,-8.458335,4.5309525
1583284349863,0.6073882,-8.47566,4.549928
1583284349913,0.6416973,-8.475167,4.5298686
1583284349963,0.6083396,-8.425187,4.503484
1583284350012,0.52897584,-8.509406,4.48183
1583284350063,0.60838675,-8.52342,4.531237
1583284350112,0.556663,-8.459875,4.447097
1583284350163,0.5684089,-8.48546,4.4956064
1583284350212,0.63635546,-8.515761,4.4517746
1583284350262,0.5735135,-8.514101,4.4382763
1583284350312,0.5927946,-8.535107,4.4429593
1583284350363,0.5476116,-8.511992,4.477621
1583284350413,0.51465756,-8.501446,4.450731
1583284350462,0.6063722,-8.512135,4.431951
1583284350513,0.6176901,-8.497779,4.4827366
1583284350563,0.5724656,-8.575375,4.3730035
1583284350613,0.53552246,-8.554208,4.3045077
1583284350663,0.55353963,-8.61913,4.3141437
1583284350713,0.5371765,-8.535027,4.3596845
1583284350762,0.5800186,-8.609983,4.302861
1583284350813,0.5649659,-8.56852,4.323333
1583284350862,0.6245441,-8.563257,4.3257594
1583284350913,0.61623466,-8.612962,4.2815824
1583284350962,0.6306401,-8.603952,4.2801647
1583284351012,0.61243224,-8.554479,4.4400353
1583284351062,0.60560006,-8.444829,4.536821
1583284351113,0.5635465,-8.409694,4.6128316
1583284351162,0.56755024,-8.354459,4.708075
1583284351213,0.60751045,-8.377504,4.6954145
1583284351262,0.5285705,-8.446595,4.600063
1583284351312,0.59902006,-8.404232,4.6874447
1583284351362,0.5882004,-8.255346,4.8140945
1583284351413,0.5906328,-8.334586,4.764307
1583284351462,0.66091365,-8.458111,4.668714
1583284351513,0.6410192,-8.384117,4.709975
1583284351563,0.5807042,-8.360192,4.710602
1583284351612,0.6366108,-8.341841,4.734557
1583284351663,0.65097857,-8.397219,4.729779
1583284351712,0.6798066,-8.335349,4.804261
1583284351763,0.6908797,-8.235725,4.9213367
1583284351813,0.74083936,-8.287645,4.8729005
1583284351862,0.71095824,-8.316501,4.7927938
1583284351913,0.77068925,-8.294348,4.867409
1583284351963,0.753589,-8.347223,4.8337274
1583284352012,0.7124775,-8.280291,4.8361444
1583284352063,0.7878958,-8.331762,4.8833947
1583284352112,0.7447284,-8.261294,4.8378997
1583284352162,0.7192676,-8.280877,4.877957
1583284352212,0.78697187,-8.305565,4.854974
1583284352262,0.76112777,-8.295209,4.865316
1583284352312,0.686395,-8.236583,4.891366
1583284352363,0.74269396,-8.313796,4.8184876
1583284352412,0.7107552,-8.501402,4.5526457
1583284352463,0.759753,-8.510594,4.5083237
1583284352512,0.67340624,-8.446751,4.5991635
1583284352562,0.71460533,-8.423206,4.572718
1583284352612,0.7019621,-8.41739,4.579482
1583284352662,0.69774586,-8.507545,4.52093
1583284352713,0.7468279,-8.450284,4.525634
1583284352763,0.6540331,-8.602939,4.4098406
1583284352813,0.6570745,-8.396868,4.550393
1583284352863,0.62968385,-8.4918165,4.521014
1583284352912,0.59472156,-8.461889,4.5406666
1583284352962,0.6581255,-8.396619,4.5993733
1583284353013,0.60987437,-8.454601,4.5164433
1583284353062,0.68482155,-8.655093,4.3261943
1583284353113,0.5737041,-8.514524,4.4667797
1583284353162,0.57523215,-8.538962,4.4881773
1583284353213,0.5683625,-8.387904,4.607586
1583284353262,0.5612035,-8.480914,4.558364
1583284353312,0.49637118,-8.5236,4.59983
1583284353362,0.27601492,-8.47941,4.707795
1583284353412,-0.9420327,-8.683992,4.5293565
1583284353463,-1.9982709,-7.7781887,4.1084805
1583284353513,-1.4039837,-6.513013,3.9689665
1583284353562,-0.21719217,-5.995438,3.7367225
1583284353613,0.22678798,-6.232112,3.6023114
1583284353662,0.28511274,-7.607836,4.632821
1583284353712,0.18423295,-8.767002,4.9615574
1583284353762,0.6722903,-8.877499,5.660173
1583284353813,0.18708993,-8.02745,4.5954394
1583284353863,-1.0098289,-8.594159,4.4837112
1583284353912,-2.172389,-9.635176,4.368382
1583284353962,-3.4661121,-8.550545,3.773182
1583284354013,-4.3303246,-8.382054,2.5389442
1583284354063,-5.560278,-7.6030636,1.9571394
1583284354112,-6.630479,-7.878662,1.3352437
1583284354163,-7.5860634,-7.2521744,2.0693479
1583284354212,-7.4410567,-7.9685564,1.3249333
1583284354263,-7.1065683,-8.134113,1.6640327
1583284354313,-6.680422,-7.0585647,1.5791415
1583284354362,-6.3749895,-6.5502152,1.8543125
1583284354413,-6.509972,-6.4410048,2.715937
1583284354462,-6.5446935,-6.0722823,2.9308953
1583284354512,-6.9025764,-6.5343003,3.193767
1583284354562,-7.3962893,-6.8218646,3.7040162
1583284354613,-7.332612,-5.3098874,3.2690544
1583284354662,-7.20201,-5.688412,2.816023
1583284354713,-7.131011,-5.747921,3.0510292
1583284354762,-7.193219,-5.600172,3.1116374
1583284354813,-7.1533194,-5.6568255,3.048101
1583284354862,-7.1046844,-5.653977,3.0631819
1583284354912,-7.12003,-5.7103744,3.0968132
1583284354963,-7.156049,-5.655982,3.0429435
1583284355012,-7.1112432,-5.653075,3.0633914
1583284355063,-7.0682225,-5.717669,3.0553627
1583284355112,-7.0428157,-5.7717056,3.0805652
1583284355163,-7.1455107,-5.6609674,3.0686991
