Time,accX,accY,accZ
1583282031737,-2.4943151,-2.3436348,9.791731
1583282031787,-3.212399,-3.793108,8.158059
1583282031837,-4.1218214,-5.6701994,3.3339005
1583282031887,-4.2709274,-5.1771064,-0.75806016
1583282031937,-3.9422827,-5.377164,-3.843103
1583282031987,-3.3838305,-5.3401833,-6.014332
1583282032037,-3.6150846,-4.9660707,-7.252677
1583282032087,-2.9189653,-4.5309315,-9.013735
1583282032137,-2.2813134,-4.057754,-10.19998
1583282032186,-2.079121,-3.5483203,-10.253813
1583282032237,-2.2079806,-2.9935417,-9.432444
1583282032287,-1.7263085,-4.0817513,-9.46733
1583282032337,-1.3704213,-3.386353,-9.6046505
1583282032387,-1.1445227,-2.3716092,-9.426911
1583282032436,-1.1001496,-2.684291,-8.928978
1583282032486,-1.3472333,-3.0838137,-8.833704
1583282032537,-1.1522769,-4.62813,-8.818442
1583282032586,-0.8545422,-3.8887396,-8.867606
1583282032637,-0.7549865,-3.2219443,-8.76346
1583282032686,-0.7697524,-3.9406528,-8.792967
1583282032737,-0.9115723,-4.3641834,-8.525939
1583282032787,-0.7304376,-5.4733434,-8.669252
1583282032837,-0.83038116,-4.6738997,-8.7200775
1583282032887,-0.99298126,-5.646946,-9.16743
1583282032937,-1.9653769,-5.4076424,-7.4527016
1583282032987,-1.4641132,-5.65104,-6.7112455
1583282033037,-1.7304274,-6.6333694,-6.200075
1583282033087,-1.8833365,-6.43664,-5.8613806
1583282033136,-1.5103735,-6.792133,-6.2930794
1583282033187,-1.2666742,-6.8304234,-7.044752
1583282033236,-1.5601888,-6.4295034,-7.1665735
1583282033287,-1.82883,-6.393631,-6.773917
1583282033337,-1.778091,-6.324354,-6.508996
1583282033387,-1.4442221,-6.371991,-6.7203116
1583282033437,-1.3163981,-5.746813,-6.6809573
1583282033486,-1.0388623,-6.093092,-7.0116644
1583282033537,-1.0789161,-6.3742294,-7.1301517
1583282033587,-1.1190989,-6.1180367,-7.5362034
1583282033637,-1.1321511,-5.892191,-7.601307
1583282033687,-0.748705,-5.300872,-8.2088375
1583282033737,-0.66603386,-5.396488,-8.143126
1583282033787,-0.7956815,-5.900064,-8.128663
1583282033837,-0.9201496,-5.603838,-7.931158
1583282033887,-0.33785582,-5.73423,-8.397074
1583282033937,-0.4249599,-4.9905834,-8.255001
1583282033986,-0.62086177,-5.0238285,-7.330737
1583282034036,-0.5416008,-5.4779377,-6.944415
1583282034087,-0.7276561,-5.6284313,-6.7225866
1583282034137,-0.7098151,-5.954174,-7.3426466
1583282034186,-0.5783175,-5.8518496,-7.451735
1583282034237,-0.3446092,-5.9160233,-7.513838
1583282034287,-0.27548915,-6.7240677,-7.8619833
1583282034337,-0.17665455,-6.811587,-7.373347
1583282034387,-0.4230851,-7.109235,-7.081209
1583282034437,-0.7373835,-6.2195435,-6.8080063
1583282034487,-0.57001424,-5.3108854,-7.4132457
1583282034537,-0.5996536,-4.9542694,-7.1285186
1583282034586,-0.26212338,-5.35141,-7.797432
1583282034636,-0.6881186,-6.8844028,-7.5466175
1583282034686,-0.27327743,-7.4902306,-7.715966
1583282034737,-0.21174426,-5.517988,-7.8830476
1583282034787,-0.5664203,-6.1420965,-7.1922197
1583282034837,-0.47933033,-7.9320517,-7.2967515
1583282034887,-0.6873516,-7.1767826,-5.895994
1583282034937,-1.1635097,-5.366705,-5.258341
1583282034987,-1.4649509,-6.7435966,-4.9205837
1583282035036,-1.0101888,-7.1105537,-6.7645783
1583282035087,-0.45187473,-7.89474,-7.080717
1583282035137,-0.26189142,-6.787794,-6.9479837
1583282035187,-0.4580968,-6.3338795,-6.5702586
1583282035237,-0.4844181,-5.6358457,-6.6073923
1583282035287,-0.5992986,-6.0665903,-6.5302463
1583282035336,-0.5153887,-6.5779996,-7.046857
1583282035387,-0.5355763,-7.2380276,-7.3948336
1583282035437,-0.8930776,-7.373193,-6.059866
1583282035487,-1.1498537,-7.0976725,-5.739498
1583282035537,-1.8018799,-7.8721156,-6.226797
1583282035587,-2.814219,-8.775921,-5.734101
1583282035637,-3.6268167,-9.970539,-5.6427116
1583282035687,-3.8192058,-10.488739,-5.00177
1583282035737,-3.4914384,-10.111126,-4.527178
1583282035787,-2.1510043,-9.172018,-5.043191
1583282035837,-1.0448761,-7.677402,-4.9296145
1583282035887,-0.3699296,-6.4898663,-3.4883018
1583282035937,0.9774588,-6.851948,-2.4247425
1583282035986,2.1036074,-7.2426243,-4.0587444
1583282036037,1.5361936,-6.9711266,-4.0541935
1583282036087,1.2439555,-7.6837254,-4.205173
1583282036136,1.2106117,-6.4972844,-4.7484016
1583282036187,-0.042651042,-7.583523,-5.6397295
1583282036237,-1.4573722,-9.563017,-5.0666313
1583282036286,-0.5037713,-9.974644,-5.372506
1583282036337,-0.5615394,-10.185192,-7.4459867
1583282036387,-0.0011796877,-7.60392,-6.1831646
1583282036437,0.59899163,-7.2416325,-6.2606115
1583282036486,0.26207447,-6.61294,-5.298599
1583282036537,-0.10338945,-8.116833,-6.436155
1583282036587,-0.29491124,-8.641752,-4.2818146
1583282036637,0.4224701,-8.14058,-3.9761133
1583282036687,0.11642024,-9.072477,-3.5369365
1583282036736,-0.10271991,-8.966783,-3.262948
1583282036787,0.07758042,-9.077364,-3.373703
1583282036837,-0.5964,-8.809809,-3.3316827
1583282036886,-0.20829636,-9.213264,-2.9816024
1583282036937,-0.44460803,-8.96221,-2.486547
1583282036986,-0.21700646,-8.835476,-2.6566415
1583282037037,-0.4846936,-9.062744,-2.780674
1583282037087,-0.34738818,-8.999565,-3.252739
1583282037137,0.009582391,-9.086929,-3.6743956
1583282037186,-0.47846192,-8.60469,-3.123827
1583282037237,-0.35616744,-8.86546,-3.0062807
1583282037287,-0.28891206,-9.199486,-2.4832954
1583282037336,-0.22842342,-9.577342,-2.9439502
1583282037387,-0.3100668,-9.211518,-3.261908
1583282037437,-0.39289296,-8.372652,-3.6343794
1583282037487,-0.32971483,-8.865261,-4.427984
1583282037537,-0.6451148,-8.6145935,-3.6840062
1583282037587,-0.547848,-8.247317,-3.762594
1583282037637,-0.7014861,-8.847935,-4.132378
1583282037687,-0.36942488,-8.233514,-5.8357115
1583282037737,-1.3971367,-8.123549,-4.8781433
1583282037786,-1.1860614,-8.09336,-2.955191
1583282037837,-0.6082594,-9.448969,-3.5621166
1583282037887,-1.9654595,-8.380123,-3.6225746
1583282037937,-1.6597432,-8.3404875,-3.9765806
