Time,rotX,rotY,rotZosboxe
1583285316825,-0.0036217687,-0.002842951,-0.0023555404
1583285316875,-0.0071610096,0.009293431,-0.009916071
1583285316925,0.0027345736,0.0094350455,-0.013110519
1583285316975,-0.0017479951,-0.018916411,0.015862843
1583285317025,0.018101899,0.012149272,0.028431542
1583285317075,-0.023616249,-9.487546E-4,-0.067912295
1583285317125,0.020845305,-0.00313748,0.05514217
1583285317175,-0.016120713,3.8408302E-4,-0.034077078
1583285317225,0.013303928,-3.4487108E-4,0.012187855
1583285317275,-0.015546687,0.009129297,0.0036372924
1583285317325,0.0057499143,0.008898154,-0.020447932
1583285317375,-0.005462447,-0.007716752,0.007696392
1583285317424,0.002076297,-0.011788784,0.009722822
1583285317475,-0.007927675,0.007013298,-0.002632232
1583285317525,-0.006722572,0.02847276,-0.019475117
1583285317575,0.017555026,-0.024307754,-0.003591409
1583285317625,-0.010460734,0.026822584,-0.0092506725
1583285317675,0.012386888,-0.040573493,0.023237824
1583285317725,-0.010663234,0.052381594,-0.028891342
1583285317775,0.0112703815,-0.016797228,-0.023223076
1583285317825,-0.004596161,-0.044362932,0.041326758
1583285317875,-0.011058113,0.026440741,-0.045137774
1583285317925,0.008448018,0.03264349,-0.053542465
1583285317975,-0.043064952,-0.0057381573,-0.083949074
1583285318025,0.05216033,-0.07641684,0.12394093
1583285318074,-0.02907747,0.057703543,-0.14096439
1583285318125,0.014487809,0.031634048,0.011975704
1583285318175,0.03871677,-0.081089154,0.07820018
1583285318224,-0.057941023,0.09820972,-0.16115347
1583285318274,0.033306114,-0.033083893,0.042933326
1583285318325,0.06871318,-0.035121508,0.062042955
1583285318375,0.018698622,0.097489625,-0.10920331
1583285318425,0.10352713,-0.024080405,-0.033999197
1583285318475,0.062294304,-0.030815164,-0.013022957
1583285318525,0.0044621895,0.05172876,-0.06438224
1583285318575,0.08525578,0.07115227,0.023129469
1583285318625,0.025688125,0.013734911,-0.056313727
1583285318675,0.025753336,0.067632996,0.04126582
1583285318725,-0.2276533,0.2339464,-0.12302174
1583285318775,-0.20101877,0.2550919,-0.3120378
1583285318825,0.046651572,0.10315177,0.107516035
1583285318875,-0.13793312,0.07939543,-0.019367553
1583285318925,-0.29227406,0.063927874,-0.15929078
1583285318975,-0.44078964,0.25328162,-0.38415036
1583285319025,-0.16219245,0.47090602,-0.36638215
1583285319075,0.35298622,0.26490524,-0.021084547
1583285319125,0.4088056,0.054084763,0.11737971
1583285319175,0.2031011,-0.03766451,0.21186289
1583285319225,0.38123834,0.40481573,0.33715704
1583285319275,0.28305545,0.39201894,0.18934023
1583285319325,0.30552912,0.26840663,0.28658605
1583285319375,-0.09100337,0.5002647,-0.062739804
1583285319425,-0.12824862,0.38956308,-0.052538242
1583285319475,0.06262104,0.2101491,0.16745411
1583285319525,0.20879515,0.19523887,0.1017759
1583285319575,0.2548961,0.03482209,0.26235393
1583285319625,0.14454661,-0.038034633,0.12030843
1583285319674,0.046739034,-0.10309984,0.0884323
1583285319725,0.02809906,-0.1295519,0.03777943
1583285319775,-0.08381137,-0.044993974,-0.18218456
1583285319825,-0.013695842,0.02506143,-0.15749106
1583285319875,0.46199906,0.03617759,0.039737955
1583285319925,0.4986382,-0.16238639,0.3228542
1583285319975,0.5451104,-0.33353963,0.25326732
1583285320025,0.2162761,-0.6130463,-0.26473787
