Time,accX,accY,accZ
1583283685862,6.95821,-12.587587,6.4288187
1583283685913,11.417394,-5.0643635,7.2660475
1583283685962,10.629242,2.230553,10.479136
1583283686012,9.291795,6.967187,12.616761
1583283686062,7.7506676,11.577276,13.640172
1583283686112,4.1146417,9.105885,8.915798
1583283686162,2.1854756,2.8738422,4.5465207
1583283686212,2.3238528,-3.4074073,1.9846542
1583283686262,1.5563087,-4.7297,4.259031
1583283686312,2.5922184,-4.9940267,6.4629135
1583283686363,4.183754,-4.802299,8.779318
1583283686413,6.1389065,-5.305457,10.0739765
1583283686462,6.602448,-5.509154,9.146996
1583283686512,6.646132,-6.92995,7.1230516
1583283686563,7.0094905,-6.3045387,6.3583384
1583283686613,7.3514643,-5.743468,6.216537
1583283686662,8.985411,-5.8407297,5.5746856
1583283686713,10.119347,-5.2509212,5.5752354
1583283686763,9.720097,-3.2207255,5.58375
1583283686813,8.804517,-1.7793314,5.4254003
1583283686863,9.858171,-4.990885,6.318287
1583283686912,9.797125,-6.9048424,2.8332813
1583283686962,8.3736105,-5.6832323,2.1524475
1583283687012,7.332915,-5.7338705,2.687169
1583283687062,7.845637,-6.9974184,2.3723845
1583283687113,7.900222,-5.236518,4.0552645
1583283687163,8.062192,-5.8227596,4.3581033
1583283687212,7.222129,-3.4469624,3.5025015
1583283687263,7.287894,-0.8254163,2.9747262
1583283687313,6.4908595,-5.711912,0.35759485
1583283687362,7.093585,-7.389185,-0.43806115
1583283687412,8.182365,-5.712654,1.6403322
1583283687463,8.908879,-6.4733486,2.7349992
1583283687513,8.009661,-7.6018662,0.47153246
1583283687562,7.319212,-7.4609995,-0.8617925
1583283687613,7.124422,-5.840394,-1.1398722
1583283687662,7.60165,-5.9291954,-0.23643953
1583283687712,7.774741,-6.489654,-0.15344244
1583283687762,7.6038694,-6.4721937,-0.627604
1583283687813,7.336404,-6.642746,-0.88673705
1583283687862,7.4288583,-6.706462,-0.4863916
1583283687913,7.4151115,-6.193461,-0.19353876
1583283687963,7.397933,-6.0874615,-0.35891128
1583283688012,7.45855,-6.4732738,-0.61003184
1583283688062,7.567974,-6.9347177,-0.58932215
1583283688113,7.523418,-6.2189727,-0.48014677
1583283688162,7.4650645,-6.2078385,-0.29551646
1583283688212,7.2502413,-6.2830677,-0.41415888
1583283688263,7.185244,-6.3337355,-0.47298908
1583283688313,7.2231703,-6.404428,-0.6210105
1583283688363,7.4050612,-6.3594356,-0.5364115
1583283688413,7.627218,-6.5563264,-0.3680768
1583283688463,7.7480927,-6.3021355,-0.3806252
1583283688512,7.452464,-6.304255,-0.6745546
1583283688563,7.5188456,-6.303108,-0.48971584
1583283688613,7.520533,-6.494,-0.60893613
1583283688662,7.4328895,-6.385746,-0.7126909
1583283688712,7.4322753,-6.539781,-0.5352472
1583283688762,7.4087095,-6.494852,-0.55881983
1583283688812,7.388599,-6.3797765,-0.67249316
1583283688863,7.3776946,-6.477974,-0.80454874
1583283688913,7.4375606,-6.5869246,-0.6359505
1583283688963,7.373772,-6.4098988,-0.7052817
1583283689012,7.396051,-6.423349,-0.59979415
1583283689062,7.480098,-6.245961,-0.6935041
1583283689112,7.5178432,-6.319326,-0.7162451
1583283689163,7.4438043,-6.3840013,-0.6930919
1583283689212,7.289388,-6.4366584,-0.7117852
1583283689263,7.2253175,-6.478073,-0.7040864
1583283689312,7.334242,-6.551432,-0.7166692
1583283689362,7.4633675,-6.6009793,-0.7226802
1583283689413,7.47564,-6.2472296,-0.8254128
1583283689463,7.4616385,-6.045849,-0.7539337
1583283689512,7.377867,-6.382421,-0.571417
1583283689562,7.2768664,-6.620742,-0.6961092
1583283689612,7.3085227,-6.753843,-0.80469835
1583283689663,7.407738,-6.413155,-0.7908833
1583283689712,7.563712,-6.1646605,-0.769235
1583283689762,7.5334935,-6.1509476,-0.7404786
1583283689812,7.5174904,-6.403249,-0.74438614
1583283689863,7.463771,-6.489604,-0.74111164
1583283689912,7.3636074,-6.3714633,-0.77807415
1583283689963,7.346894,-6.2837796,-0.80939144
1583283690013,7.3612685,-6.3237877,-0.8349979
1583283690062,7.35079,-6.312298,-0.8549155
1583283690112,7.4713926,-6.495019,-0.80648774
1583283690162,7.568923,-6.5386324,-0.82372946
1583283690213,7.5986414,-6.428527,-0.9079137
1583283690262,7.450643,-6.0586123,-0.86228555
1583283690313,7.4638305,-6.021195,-0.8368354
1583283690363,7.5573487,-6.3160496,-0.69145787
1583283690413,7.5525894,-6.5640473,-0.73311645
1583283690463,7.465007,-6.425919,-0.8228294
1583283690512,7.4493184,-6.2887664,-0.88069
1583283690562,7.453934,-6.2246227,-0.85751927
1583283690613,7.469618,-6.3427315,-0.8071359
1583283690663,7.4754143,-6.379929,-0.7038385
1583283690712,7.4585447,-6.2651324,-0.76482224
