Time,accX,accY,accZ
1583284859855,-2.083456,4.834303,8.34218
1583284859874,-2.4260125,4.978033,8.536216
1583284859894,-2.6847265,5.1049943,8.567357
1583284859915,-2.5936975,5.030734,8.430814
1583284859934,-2.562556,4.910959,8.263128
1583284859954,-2.8092926,5.021152,8.100234
1583284859975,-2.8380384,5.0906215,8.10263
1583284859995,-2.7805464,5.121763,8.311039
1583284860015,-2.8955305,5.035525,8.313434
1583284860034,-3.06082,5.0906215,8.502679
1583284860054,-2.969791,5.088226,8.157726
1583284860074,-2.8428295,5.0235476,8.128981
1583284860095,-2.926672,5.030734,8.188868
1583284860114,-2.8380384,4.9995923,8.289479
1583284860134,-2.91709,5.0187564,8.289479
1583284860154,-3.003328,5.1002035,8.049929
1583284860174,-2.883553,5.0043836,7.8127747
1583284860194,-2.9530225,5.0954127,8.39009
1583284860214,-3.027283,5.069062,8.332598
1583284860234,-2.8859484,5.01157,8.461955
1583284860254,-2.8092926,5.025943,8.423627
1583284860273,-2.8715756,5.01157,8.155331
1583284860293,-2.8236656,4.9852195,8.013996
1583284860313,-2.835643,5.064271,8.057116
1583284860333,-3.003328,5.121763,8.167309
1583284860353,-2.9673955,5.1193676,8.212823
1583284860373,-2.7374275,5.097808,8.236778
1583284860393,-2.696704,4.9995923,8.131376
1583284860414,-2.8476205,5.040316,8.275106
1583284860433,-2.6128614,4.9612646,8.208032
1583284860453,-2.6368165,5.0283384,8.325412
1583284860473,-2.6943085,5.150509,8.282292
1583284860493,-2.5601604,4.982824,8.251151
1583284860512,-2.7805464,5.054689,8.172099
1583284860533,-2.797315,5.1289496,8.174495
1583284860553,-2.711077,5.035525,8.097839
1583284860573,-2.749405,5.0858307,8.229591
1583284860593,-2.7901285,5.1097856,8.306248
1583284860612,-2.7997105,5.0906215,8.239174
1583284860632,-2.715868,5.1193676,8.088257
1583284860652,-2.5936975,5.0666666,8.354157
1583284860673,-2.768569,5.0858307,8.358949
1583284860692,-2.682331,5.0666666,8.241569
1583284860712,-2.6368165,4.997197,8.109817
1583284860733,-2.8284564,5.112181,8.327807
1583284860752,-2.7326365,5.150509,8.430814
1583284860772,-2.5793245,5.1097856,8.2248
1583284860792,-2.653585,5.0858307,8.181682
1583284860812,-2.878762,5.150509,8.373322
1583284860832,-2.576929,4.9948015,8.260733
1583284860852,-2.2870736,4.8846083,8.205636
1583284860872,-2.3685205,4.925332,8.318225
1583284860892,-2.303842,4.882213,8.438
1583284860911,-2.275096,4.8558626,8.730251
1583284860932,-2.4260125,4.9516826,8.77337
1583284860952,-2.088247,4.824721,8.627245
1583284860971,-2.0906425,4.6977596,8.275106
1583284860991,-2.1864624,4.743274,8.380508
1583284861012,-2.078665,4.7360873,8.440395
1583284861032,-2.0906425,4.786393,8.792534
1583284861052,-1.829533,4.6785955,8.790138
1583284861072,-1.666639,4.513306,8.691923
1583284861092,-1.8367195,4.6546407,8.82128
1583284861111,-1.733713,4.589962,8.658386
1583284861131,-1.728922,4.566007,8.627245
1583284861151,-2.059501,4.714528,8.782952
1583284861172,-1.9612855,4.6881776,8.838049
