Time,accX,accY,accZ
1583284235638,0.12667604,-7.124089,4.604682
1583284235687,0.040692344,-7.8734055,4.744958
1583284235737,-0.19988069,-8.7994585,5.238783
1583284235788,-0.79471445,-9.279013,5.517112
1583284235838,-1.5711565,-8.054494,5.128909
1583284235888,-2.305753,-6.5867376,4.626648
1583284235937,-1.3549194,-5.239379,4.829184
1583284235987,-0.18338248,-5.3802447,4.5189295
1583284236038,0.66507006,-5.4590926,4.8020315
1583284236088,0.6124915,-9.071932,4.70928
1583284236137,1.1620836,-7.7392235,4.669383
1583284236188,0.47500455,-7.615628,4.721777
1583284236238,-0.719927,-7.853345,4.295152
1583284236288,-2.484087,-6.7571745,4.0322804
1583284236337,-5.7992268,-8.583891,3.7362742
1583284236387,-7.530719,-11.640077,4.328891
1583284236437,-7.1397715,-8.894535,3.3781471
1583284236488,-7.1642885,-5.56147,0.9580591
1583284236538,-7.8884716,-8.621765,-0.6005892
1583284236587,-7.4865394,-7.370534,-1.2942712
1583284236637,-7.0366683,-6.348227,-0.037517488
1583284236688,-6.837626,-6.6665435,0.77318203
1583284236737,-6.826719,-6.511687,0.8446176
1583284236788,-6.827822,-6.995785,0.5822457
1583284236837,-6.6880116,-6.79828,1.1652296
1583284236888,-6.7897835,-7.150765,2.1689594
1583284236937,-6.7169433,-6.885158,1.8917675
1583284236988,-6.534378,-6.718219,1.5100788
1583284237038,-6.467289,-6.6590304,1.380857
1583284237088,-6.6599994,-6.6979165,1.4393587
1583284237138,-6.82025,-6.631622,1.323607
1583284237188,-6.7246165,-6.5904956,1.1062958
1583284237238,-6.695545,-6.6394424,1.2128392
1583284237288,-6.7937484,-6.6107526,1.4307929
1583284237337,-6.7655687,-6.671903,1.3799834
1583284237387,-6.7401276,-6.6266937,1.3102908
1583284237437,-6.688256,-6.697713,1.2771677
1583284237487,-6.7031817,-6.754208,1.3285316
1583284237537,-6.739076,-6.664746,1.3164479
1583284237587,-6.725398,-6.6110277,1.4334072
1583284237638,-6.8031135,-6.583185,1.3287106
1583284237687,-6.697793,-6.7111773,1.3622777
1583284237738,-6.6998925,-6.66384,1.3698653
1583284237787,-6.7640257,-6.5876513,1.2962513
1583284237838,-6.7449646,-6.636239,1.2738132
1583284237888,-6.7663665,-6.6235533,1.3276172
1583284237937,-6.7031507,-6.6064353,1.3440616
1583284237988,-6.729443,-6.706032,1.4264972
1583284238037,-6.7432866,-6.6304355,1.3604392
1583284238087,-6.639988,-6.6334095,1.3952882
1583284238137,-6.6933894,-6.7015996,1.3911003
1583284238187,-6.7051077,-6.615821,1.3375549
1583284238238,-6.7184362,-6.6862545,1.4223346
1583284238287,-6.720773,-6.5929275,1.3646911
1583284238338,-6.718281,-6.632994,1.3698734
1583284238388,-6.74284,-6.6347923,1.3221986
1583284238437,-6.7006397,-6.6681104,1.388329
1583284238488,-6.7113886,-6.622757,1.4036113
1583284238537,-6.674558,-6.6508303,1.3540971
1583284238588,-6.702789,-6.719069,1.4227626
1583284238638,-6.7137513,-6.6170983,1.4063189
1583284238688,-6.7060685,-6.6946616,1.4115657
1583284238738,-6.7231965,-6.6345954,1.3607336
1583284238787,-6.706774,-6.6691866,1.3652871
1583284238837,-6.6945024,-6.6000257,1.3490666
1583284238887,-6.772984,-6.6527104,1.4289072
1583284238937,-6.7859344,-6.5880194,1.3473505
1583284238988,-6.7464323,-6.630238,1.3802638
1583284239038,-6.7798514,-6.602131,1.3666424
1583284239088,-6.7267094,-6.565385,1.3778247
1583284239138,-6.745099,-6.656406,1.4277651
1583284239187,-6.778006,-6.556911,1.3425103
1583284239237,-6.7627883,-6.617994,1.377504
1583284239288,-6.7422376,-6.588216,1.4031136
1583284239338,-6.819537,-6.55976,1.3787633
1583284239387,-6.784918,-6.5569835,1.3535646
1583284239437,-6.7995987,-6.574493,1.3831813
1583284239488,-6.796426,-6.540866,1.368722
1583284239538,-6.840185,-6.528895,1.3083732
1583284239587,-6.8290906,-6.5885186,1.3446836
1583284239637,-6.792257,-6.563199,1.3956603
