Time,accX,accY,accZ
1582926364210,0.23383735,0.23218542,9.889655
1582926364260,0.22077972,0.22681007,9.870241
1582926364310,0.18063587,0.22748251,9.922388
1582926364360,0.24646744,0.23118055,9.879167
1582926364410,0.17668763,0.20964983,9.875171
1582926364460,0.18666796,0.2314012,9.908082
1582926364509,0.22961862,0.23087355,9.877773
1582926364559,0.14721262,0.22057,9.88374
1582926364610,0.20069638,0.24122041,9.905383
1582926364659,0.2315149,0.22223723,9.879152
1582926364710,0.21546558,0.21601368,9.877576
1582926364760,0.19528417,0.23301062,9.869813
1582926364810,0.1588247,0.225361,9.920092
1582926364860,0.23472342,0.22453572,9.866543
1582926364910,0.19525638,0.23300266,9.888187
1582926364960,0.18799964,0.23565456,9.893492
1582926365010,0.23251331,0.22346742,9.858007
1582926365060,0.18662228,0.22861223,9.894464
1582926365110,0.20545807,0.2316074,9.882821
1582926365160,0.21448326,0.2325475,9.904254
1582926365210,0.19255055,0.22888272,9.885302
1582926365259,0.20531252,0.23201449,9.898456
1582926365309,0.20996818,0.21997832,9.87592
1582926365360,0.18924922,0.23707716,9.914616
1582926365410,0.21528813,0.2373385,9.891445
1582926365460,0.20353094,0.2373385,9.883606
1582926365510,0.20076513,0.2236121,9.863969
1582926365560,0.1786754,0.22643362,9.9221945
1582926365610,0.22888958,0.24486193,9.903007
1582926365660,0.20085026,0.22197166,9.860252
1582926365710,0.15311812,0.2385515,9.916742
1582926365759,0.23869419,0.22312038,9.842637
1582926365810,0.18261734,0.22712183,9.904468
1582926365860,0.19036709,0.23542084,9.895885
1582926365910,0.20775923,0.2325475,9.880444
1582926365960,0.18860118,0.22820577,9.892069
1582926366010,0.21757433,0.2293874,9.879989
1582926366060,0.1885858,0.225361,9.893057
1582926366109,0.19863383,0.2285521,9.883295
1582926366159,0.2026212,0.230152,9.899725
1582926366210,0.18797359,0.22618704,9.89562
1582926366260,0.20695306,0.23423365,9.893755
1582926366309,0.1861769,0.23485431,9.879736
1582926366360,0.1820385,0.2325475,9.90401
1582926366410,0.20149902,0.23920372,9.887899
1582926366460,0.15886371,0.215779,9.886391
1582926366509,0.18485175,0.23399943,9.881213
1582926366560,0.17468539,0.2421295,9.888883
1582926366609,0.180713,0.21670054,9.890199
1582926366660,0.18132272,0.22799113,9.877226
1582926366710,0.14790237,0.225361,9.890921
1582926366759,0.20620227,0.23963252,9.908736
1582926366810,0.208771,0.2247722,9.870428
1582926366860,0.14675853,0.23253135,9.909992
1582926366910,0.19839773,0.2421295,9.888354
1582926366960,0.17773622,0.21826053,9.865914
1582926367010,0.16165933,0.234943,9.900941
