Time,accX,accY,accZ
1583283108487,5.3006225,-7.8009763,2.400716
1583283108538,5.280736,-7.827605,2.400915
1583283108587,5.282511,-7.805332,2.4014378
1583283108637,5.283879,-7.801246,2.3832464
1583283108688,5.3138356,-7.8196836,2.3639677
1583283108738,5.327839,-7.794203,2.422986
1583283108788,5.2651973,-7.7851276,2.444459
1583283108837,5.2644095,-7.8363633,2.3622625
1583283108887,5.2651515,-7.8371058,2.3224714
1583283108937,5.2486796,-7.847039,2.3544657
1583283108987,5.268084,-7.816776,2.412791
1583283109037,5.2988954,-7.8010726,2.404622
1583283109088,5.304202,-7.8223743,2.3904428
1583283109137,5.3114524,-7.8091545,2.4073243
1583283109187,5.294671,-7.7876825,2.379825
1583283109238,5.290507,-7.825361,2.3928664
1583283109288,5.295952,-7.820936,2.382176
1583283109338,5.299475,-7.809874,2.3938491
1583283109387,5.2796173,-7.782669,2.3702617
1583283109438,5.3021736,-7.831009,2.3809626
1583283109488,5.2861333,-7.800607,2.420504
1583283109537,5.289348,-7.8026114,2.3796735
1583283109587,5.341737,-7.814092,2.3718197
1583283109637,5.32649,-7.8088803,2.386195
1583283109687,5.264137,-7.8251305,2.3906126
1583283109737,5.2634473,-7.824458,2.4316578
1583283109787,5.2889266,-7.8213654,2.391899
1583283109838,5.285102,-7.8058524,2.3726692
1583283109887,5.285102,-7.82003,2.3939443
1583283109938,5.2902045,-7.806822,2.4016516
1583283109988,5.276127,-7.815812,2.4014268
1583283110037,5.2821856,-7.839658,2.4119642
1583283110088,5.280311,-7.799122,2.394261
1583283110138,5.2733693,-7.8199005,2.368463
1583283110188,5.270729,-7.835444,2.4029462
1583283110238,5.266467,-7.8268223,2.4310193
1583283110287,5.2490273,-7.817424,2.4153333
1583283110337,5.289009,-7.8263807,2.3571754
1583283110387,5.2853827,-7.8235993,2.3650863
1583283110437,5.244252,-7.827049,2.4010873
1583283110487,5.258613,-7.8354044,2.4145384
1583283110538,5.248117,-7.822467,2.42401
1583283110588,5.2563195,-7.8354483,2.4109643
1583283110638,5.2701373,-7.826506,2.3863757
1583283110687,5.268267,-7.82475,2.3978019
1583283110738,5.248434,-7.846472,2.4128163
1583283110787,5.24945,-7.8376956,2.4158254
1583283110838,5.279479,-7.8223944,2.4183052
1583283110888,5.2784367,-7.8110003,2.3852732
1583283110937,5.277812,-7.8434606,2.3688908
1583283110987,5.2654405,-7.854163,2.4066904
1583283111038,5.2474437,-7.839514,2.4203255
1583283111087,5.2721543,-7.846039,2.397509
1583283111137,5.305479,-7.816302,2.4054596
1583283111188,5.3002343,-7.802826,2.4082377
1583283111238,5.259036,-7.8270373,2.407673
1583283111288,5.2578936,-7.8381186,2.4228995
1583283111337,5.261147,-7.8230214,2.3960414
1583283111387,5.249897,-7.850319,2.3966553
1583283111438,5.238077,-7.833726,2.4165983
1583283111488,5.242573,-7.841155,2.4106448
1583283111537,5.252779,-7.8684754,2.4040308
1583283111587,5.2861395,-7.8295674,2.4170716
1583283111637,5.2961845,-7.788143,2.391395
1583283111688,5.272466,-7.8371043,2.376279
1583283111738,5.289937,-7.8303556,2.4064808
1583283111787,5.2894917,-7.8146296,2.4153392
1583283111838,5.2520714,-7.835905,2.3913105
1583283111887,5.2607365,-7.8446565,2.3797805
1583283111938,5.28375,-7.8420067,2.360249
