Time,accX,accY,accZ
1583285013763,0.16859025,0.18555133,9.935187
1583285013813,0.17201214,0.24806133,9.979393
1583285013863,0.1407989,0.22762391,9.976965
1583285013912,0.19455211,0.19440213,9.928283
1583285013963,0.16245013,0.23033257,9.976533
1583285014013,0.15222953,0.23100774,9.972162
1583285014063,0.177896,0.22563519,9.975655
1583285014112,0.13254485,0.22014353,9.980794
1583285014163,0.19423136,0.2092852,9.928117
1583285014212,0.16249958,0.22918929,9.9714575
1583285014262,0.16680542,0.22545011,9.982166
1583285014312,0.16807522,0.2095476,9.94009
1583285014362,0.15988907,0.22484936,9.979894
1583285014412,0.14887713,0.21283777,9.964207
1583285014462,0.17005347,0.21635883,9.958563
1583285014512,0.15765767,0.2235794,9.974283
1583285014562,0.15033312,0.22113438,9.971797
1583285014612,0.1587361,0.22261217,9.973845
1583285014662,0.14364281,0.21447013,9.961908
1583285014712,0.2006827,0.19684546,9.933585
1583285014763,0.1499807,0.22696093,9.97828
1583285014813,0.1632502,0.21974851,9.975842
1583285014862,0.16699465,0.22381805,9.965943
1583285014912,0.14732727,0.21466155,9.954351
1583285014963,0.19031571,0.21127951,9.958506
1583285015013,0.14290099,0.22967586,9.979274
1583285015063,0.17707703,0.20842417,9.961755
1583285015112,0.17969769,0.20530924,9.945605
1583285015163,0.13589124,0.21727885,9.9709015
1583285015212,0.18064968,0.20812762,9.952456
1583285015262,0.14000767,0.23472315,9.9801235
1583285015313,0.17296961,0.21463911,9.953598
1583285015363,0.17084701,0.21850596,9.950592
1583285015413,0.14702426,0.2120541,9.946497
1583285015462,0.17705326,0.2406391,9.983483
1583285015513,0.14817235,0.24071164,9.977456
1583285015563,0.1676417,0.23638879,9.972011
1583285015613,0.16620494,0.20946129,9.957033
1583285015663,0.1205385,0.22704253,9.968223
1583285015712,0.16589244,0.2530603,10.0100155
1583285015762,0.16653301,0.18637021,9.929948
1583285015813,0.13793045,0.24949306,9.991042
1583285015863,0.21548554,0.15078789,9.903829
1583285015913,0.14457722,0.18758504,9.917413
1583285015962,0.15442836,0.19229397,9.927986
1583285016012,0.18554881,0.17265023,9.968322
1583285016063,0.14727987,0.24156556,10.04729
1583285016112,0.17579645,0.42367777,9.980985
1583285016162,0.12367428,0.11947548,9.880246
1583285016213,0.11115594,0.3350706,10.103113
1583285016262,0.33201987,0.14805509,9.867997
1583285016313,0.05213767,0.21564889,9.8337345
1583285016363,0.14361316,0.28917006,10.140377
1583285016412,0.21885416,0.15796699,9.777645
1583285016462,0.052256033,0.32130906,10.157213
1583285016513,0.20136937,0.21789679,9.961878
1583285016562,0.16593242,0.19962773,9.887881
1583285016613,0.1123019,0.27253106,10.073683
1583285016663,0.23168722,0.14409976,9.814523
1583285016713,0.10543062,0.2858489,10.029739
1583285016763,0.1667934,0.21697494,9.961459
1583285016812,0.17564368,0.22575402,9.94863
1583285016862,0.13574614,0.26336595,10.015988
1583285016913,0.1762822,0.19198473,9.920976
1583285016963,0.15005638,0.2546703,9.985875
1583285017013,0.16460468,0.21225366,9.942606
1583285017063,0.20104147,0.24290596,9.983505
1583285017113,0.14156187,0.23563358,9.982822
1583285017163,0.15887338,0.22599721,9.961295
1583285017212,0.15432054,0.25244197,9.968754
1583285017262,0.16559315,0.20227359,9.931318
1583285017313,0.1522046,0.2423704,9.979029
1583285017362,0.153941,0.22644617,9.956667
1583285017412,0.16327098,0.22299097,9.961337
1583285017462,0.15651666,0.26152715,10.002134
1583285017512,0.15764894,0.20828412,9.943149
