Time,rotX,rotY,rotZosboxe
1583284596287,-3.1431072,4.6353035,0.13358511
1583284596337,0.602755,3.8222086,1.1350533
1583284596387,2.1342647,1.1057837,0.51252824
1583284596438,1.06195,-2.3553703,0.33196077
1583284596487,-0.29242602,-4.9348307,0.6237737
1583284596537,-0.57147044,-5.628697,1.0073931
1583284596588,1.2451205,-5.3134775,1.348939
1583284596638,2.4957945,-4.437364,1.6287555
1583284596687,-0.81116515,-3.6016874,0.8162869
1583284596738,-2.9657385,-0.4568141,-0.55973846
1583284596788,0.042538602,4.02754,-1.0135667
1583284596837,1.0310303,5.5386066,-1.1350515
1583284596888,-1.5761753,5.807729,-0.76823795
1583284596937,-1.6519486,5.6968474,0.028950071
1583284596987,0.5579852,3.8520892,0.27444887
1583284597037,1.7302145,1.2087746,0.10522651
1583284597087,0.6895252,-1.4758241,0.20418021
1583284597137,-0.24490683,-3.6562166,0.32755116
1583284597187,0.007541944,-4.817686,0.75385857
1583284597237,1.2304251,-5.170254,1.4937824
1583284597288,1.2555237,-4.5751624,1.8710648
1583284597337,-0.004588315,-2.1824799,0.7830723
1583284597387,-1.247806,0.35259116,-0.20295227
1583284597437,-1.9274786,2.507433,-0.6811737
1583284597488,-0.6043236,3.9422932,-0.9845101
1583284597538,-0.99445957,5.3646894,-1.6741954
1583284597587,-0.7022052,6.169387,-2.497175
1583284597638,0.7451937,5.7915564,-3.3277152
1583284597688,2.5630434,4.8109493,-2.9291942
1583284597738,2.986017,3.465964,-2.0749934
1583284597788,2.1205034,2.1278172,-0.4804356
1583284597838,2.3635154,1.0232148,2.4285657
1583284597887,-1.3007586,0.50938284,6.1400905
1583284597937,-7.894388,-0.13246506,7.82081
1583284597987,-10.336153,-3.9809718,6.527618
1583284598037,-1.2024148,-3.0998902,4.221235
1583284598087,1.8778306,0.10792939,1.4198512
1583284598138,2.7199,1.0161115,0.11048678
1583284598188,1.7766863,2.076537,0.4862885
1583284598237,-0.5353294,0.09893814,0.20870039
1583284598287,-0.59296495,-0.8672022,0.28719324
1583284598338,0.7426617,0.15481967,0.31763032
1583284598387,0.6456191,0.47261304,0.25217557
1583284598438,-0.2047878,-0.17056961,-0.02865986
1583284598488,-0.45180082,-0.3553716,-0.17837738
1583284598537,-0.049398553,-0.1048027,-0.09292924
1583284598587,0.10408639,-0.008917313,0.026337205
1583284598637,0.09846551,0.08675788,0.071155824
1583284598688,0.05429071,0.0656064,0.043458045
1583284598737,-0.04044595,-0.034121465,-0.005739436
1583284598788,0.0014623483,-0.019067287,-4.3855188E-4
1583284598838,-0.009266896,-0.0067248065,0.0019161138
1583284598887,-0.030694108,0.008553458,-0.0055724974
1583284598937,-0.007940076,0.011096619,8.590375E-4
1583284598987,0.0099667385,0.0060321116,-0.0065134675
1583284599037,0.0066021383,-0.0139681995,-0.009217212
1583284599087,-0.006477645,-0.0024828045,-0.010283893
1583284599138,-0.015571281,0.0041395454,-0.0097533595
1583284599188,0.012190421,0.0060096662,-0.0033633583
1583284599237,0.017952662,0.010505637,-0.0047683497
1583284599287,0.044670437,0.020295374,-0.009239217
1583284599337,0.09374189,0.004594053,0.001735928
1583284599388,0.044623338,-0.008364499,0.011623189
1583284599438,0.022345794,0.014055775,0.013854979
1583284599488,0.008035935,0.003142076,0.005886374
1583284599537,-0.010117549,-0.010344675,0.0034059826
1583284599587,0.005751846,0.005885207,0.013067991
1583284599638,0.03725867,0.004372294,0.028999524
1583284599687,0.038780276,0.006976538,0.03913851
1583284599738,0.028993756,0.0068587353,0.03137909
1583284599788,0.027663521,0.0039288737,0.017562402
1583284599838,0.022118213,-0.013996324,0.011128645
1583284599887,0.033838663,-0.0062783677,0.014987623
1583284599937,0.021105576,0.0044048266,0.017736036
1583284599987,0.01712403,0.008278535,0.021617683
1583284600037,0.02266654,0.009251248,0.02722875
1583284600087,0.012625175,0.006465154,0.02127908
1583284600138,0.020085642,0.012166521,0.01636299
1583284600187,0.009271629,0.01376161,0.012993924
1583284600237,-0.006637906,-0.0010840371,0.001964975
1583284600288,-0.0139739625,-0.0112863295,-0.0025543533
