Time,accX,accY,accZ
1583285466039,0.5300345,0.0696535,9.966329
1583285466059,0.5156615,0.057676,9.951956
1583285466079,0.508475,0.062467,9.935187
1583285466099,0.5060795,0.072049,9.92321
1583285466119,0.5252435,0.0840265,9.947165
1583285466138,0.5396165,0.081631,9.97112
1583285466159,0.5204525,0.081631,9.947165
1583285466178,0.5060795,0.096004,9.961538
1583285466198,0.508475,0.07684,9.94956
1583285466218,0.508475,0.0600715,9.932792
1583285466238,0.5060795,0.067258,9.928001
1583285466258,0.5252435,0.0983995,9.959143
1583285466278,0.537221,0.0792355,9.983097
1583285466298,0.513266,0.07684,9.968724
1583285466318,0.4869155,0.081631,9.94956
1583285466338,0.5060795,0.0840265,9.942374
1583285466358,0.53243,0.081631,9.939979
1583285466378,0.527639,0.086422,9.966329
1583285466398,0.5108705,0.0888175,9.951956
1583285466418,0.5108705,0.081631,9.947165
1583285466438,0.5012885,0.0744445,9.930396
1583285466458,0.518057,0.0600715,9.94956
1583285466477,0.5252435,0.057676,9.947165
1583285466497,0.527639,0.0744445,9.951956
1583285466517,0.522848,0.0983995,9.959143
1583285466537,0.4964975,0.0983995,9.956747
1583285466557,0.5060795,0.081631,9.942374
1583285466577,0.518057,0.0744445,9.935187
1583285466597,0.5204525,0.0744445,9.932792
1583285466617,0.527639,0.0600715,9.942374
1583285466637,0.537221,0.0840265,9.963934
1583285466657,0.508475,0.0983995,9.956747
1583285466677,0.513266,0.0792355,9.959143
1583285466696,0.5108705,0.0696535,9.935187
1583285466717,0.5012885,0.100795,9.916023
1583285466737,0.503684,0.0361165,9.983097
1583285466757,0.537221,0.07684,9.894464
1583285466777,0.5827355,0.100795,9.959143
1583285466796,0.522848,0.081631,9.995075
1583285466816,0.48452,0.105586,9.935187
1583285466836,0.494102,0.0888175,9.937583
1583285466856,0.513266,0.033721,9.928001
1583285466876,0.5444075,0.0361165,9.92321
1583285466896,0.542012,0.067258,9.92321
1583285466916,0.5348255,0.0936085,9.9735155
1583285466937,0.494102,0.110377,9.966329
1583285466957,0.5060795,0.0792355,9.951956
1583285466976,0.5012885,0.052885,9.92321
1583285466996,0.5060795,0.0792355,9.9208145
1583285467016,0.537221,0.0744445,9.930396
1583285467036,0.527639,0.0792355,9.983097
