Time,accX,accY,accZ
1583283018487,-1.3747202,-8.530521,5.286811
1583283018538,-1.3148974,-7.298779,4.707046
1583283018587,-1.8378425,-7.232989,4.703629
1583283018637,-2.1099284,-7.2016234,4.490402
1583283018688,-1.5485748,-8.138686,5.071323
1583283018737,-0.95349216,-8.824025,5.359589
1583283018787,-1.1477242,-8.3541155,4.9943285
1583283018838,-1.3760673,-7.6647034,4.8948827
1583283018887,-1.2220473,-7.966109,5.1908092
1583283018937,-1.1464936,-8.085815,5.1597466
1583283018987,-0.92981875,-8.127193,5.255308
1583283019038,-0.93283737,-8.1249275,5.1516247
1583283019088,-0.8421502,-8.3302,5.259238
1583283019137,-0.6645958,-8.322971,5.218733
1583283019188,-0.9803482,-8.023279,5.008192
1583283019238,-0.82172155,-8.143403,5.1587567
1583283019288,-0.62975496,-8.165093,5.2420654
1583283019337,-0.7491084,-7.9077935,5.214206
1583283019388,-0.70897067,-8.046063,5.319312
1583283019437,-0.64364636,-8.26057,5.3655233
1583283019487,-0.8839396,-7.7105365,5.1207776
1583283019537,-0.96600807,-7.70708,5.1969514
1583283019587,-0.6056961,-8.275975,5.555173
1583283019637,-0.21037577,-8.586989,5.431848
1583283019687,-0.1480514,-8.474581,5.3283844
1583283019738,-0.40634048,-8.941784,5.1618648
1583283019787,-1.1837311,-8.620513,5.07612
1583283019837,-1.0282241,-8.73227,5.3162017
1583283019887,-0.8257428,-8.650954,5.730315
1583283019937,0.24709791,-8.443812,5.415965
1583283019988,-0.4699734,-7.695724,5.609026
1583283020037,-1.9107568,-7.298084,6.0810604
1583283020088,-2.6627574,-6.737941,5.5152144
1583283020137,-3.4049695,-6.1884828,5.460902
1583283020188,-4.4755573,-6.4289036,5.489305
1583283020237,-5.8444257,-6.881501,5.169858
1583283020287,-6.1115727,-7.572578,5.2691607
1583283020337,-6.0217423,-5.8763137,4.949919
1583283020387,-5.1973953,-4.6863594,3.8870325
1583283020437,-3.6805532,-4.919056,3.2031486
1583283020487,-1.6732016,-5.203277,2.7066987
1583283020538,-0.6547135,-6.219285,4.2723684
1583283020588,0.62793213,-9.116544,8.134582
1583283020638,0.928358,-8.443383,9.9068775
1583283020688,-0.28411257,-6.3381,9.544721
1583283020737,-0.24600811,-6.7719765,9.2205925
1583283020788,0.36936027,-6.9071636,7.9038363
1583283020838,0.602272,-6.582184,7.925982
1583283020888,0.5377244,-7.1896467,6.8072395
1583283020937,-0.058901906,-7.0586433,5.866224
1583283020987,-0.6710813,-7.171205,6.4028506
1583283021037,-0.8043,-6.981552,6.325494
1583283021087,-0.4802061,-6.8017197,6.3257127
1583283021138,-0.5544188,-6.8178463,6.2198186
1583283021187,-0.66795915,-6.9324336,6.6738157
1583283021237,-0.4672919,-6.8225303,6.4666963
1583283021287,-0.5686362,-6.591035,6.4555316
1583283021337,-0.7100729,-6.4325953,6.587172
1583283021388,-1.0023576,-6.6880183,7.90255
1583283021437,-1.1639571,-7.175116,7.5621924
1583283021487,-0.7698182,-6.8120227,6.9010863
1583283021538,-0.6719367,-7.045584,7.412888
1583283021587,-1.5875461,-5.5786324,7.4641304
1583283021637,-0.9182987,-5.093695,7.825476
1583283021687,1.5963901,-5.8906374,8.162126
1583283021737,3.4016347,-3.5796278,9.930168
1583283021787,1.9885082,-3.1017394,9.008059
1583283021837,0.35627177,-4.5518875,8.5375
1583283021888,-0.12664512,-6.4047656,7.813182
1583283021938,-0.16409126,-6.4208875,7.7539425
1583283021988,0.8103876,-5.2458935,8.376063
1583283022037,0.7515248,-4.9235735,7.85849
1583283022088,0.54755914,-5.6032963,7.910159
1583283022137,0.046327874,-6.582315,7.2381115
1583283022188,0.014791705,-6.485452,6.923498
1583283022237,0.37479597,-6.5522165,7.5295734
1583283022288,0.5650897,-5.969052,7.8544083
1583283022337,0.47313464,-6.0849037,7.8808303
1583283022388,0.361911,-6.486189,7.5534987
1583283022437,0.02076585,-6.0526,7.3872533
1583283022487,0.45583478,-5.4059553,7.989677
1583283022538,0.6693274,-5.637588,7.987485
1583283022588,0.44318995,-6.1569233,7.531481
1583283022638,0.5005379,-5.3583803,8.190048
1583283022687,0.48562273,-4.6982126,8.568067
1583283022737,0.15410462,-6.2992144,7.7976723
1583283022787,-0.35887843,-7.7414484,8.0436325
1583283022837,-0.44550493,-6.4445124,8.922886
1583283022887,-2.8365111,-4.3250237,10.04929
1583283022938,-2.3792548,-3.5141718,10.234299
1583283022988,-0.8679365,-2.371279,8.152651
1583283023037,0.21786009,-2.7220426,7.2976184
1583283023087,2.0739422,-2.623695,7.9253087
1583283023138,2.8278983,-1.9334984,8.489578
1583283023188,3.2791708,-2.2273958,8.864456
1583283023237,3.3583412,-2.4812422,8.943625
1583283023287,3.0329993,-2.5443697,9.38326
1583283023337,2.0790405,-2.1294312,9.818402
1583283023388,1.6647972,-2.2372346,9.91226
1583283023437,1.481651,-1.4999479,10.154652
1583283023488,1.9318461,-1.4457299,10.196207
1583283023538,2.0866117,-1.3616657,10.144887
1583283023588,1.7116559,-1.2301921,9.540357
1583283023637,1.3718337,-0.9603724,9.398237
1583283023688,1.3421695,-0.8623498,9.504912
1583283023737,1.9138582,-0.9556205,9.814057
1583283023787,2.309143,-0.8065852,9.990243
1583283023837,2.0971549,-0.82928205,9.625517
1583283023887,1.7185887,-0.66417116,9.347041
1583283023938,1.4299246,-0.7231371,9.233834
1583283023987,1.8475355,-0.76313275,9.897318
1583283024037,1.9406098,-0.68668014,10.379341
1583283024087,1.849411,-0.946491,9.782526
1583283024138,1.9701983,-0.72051454,9.552769
1583283024188,2.1490598,-0.37439808,9.500844
1583283024237,2.8688984,-0.3472122,9.700713
1583283024288,3.9947484,-0.26730305,10.005632
1583283024338,7.3046503,-0.9585402,10.03977
1583283024387,10.450701,-2.1290038,8.64566
1583283024438,8.413774,-2.2657645,7.7922826
1583283024487,4.992742,-2.2140777,6.5981054
1583283024538,0.14236832,-2.912654,5.5794687
1583283024588,-4.368076,-3.1769445,6.923752
1583283024638,-7.86975,-2.7924507,8.207058
1583283024688,-10.400099,-5.758586,8.191037
1583283024737,-5.414018,-10.94489,16.113014
1583283024788,-0.048018515,-2.7552605,8.618807
1583283024838,4.625619,-2.8596547,8.420412
