Time,accX,accY,accZ
1583283258487,4.2152376,-8.585679,0.89056134
1583283258537,4.27282,-8.576817,0.99985
1583283258588,4.319138,-8.631446,0.88915515
1583283258638,4.239824,-8.579238,1.0234706
1583283258688,4.2272873,-8.754047,1.0834119
1583283258738,4.3390393,-8.9532795,1.6898788
1583283258787,3.750514,-8.5135975,1.5303041
1583283258837,3.564714,-8.833956,1.0356861
1583283258888,3.7824523,-7.963316,1.4214511
1583283258937,4.45486,-8.283899,0.6650445
1583283258988,5.108836,-9.140359,-0.6070112
1583283259037,4.6727786,-8.599434,-0.3618825
1583283259088,4.090912,-8.54108,0.42711797
1583283259138,3.877006,-8.8084545,0.70048934
1583283259187,3.8102226,-8.523818,1.2466143
1583283259238,4.1062818,-8.405914,1.4148983
1583283259287,4.7166147,-8.392882,1.5132827
1583283259338,5.2393503,-8.146458,1.7540423
1583283259387,5.354061,-7.9063644,2.103764
1583283259437,5.4950476,-8.063359,2.0557926
1583283259487,5.5171633,-7.842846,2.222375
1583283259537,5.4270315,-8.1028385,2.336216
1583283259588,5.085865,-7.476164,2.27808
1583283259638,4.7590103,-6.6762557,2.143177
1583283259687,4.79294,-7.7443657,1.5453043
1583283259737,5.7412558,-10.223853,-0.50007683
1583283259788,5.8892293,-10.339972,-2.2150156
1583283259838,5.061913,-8.075909,-3.0696414
1583283259887,3.2018852,-6.8703694,-3.3657002
1583283259937,1.7447323,-7.2972536,-2.4136953
1583283259988,0.9507907,-8.725589,-1.7485039
1583283260037,1.9483814,-10.316689,-2.1364038
1583283260088,3.0791292,-8.907822,-1.45168
1583283260138,3.3863628,-7.6645823,-1.9129033
1583283260187,4.356035,-8.274499,-2.7704437
1583283260238,4.707991,-8.570099,-2.3169062
1583283260288,4.9900703,-8.130768,-1.6319622
1583283260338,5.311414,-8.217241,-1.6892768
1583283260387,5.2436256,-7.945966,-1.1028056
1583283260438,5.183715,-8.098446,-0.9889392
1583283260487,5.064624,-8.223541,-1.2949568
1583283260538,5.2374334,-7.9909515,-1.1483083
1583283260588,5.7492046,-7.8970237,-0.12129301
1583283260638,6.136003,-7.874582,0.45304668
1583283260688,5.8771715,-7.8548226,0.09773597
1583283260737,5.656171,-7.828719,0.62189174
1583283260788,5.659748,-7.788729,0.6664522
1583283260838,5.7056246,-7.7926016,0.28525305
1583283260887,5.8485274,-8.097015,0.10423098
1583283260937,5.8554106,-7.984111,0.61647695
1583283260988,5.5014734,-8.146424,1.4724606
1583283261037,6.27439,-9.960391,3.6260493
1583283261087,9.873942,-15.387632,1.321353
1583283261137,5.152614,-10.493165,5.284626
1583283261187,3.7541032,-5.7029533,8.188318
1583283261237,6.3195987,-4.670016,8.899139
1583283261287,10.9146385,4.4391236,14.426361
1583283261337,15.654213,9.387484,16.075113
1583283261388,18.104513,6.076944,12.636322
1583283261437,16.228619,3.0203116,6.3001537
1583283261487,16.321829,-2.834185,2.1957355
1583283261538,19.207626,-6.4436774,1.3543849
1583283261588,20.00887,-9.499159,1.257482
1583283261637,15.662347,-16.751436,1.6236272
1583283261687,2.4178534,-28.51553,1.0581174
1583283261738,-12.397494,-33.845352,0.1960876
1583283261787,-6.93328,-27.109428,5.9954348
1583283261838,11.907552,-17.500689,9.791626
1583283261887,17.783978,-12.307166,10.910559
1583283261937,15.723711,-8.93456,10.297832
1583283261988,15.772554,-3.4883745,9.94284
1583283262038,13.97045,3.1070344,10.62753
1583283262087,14.801125,14.51752,14.134688
1583283262137,11.588785,25.393578,16.926323
1583283262188,10.049488,26.807953,17.492086
1583283262238,13.098063,15.554942,12.078151
1583283262287,17.851011,4.5107617,8.153632
1583283262337,23.63125,-2.8928113,6.3811216
1583283262387,27.416971,-9.867938,5.231828
1583283262437,24.60837,-19.442968,4.4358306
1583283262488,9.312651,-33.813965,6.206332
1583283262537,-9.991629,-40.929455,6.463702
1583283262588,-7.1641045,-33.77099,7.417189
1583283262638,14.683933,-21.79989,6.174243
1583283262687,22.229265,-11.931447,8.038658
1583283262738,19.683334,-8.170259,7.7480016
1583283262787,17.002861,-4.1308813,8.520157
1583283262837,15.503634,2.7369423,10.175294
1583283262887,12.879395,13.0958805,13.014945
1583283262937,12.36099,24.860207,17.398552
1583283262987,12.699112,26.37473,17.816154
1583283263038,15.009053,16.13407,11.982668
1583283263088,19.604425,5.662611,7.366862
1583283263138,25.74875,-1.9193739,5.4941716
1583283263187,30.247515,-10.181687,3.2926035
1583283263238,27.609701,-22.692713,10.6008835
1583283263287,7.2089067,-37.764977,14.396337
1583283263338,-10.455845,-42.64676,11.93444
1583283263387,-1.1949797,-31.601677,8.835636
1583283263437,17.834555,-19.33266,7.2572336
1583283263488,26.185406,-14.165115,8.174859
1583283263538,24.236816,-7.2110033,9.597692
1583283263587,18.587568,0.48275375,9.804111
1583283263637,13.959494,8.038787,9.105408
1583283263687,12.252722,20.28068,11.80084
1583283263737,12.501908,29.30634,14.619953
1583283263787,12.815427,26.158257,12.285782
1583283263838,16.458,12.269893,8.302452
1583283263887,22.580107,2.2847083,7.758203
1583283263937,29.097471,-4.699952,8.458727
1583283263988,32.94469,-13.9253025,8.679962
1583283264037,23.858135,-30.45414,7.3120136
1583283264088,-1.8137647,-44.901196,1.4412112
1583283264137,-12.027295,-39.516613,-0.3431784
1583283264187,4.3617563,-26.914331,2.135842
1583283264238,22.244007,-18.85717,5.1037536
1583283264288,26.087873,-13.63869,6.769472
1583283264337,22.138182,-6.0891724,8.2680855
1583283264388,18.288067,1.799422,10.427634
1583283264437,14.143671,16.138868,14.171001
1583283264487,11.901495,32.45836,18.34913
1583283264537,10.657122,30.756866,14.962195
1583283264587,14.3560705,16.648659,9.230221
1583283264638,19.980354,5.4570346,7.379984
1583283264687,27.87951,-2.10857,8.287527
1583283264738,33.219273,-11.418295,10.116426
1583283264788,26.084167,-26.644753,10.115246
1583283264838,4.049963,-40.238056,6.312512
1583283264888,-12.138497,-39.731403,0.70557594
1583283264938,-3.4339027,-28.583406,-0.09335911
1583283264987,12.904179,-17.804617,2.406414
1583283265038,20.285175,-15.641438,4.910721
1583283265087,21.296745,-11.786437,7.3860707
1583283265138,21.341047,-5.8752313,9.70491
1583283265187,18.342283,3.6846852,12.802299
1583283265238,12.972257,17.228542,16.518732
1583283265287,8.391263,22.377821,17.173471
1583283265338,6.0328608,12.70936,10.670122
1583283265387,4.882413,1.5002623,2.9666524
1583283265437,0.3812328,-10.54206,-2.2894905
1583283265488,-1.1921134,-15.315326,-1.3891107
1583283265537,1.1119659,-9.755394,3.3795893
1583283265587,3.276204,-9.033133,3.7888813
1583283265637,5.4930177,-9.251254,3.573224
1583283265687,8.404169,-9.374534,5.69499
1583283265737,10.909062,-8.589703,11.596814
1583283265788,11.07785,-20.922863,17.414623
1583283265837,9.654158,-10.111577,13.002694
1583283265887,4.52082,1.9118869,6.0876617
1583283265938,5.004189,-8.582692,-5.5436687
1583283265988,6.2076287,-8.74954,-4.4680204
1583283266037,6.544553,-4.11372,0.17767507
1583283266088,7.5401316,-6.48846,2.5879898
1583283266138,7.9290175,-7.3301744,3.6387463
1583283266188,7.1910686,-6.1691847,3.4233308
1583283266237,7.1921005,-6.7679334,0.5901337
1583283266287,6.9447517,-6.3936667,0.21778691
1583283266338,6.900943,-6.5663395,0.82434916
1583283266388,7.3152385,-6.5856776,1.6328657
1583283266438,7.221842,-7.070112,1.6090624
1583283266488,6.9320364,-6.81452,1.5215096
1583283266538,6.617493,-6.870206,1.5205795
1583283266587,6.6593523,-6.9411607,1.38889
1583283266638,6.776897,-6.835487,1.2835736
1583283266688,7.0001373,-7.0898204,1.2300118
1583283266737,6.99877,-7.008728,1.216465
1583283266787,6.9498043,-7.007979,1.0891656
1583283266837,6.817597,-6.9359818,1.0645547
1583283266888,6.787827,-6.832125,1.3442403
1583283266937,6.8119173,-6.9031587,1.3943601
1583283266988,6.8078203,-6.832801,1.3269776
1583283267037,6.859617,-6.994532,1.2440586
1583283267087,6.816037,-6.864457,1.266174
1583283267138,6.799832,-6.986405,1.1394228
1583283267187,6.813888,-6.970966,1.2575198
1583283267238,6.779148,-6.930022,1.2735606
1583283267287,6.821321,-6.928738,1.2901068
1583283267337,6.823033,-6.8684063,1.309032
