Time,accX,accY,accZ
1583281488700,-3.051238,2.0722916,9.027293
1583281488719,-2.9099035,2.1968575,9.238097
1583281488739,-2.797315,2.256745,9.173418
1583281488759,-2.9673955,2.299864,9.024898
1583281488779,-2.9194856,2.333401,9.424946
1583281488800,-2.744614,2.132179,9.595027
1583281488820,-2.7470095,2.3357966,9.559094
1583281488839,-2.701495,2.635234,9.178209
1583281488859,-2.6990995,2.6520026,9.075203
1583281488879,-2.782942,2.6663754,9.154255
1583281488899,-2.749405,2.8196876,9.103949
1583281488920,-2.682331,2.9586265,9.089576
1583281488938,-2.529019,3.080797,9.135091
1583281488959,-2.5218325,3.4137714,8.984174
1583281488978,-2.4882956,3.224527,9.221329
1583281488999,-2.2966554,3.2796235,9.135091
1583281489019,-2.3158195,3.488032,8.797325
1583281489038,-2.184067,3.516778,8.715878
1583281489058,-2.0906425,3.8162155,8.862003
1583281489078,-2.002009,3.924013,8.823675
1583281489098,-2.2631185,3.7060225,8.885959
1583281489118,-2.476318,3.377839,9.022502
1583281489138,-2.1050155,3.4281445,8.624849
1583281489158,-2.519437,4.446232,8.876376
1583281489178,-2.2583275,4.096489,8.706296
1583281489198,-2.457154,4.887004,8.188868
1583281489218,-2.476318,3.511987,9.101554
1583281489238,-2.1768806,2.9059255,9.125508
1583281489258,-2.5553696,4.010251,9.144672
1583281489278,-2.399662,3.9311996,9.218933
1583281489298,-2.255932,4.2234507,8.675155
1583281489318,-2.4116395,4.8750267,9.077599
1583281489338,-2.3301926,4.4677916,9.118322
1583281489358,-2.1912534,3.8928716,8.720669
1583281489378,-2.1672986,2.9490445,8.648804
1583281489398,-2.279887,3.559897,8.744624
1583281489417,-1.7696455,2.0627096,9.142277
1583281489438,-1.9612855,2.716681,9.436923
1583281489458,-1.8894205,2.61607,9.583049
1583281489477,-1.882234,2.826874,9.434528
1583281489498,-1.795996,3.004141,9.367454
1583281489518,-1.551655,3.2365046,9.451297
1583281489537,-1.652266,3.262855,9.530348
1583281489557,-1.637893,2.9442534,9.398596
1583281489577,-1.5732145,2.922694,9.312358
1583281489597,-1.589983,3.4377265,8.988965
1583281489617,-1.465417,3.401794,9.10874
1583281489637,-1.522909,3.2365046,9.25247
1583281489657,-1.498954,3.310765,9.266843
1583281489677,-1.3911566,2.80771,9.559094
1583281489697,-1.4390665,3.0400734,9.017711
1583281489717,-1.5875875,3.195781,8.203241
1583281489736,-1.355224,3.90964,8.466746
1583281489757,-1.058182,4.757647,9.056039
1583281489777,-0.6868795,6.7722626,8.378113
1583281489797,0.0365615,5.787712,8.236778
1583281489817,0.2809025,5.3589177,7.52771
1583281489836,0.5971085,5.3253803,8.15054
1583281489857,0.9899705,4.9085636,8.299061
1583281489876,1.4834435,3.785074,7.6211343
1583281489896,2.103878,2.889157,4.4926114
1583281489917,2.745872,2.386102,5.783786
1583281489936,1.284617,5.6511683,9.118322
1583281489956,0.221015,7.0740957,8.493096
1583281489976,0.4677515,5.0762486,8.423627
1583281489997,3.9364355,6.717166,9.223724
1583281490017,3.6154385,9.416895,9.309962
1583281490036,3.0501006,9.186927,7.925363
1583281490056,2.822528,5.44276,7.1995263
1583281490076,1.859537,3.9982736,8.615267
1583281490097,0.7743755,3.4664724,9.393805
1583281490117,0.891755,3.741955,8.921891
1583281490136,2.204489,1.6123555,6.516809
1583281490156,3.3231876,-1.3868105,5.1968884
1583281490175,2.6572385,2.7430315,5.9107475
1583281490196,2.391338,5.8284354,7.7552824
1583281490216,1.7421575,5.3445444,9.595027
1583281490235,2.2068844,2.0147996,9.602213
1583281490255,3.5100365,2.017195,10.586763
1583281490275,5.4216456,0.89131,8.188868
1583281490296,5.385713,-0.670556,6.9647675
1583281490315,3.1938305,5.878741,11.971362
1583281490335,3.565133,5.773339,12.745109
1583281490355,2.8536694,1.8183686,14.045865
1583281490375,4.0035095,-0.761585,12.124675
1583281490395,3.0692644,-2.242004,12.800205
1583281490415,2.3122866,-3.094802,13.288887
1583281490435,3.3758886,-0.35435,11.286249
1583281490455,2.3314505,5.711056,8.212823
1583281490475,1.6128005,4.10128,6.5287867
1583281490495,0.6258545,2.3837066,5.3310366
1583281490515,3.636998,1.116487,11.801282
1583281490535,2.3458235,-2.3114736,16.50844
1583281490555,5.5078835,-4.728533,14.479451
1583281490575,8.693898,-4.723742,8.823675
1583281490595,7.8171453,-0.4334015,10.876619
1583281490615,6.147482,0.752371,8.160122
1583281490634,7.115264,-2.2539816,5.156165
1583281490655,6.564299,-2.1916986,6.1023874
1583281490675,6.731984,-1.729367,6.627002
1583281490695,6.291212,-2.390525,6.531182
1583281490715,6.1642504,-0.54599,7.0270505
1583281490734,6.214556,-0.651392,5.7526445
1583281490754,5.3066616,-0.028562,6.7683363
1583281490774,5.572562,0.6493645,8.078675
1583281490794,4.9329634,1.413529,12.203726
1583281490814,3.066869,-1.940171,10.778403
1583281490834,2.7099395,-2.3498015,12.146234
1583281490854,1.9194245,-3.0349145,12.678035
1583281490874,4.9521275,-2.7378726,13.226604
1583281490894,7.067354,-2.773805,15.780208
1583281490914,6.267257,-1.5161675,16.882137
1583281490933,8.130956,-0.8885465,14.766911
1583281490953,10.250974,-1.274222,13.674563
1583281490973,12.473997,4.8079524,11.200011
1583281490994,12.756666,6.7387257,8.315829
1583281491013,14.555687,3.4089806,5.846069
1583281491033,14.277809,-1.9713125,2.2695875
1583281491053,10.200668,-3.3559115,6.320378
1583281491073,4.9090085,-2.5606055,7.4726133
1583281491093,3.5866926,-9.371012,2.6049576
1583281491113,-0.3035995,-2.936699,3.9272735
1583281491133,2.319473,1.1140915,5.951471
1583281491153,3.1459205,0.3283675,6.976745
1583281491173,-0.167056,1.207516,11.324577
1583281491192,-7.756,-7.0162354,14.443519
1583281491213,-7.1978483,-4.7021823,12.119884
1583281491232,-2.29426,0.230152,8.169704
1583281491252,-1.407925,0.733207,11.966572
1583281491273,6.257675,5.576908,5.7574353
1583281491292,3.2992325,6.7578893,8.658386
1583281491313,0.479729,2.4172435,7.139639
1583281491332,-2.203231,-5.6316366,7.0222597
1583281491352,-2.3589385,-9.26561,1.4934455
1583281491372,13.734031,-5.1046267,-2.4160106
1583281491391,4.4538636,-1.4107655,4.26983
1583281491413,-1.71934,-0.426215,11.171266
1583281491431,3.201017,1.883047,8.957824
1583281491453,2.0439906,-2.342615,5.5945415
1583281491472,7.714139,-5.859209,4.820795
1583281491491,17.25302,-3.9260404,8.691923
1583281491512,17.23146,-4.4290953,17.145643
1583281491531,12.715943,-4.5105424,32.390606
1583281491551,16.714033,0.0456985,22.183378
1583281491572,14.785655,0.8266315,0.2286215
1583281491592,9.465249,-0.7304435,6.4808764
1583281491612,1.4930255,-1.7173895,11.83961
1583281491631,6.066035,-7.8402877,-6.069148
1583281491651,8.1189785,-4.350044,-2.025544
1583281491672,6.4181733,3.981505,2.300729
1583281491691,6.1498775,3.253273,3.8314536
1583281491712,5.7570157,1.494976,4.552499
1583281491731,3.98195,1.5931915,-2.5166216
1583281491752,3.3231876,4.503724,-5.5157876
1583281491771,2.290727,2.822083,-10.795469
1583281491791,0.417446,-3.070847,-10.69965
1583281491811,-7.099633,-15.546611,-13.049635
1583281491831,-14.980828,-25.38972,-16.046406
1583281491851,-1.474999,-7.229435,-11.353621
1583281491872,3.220181,-2.759432,-6.672814
1583281491892,6.679283,-4.757279,0.508895
1583281491912,9.889253,-4.4051404,1.812047
1583281491932,8.037532,-4.388372,-0.5714755
1583281491952,-0.6293875,-9.64889,-5.5732794
1583281491971,-7.123588,-14.847125,-6.2440195
1583281491991,0.1946645,-8.800883,-4.0976515
1583281492011,-1.4726036,-9.33987,-6.2871385
1583281492291,-0.181429,-8.479886,-4.147957
1583281492310,-0.3563005,-8.427185,-4.330015
1583281492330,-0.6102235,-8.35532,-4.4857225
1583281492337,-0.5705658,-8.376596,-4.485175
1583281492399,-0.20757103,-8.77683,-4.358697
1583281492649,-0.9569685,-8.43429,-4.1651497
1583281492699,-0.9623206,-8.43908,-4.146749
1583281492749,-1.022342,-8.455907,-4.1959596
1583281492799,-1.1129307,-8.449374,-4.299195
1583281492849,-1.1824142,-8.374651,-4.335073
1583281492899,-1.0981401,-8.380402,-4.38122
1583281492950,-1.0207591,-8.369853,-4.431531
1583281493000,-1.0628211,-8.4578705,-4.5382133
1583281493050,-1.0213863,-8.389904,-4.6541057
1583281493099,-0.78142434,-8.432641,-4.7406807
1583281493149,-0.4900081,-8.373357,-4.8777037
1583281493199,-0.5696093,-8.379456,-4.924279
1583281493250,-0.31941232,-8.41327,-4.960444
1583281493299,-0.15145685,-8.346594,-4.49349
1583281493349,0.003621325,-8.408586,-4.368625
1583281493399,-0.031477183,-8.219791,-4.447979
1583281493449,0.11148116,-8.095122,-4.635881
1583281493499,0.5515209,-8.265729,-4.8317876
1583281493550,0.708913,-8.209907,-4.7064724
1583281493599,0.6596699,-8.181078,-4.785786
1583281493649,0.80144763,-8.179989,-4.9847856
1583281493700,0.86392033,-8.08428,-4.837064
1583281493749,0.78911495,-7.943602,-4.864558
1583281493799,0.7801623,-8.198741,-4.9225826
1583281493849,0.80765617,-7.9546657,-4.944071
1583281493900,1.0593727,-7.9066563,-5.05132
1583281493949,1.1252394,-8.101602,-4.9941287
1583281493999,1.2053641,-7.9583826,-5.048044
Time,accX,accY,accZ
1583281488700,-3.051238,2.0722916,9.027293
1583281488719,-2.9099035,2.1968575,9.238097
1583281488739,-2.797315,2.256745,9.173418
1583281488759,-2.9673955,2.299864,9.024898
1583281488779,-2.9194856,2.333401,9.424946
1583281488800,-2.744614,2.132179,9.595027
1583281488820,-2.7470095,2.3357966,9.559094
1583281488839,-2.701495,2.635234,9.178209
1583281488859,-2.6990995,2.6520026,9.075203
1583281488879,-2.782942,2.6663754,9.154255
1583281488899,-2.749405,2.8196876,9.103949
1583281488920,-2.682331,2.9586265,9.089576
1583281488938,-2.529019,3.080797,9.135091
1583281488959,-2.5218325,3.4137714,8.984174
1583281488978,-2.4882956,3.224527,9.221329
1583281488999,-2.2966554,3.2796235,9.135091
1583281489019,-2.3158195,3.488032,8.797325
1583281489038,-2.184067,3.516778,8.715878
1583281489058,-2.0906425,3.8162155,8.862003
1583281489078,-2.002009,3.924013,8.823675
1583281489098,-2.2631185,3.7060225,8.885959
1583281489118,-2.476318,3.377839,9.022502
1583281489138,-2.1050155,3.4281445,8.624849
1583281489158,-2.519437,4.446232,8.876376
1583281489178,-2.2583275,4.096489,8.706296
1583281489198,-2.457154,4.887004,8.188868
1583281489218,-2.476318,3.511987,9.101554
1583281489238,-2.1768806,2.9059255,9.125508
1583281489258,-2.5553696,4.010251,9.144672
1583281489278,-2.399662,3.9311996,9.218933
1583281489298,-2.255932,4.2234507,8.675155
1583281489318,-2.4116395,4.8750267,9.077599
1583281489338,-2.3301926,4.4677916,9.118322
1583281489358,-2.1912534,3.8928716,8.720669
1583281489378,-2.1672986,2.9490445,8.648804
1583281489398,-2.279887,3.559897,8.744624
1583281489417,-1.7696455,2.0627096,9.142277
1583281489438,-1.9612855,2.716681,9.436923
1583281489458,-1.8894205,2.61607,9.583049
1583281489477,-1.882234,2.826874,9.434528
1583281489498,-1.795996,3.004141,9.367454
1583281489518,-1.551655,3.2365046,9.451297
1583281489537,-1.652266,3.262855,9.530348
1583281489557,-1.637893,2.9442534,9.398596
1583281489577,-1.5732145,2.922694,9.312358
1583281489597,-1.589983,3.4377265,8.988965
1583281489617,-1.465417,3.401794,9.10874
1583281489637,-1.522909,3.2365046,9.25247
1583281489657,-1.498954,3.310765,9.266843
1583281489677,-1.3911566,2.80771,9.559094
1583281489697,-1.4390665,3.0400734,9.017711
1583281489717,-1.5875875,3.195781,8.203241
1583281489736,-1.355224,3.90964,8.466746
1583281489757,-1.058182,4.757647,9.056039
1583281489777,-0.6868795,6.7722626,8.378113
1583281489797,0.0365615,5.787712,8.236778
1583281489817,0.2809025,5.3589177,7.52771
1583281489836,0.5971085,5.3253803,8.15054
1583281489857,0.9899705,4.9085636,8.299061
1583281489876,1.4834435,3.785074,7.6211343
1583281489896,2.103878,2.889157,4.4926114
1583281489917,2.745872,2.386102,5.783786
1583281489936,1.284617,5.6511683,9.118322
1583281489956,0.221015,7.0740957,8.493096
1583281489976,0.4677515,5.0762486,8.423627
1583281489997,3.9364355,6.717166,9.223724
1583281490017,3.6154385,9.416895,9.309962
1583281490036,3.0501006,9.186927,7.925363
1583281490056,2.822528,5.44276,7.1995263
1583281490076,1.859537,3.9982736,8.615267
1583281490097,0.7743755,3.4664724,9.393805
1583281490117,0.891755,3.741955,8.921891
1583281490136,2.204489,1.6123555,6.516809
1583281490156,3.3231876,-1.3868105,5.1968884
1583281490175,2.6572385,2.7430315,5.9107475
1583281490196,2.391338,5.8284354,7.7552824
1583281490216,1.7421575,5.3445444,9.595027
1583281490235,2.2068844,2.0147996,9.602213
