Time,rotX,rotY,rotZosboxe
1582926099934,1.1677458,1.9917511,0.22254355
1582926099985,0.9984517,1.8497708,0.14084843
1582926100035,0.79531443,1.7321064,0.097872876
1582926100084,0.6028404,1.6439034,0.1245881
1582926100135,0.40987533,1.5802149,0.20143089
1582926100185,0.24791013,1.4733891,0.25982445
1582926100235,0.04008339,1.3891126,0.39413953
1582926100284,0.15857442,1.4268277,0.55101365
1582926100335,0.65159804,1.1917797,0.45223084
1582926100385,0.6756804,0.81507254,0.21687803
1582926100434,0.6710794,1.1040118,0.15004003
1582926100485,0.49490425,1.1544508,0.12583625
1582926100534,0.37314025,0.9180687,0.08797608
1582926100585,0.495423,0.9690028,0.16812772
1582926100635,0.4745419,1.0534903,0.25833267
1582926100685,0.3402384,1.0492982,0.3587589
1582926100735,0.2825379,1.0507809,0.47090963
1582926100785,0.4046907,1.0715629,0.42365828
1582926100835,0.77023935,1.274652,0.30859917
1582926100885,0.8927947,1.3886081,0.16331495
1582926100935,0.7239174,1.4746311,0.19387566
1582926100984,0.8219541,1.4035419,0.2647852
1582926101035,0.80401486,1.2708856,0.20775376
1582926101085,0.5812412,1.0768536,0.14750126
1582926101135,0.317303,0.91738915,0.1732238
1582926101185,-0.08390863,0.7679281,0.19155379
1582926101234,-0.41027173,0.47757766,0.026975408
1582926101285,-5.27706E-4,0.29498973,-0.18901588
1582926101335,0.10715714,0.101219125,-0.09272025
1582926101385,0.07948403,0.2481932,0.060952432
1582926101434,0.01766963,0.37478754,0.1510836
1582926101485,0.049943294,0.34656298,0.21423143
1582926101535,0.124963656,0.3964298,0.29776776
1582926101585,0.108237475,0.43830147,0.35116777
1582926101635,0.07359001,0.56257516,0.46704507
1582926101685,0.22221021,0.75417614,0.5872084
1582926101734,0.32990965,0.7848073,0.5108567
1582926101785,0.26998422,0.6211704,0.34742248
1582926101835,0.13656244,0.40391922,0.057379194
1582926101884,0.3627505,0.27297664,-0.34494138
1582926101935,0.40816972,0.38467687,-0.027470604
1582926101985,0.028820362,0.2922999,0.08167866
1582926102035,-0.2184386,-0.04375377,-0.23098977
1582926102085,-0.013745856,-0.042671274,-0.16055039
1582926102135,0.09624542,0.012869571,-0.09221868
1582926102185,0.016178604,-0.036871415,-0.08397674
1582926102235,-0.19278148,-0.14898056,-0.052258305
1582926102285,-0.3739549,-0.3224826,-0.09664114
1582926102335,-0.115841046,-0.21505095,-0.14036721
1582926102385,0.24790426,-0.03433265,-0.033724137
1582926102435,-0.14776924,-0.26971415,0.14494523
1582926102485,-0.2448964,-0.32948664,0.10646558
1582926102535,0.023109596,0.029580865,0.2555933
1582926102585,0.030172754,0.03704642,0.108874306
1582926102635,-0.02724429,0.018450987,-0.030197088
1582926102685,0.01418791,0.37624013,0.102948226
1582926102735,0.2902727,0.79753464,0.3540869
1582926102785,0.5345062,0.7315299,0.353166
1582926102834,0.38780546,0.16042757,0.029426567
