Time,accX,accY,accZ
1582926324022,-0.1071685,0.3858595,9.942374
1582926324042,-0.114355,0.3643,9.899255
1582926324062,-0.1311235,0.3666955,9.853741
1582926324081,-0.147892,0.345136,9.853741
1582926324103,-0.1790335,0.359509,9.822599
1582926324123,-0.181429,0.3762775,9.853741
1582926324142,-0.1694515,0.3906505,9.94956
1582926324161,-0.1311235,0.397837,9.975911
1582926324180,-0.0904,0.3906505,9.928001
1582926324202,-0.0688405,0.3858595,9.858532
1582926324222,-0.095191,0.3714865,9.839368
1582926324242,-0.133519,0.3714865,9.820204
1582926324261,-0.181429,0.3762775,9.894464
1582926324282,-0.18622,0.393046,9.963934
1582926324301,-0.167056,0.4050235,9.978307
1582926324322,-0.1454965,0.3762775,9.887278
1582926324342,-0.1215415,0.3475315,9.844158
1582926324362,-0.114355,0.349927,9.832181
1582926324381,-0.104773,0.3906505,9.853741
1582926324401,-0.1167505,0.3906505,9.916023
1582926324421,-0.133519,0.3762775,9.959143
1582926324441,-0.1359145,0.3762775,9.911233
1582926324460,-0.123937,0.349927,9.832181
1582926324480,-0.1407055,0.3427405,9.846554
1582926324501,-0.1502875,0.369091,9.863322
1582926324521,-0.1359145,0.4098145,9.92321
1582926324542,-0.119146,0.4193965,9.99268
1582926324561,-0.1263325,0.4146055,9.978307
1582926324580,-0.1311235,0.3762775,9.8681135
1582926324601,-0.1359145,0.330763,9.789062
1582926324621,-0.133519,0.3283675,9.805831
1582926324641,-0.1454965,0.3762775,9.8753
1582926324660,-0.13831,0.407419,9.954351
1582926324681,-0.119146,0.4050235,9.97112
1582926324702,-0.114355,0.383464,9.906442
1582926324720,-0.1263325,0.3571135,9.858532
1582926324741,-0.1263325,0.354718,9.882486
1582926324760,-0.1263325,0.3906505,9.870509
1582926324781,-0.1502875,0.3762775,9.846554
1582926324800,-0.1694515,0.335554,9.832181
1582926324821,-0.1694515,0.3331585,9.829785
1582926324841,-0.1263325,0.3619045,9.892069
1582926324861,-0.085609,0.436165,10.021425
1582926324880,-0.0544675,0.479284,10.054962
1582926324901,-0.0904,0.426583,9.904046
1582926324919,-0.152683,0.325972,9.755525
1582926324940,-0.1838245,0.2948305,9.745943
1582926324959,-0.181429,0.3475315,9.884882
1582926324979,-0.147892,0.4193965,10.028612
1582926325001,-0.0904,0.41221,10.0262165
1582926325020,-0.109564,0.4146055,9.942374
1582926325040,-0.1407055,0.3858595,9.810621
1582926325060,-0.128728,0.349927,9.743547
1582926325079,-0.109564,0.335554,9.813017
1582926325100,-0.104773,0.335554,9.975911
1582926325119,-0.104773,0.383464,10.009448
1582926325140,-0.066445,0.397837,9.90165
1582926325159,-0.047281,0.359509,9.844158
1582926325179,-0.104773,0.3427405,9.808226
1582926325200,-0.176638,0.3858595,9.80104
1582926325219,-0.152683,0.4002325,9.918419
1582926325239,-0.13831,0.388255,9.980702
1582926325258,-0.1407055,0.354718,9.968724
1582926325279,-0.109564,0.359509,9.937583
1582926325298,-0.104773,0.3762775,9.82739
1582926325319,-0.1071685,0.3954415,9.791457
1582926325339,-0.1215415,0.388255,9.865718
1582926325360,-0.1071685,0.3619045,9.916023
1582926325379,-0.1407055,0.359509,9.9208145
1582926325399,-0.13831,0.3858595,9.975911
1582926325419,-0.119146,0.397837,9.918419
1582926325439,-0.1359145,0.397837,9.822599
1582926325460,-0.080818,0.3666955,9.906442
