Time,rotX,rotY,rotZosboxe
1583282425537,-0.6048725,-0.21543829,0.13320966
1583282425587,-0.96942294,-0.18026896,0.12544058
1583282425637,-0.8527979,-0.12657574,0.1390166
1583282425687,-0.45352224,-0.11937075,0.16210501
1583282425737,-0.5110654,-0.15907963,0.14654277
1583282425788,-0.5857462,-0.20501213,0.1087062
1583282425838,-0.71572214,-0.21708281,0.10538587
1583282425887,-0.7349044,-0.2514977,0.09100648
1583282425938,-0.27064812,-0.3194959,0.05153091
1583282425988,-0.16342852,-0.43408343,-0.064644925
1583282426038,-0.7521341,-0.45600328,-0.14422558
1583282426088,-1.0300937,-0.4163903,-0.135187
1583282426137,-0.63047415,-0.23939103,0.0383754
1583282426187,-0.5273587,-0.15184921,0.22243942
1583282426237,-0.027301224,-0.10110063,0.20165391
1583282426287,-0.3685291,-0.37389383,0.31895557
1583282426338,-1.2332964,-0.5012214,0.4116941
1583282426387,-2.4002373,-0.40761703,0.3150588
1583282426437,-3.3533614,-0.27266696,-0.023651347
1583282426488,-2.5835068,-0.5808628,-0.49007004
1583282426537,-2.0342834,-0.7860472,-0.7700284
1583282426587,-2.071261,-0.36030802,-0.88856536
1583282426637,-1.6445463,0.19006851,-0.80069834
1583282426688,-0.8956433,0.5015869,-0.8827886
1583282426737,-1.2781163,0.5428704,-1.012279
1583282426788,-2.0449364,0.68398815,-0.88321173
1583282426837,-2.4486995,0.4928829,-0.7200579
1583282426887,-2.4781852,0.3138385,-0.21600498
1583282426937,-1.0672162,0.15645075,0.16262902
1583282426988,0.0064120116,0.13650498,-0.08942141
1583282427038,0.17939088,0.057527322,-0.21200813
1583282427087,0.3799191,0.0044408636,-0.19140153
1583282427137,0.23663175,0.0027913293,-0.03140427
1583282427188,0.090591684,7.5389724E-4,-0.03569783
1583282427238,0.18016768,-5.7038944E-4,-0.07830706
1583282427288,0.13682526,0.0052185953,-0.10918936
1583282427337,0.14641362,0.009917455,-0.079113886
