Time,rotX,rotY,rotZosboxe
1583283006037,0.031616718,0.03525461,0.04084487
1583283006087,0.048146874,0.02310323,0.036466092
1583283006138,-0.028235883,0.07185706,0.04423584
1583283006188,-0.09361515,0.11633901,0.016190715
1583283006237,-0.14155033,0.08844163,-0.0667284
1583283006287,-0.17440096,0.08474656,-0.07578661
1583283006337,-0.27245924,0.12882082,-0.042532317
1583283006388,-0.32348326,0.23602536,0.027899072
1583283006438,-0.25921282,0.33598804,0.05022881
1583283006487,-0.056512654,0.37059867,0.02900634
1583283006538,-0.014066771,0.25346014,0.015770927
1583283006588,0.21195929,0.12299366,-0.06601228
1583283006637,0.04800024,0.060401928,-0.08801307
1583283006688,-0.19557583,0.025699537,0.05831483
1583283006738,-0.56321615,-0.0011128862,0.10036645
1583283006787,-0.4390339,0.016786223,0.017657854
1583283006838,0.0074616927,-0.010843251,0.005903095
1583283006887,-0.025770593,0.0046572965,0.019042261
1583283006937,-0.0558556,0.0025125784,0.018232584
1583283006987,-0.031951986,0.01599124,-2.4531689E-4
1583283007037,-0.0025010686,0.016746623,-0.046966787
1583283007088,0.06704971,-0.018061638,-0.05543416
1583283007138,0.0058931815,-0.030738123,-0.036518984
1583283007187,-0.055213884,-0.043518253,-0.031801034
1583283007238,-0.07428977,-0.03258255,-0.036370274
1583283007287,-0.21728556,-0.019606467,-0.026454784
1583283007337,-0.13304563,-0.058011193,-0.07734692
1583283007387,-0.03088634,-0.084606,-0.13976482
1583283007437,-0.031074166,-0.11675989,-0.26290682
1583283007488,0.077574596,-0.25201344,-0.3493657
1583283007537,0.074754216,-0.36710837,-0.36110544
1583283007588,-0.02098956,-0.4342142,-0.33070982
1583283007637,0.03744466,-0.36775562,-0.33088267
1583283007687,0.3457215,-0.38549682,-0.4406231
1583283007737,0.5583447,-0.572254,-0.53858167
1583283007787,-0.25396028,-0.717013,-0.69202423
1583283007837,0.14876334,-0.8934328,-0.8626068
1583283007888,1.232498,-0.7824727,-0.87412864
1583283007938,0.24522208,-0.20841591,-0.5818712
1583283007988,-0.98382294,0.58363587,0.46591386
1583283008037,1.488672,1.0040028,1.220966
1583283008088,1.5959089,1.042599,0.9112096
1583283008138,-0.42170367,0.5445414,0.52251524
1583283008188,-1.4782046,-0.13865234,-0.080570206
1583283008238,-0.95855427,-0.40645364,-0.7930745
1583283008288,0.3746676,-0.29741997,-0.77651215
1583283008337,2.3975067,-0.890424,-0.38161066
1583283008387,2.0184515,-1.8126371,-0.6455444
1583283008437,-0.8879329,-1.361216,0.033111185
1583283008487,0.8171979,-0.24706419,0.42767844
1583283008537,0.028820917,0.0033343318,-0.07069522
