Time,accX,accY,accZ
1583283438487,-5.770585,-6.3663697,3.661213
1583283438538,-5.813314,-7.3318553,3.3209674
1583283438588,-5.6128373,-7.6425505,2.8017774
1583283438637,-5.6111717,-7.479214,1.8649262
1583283438688,-5.8478665,-7.7758093,1.1912181
1583283438737,-5.710743,-8.049566,0.4678677
1583283438788,-5.7993727,-7.3496213,-0.5209915
1583283438838,-5.764329,-7.436556,-0.65722
1583283438887,-5.8208413,-6.7458344,-0.432827
1583283438938,-5.666165,-7.22887,-1.1438618
1583283438987,-5.68263,-7.5267186,-1.9931111
1583283439037,-5.671589,-7.5274014,-2.336083
1583283439087,-5.660098,-7.3557987,-3.229795
1583283439137,-5.47242,-7.2871466,-3.645533
1583283439187,-5.427893,-6.6777005,-3.876154
1583283439238,-5.317276,-6.963146,-3.8181708
1583283439288,-5.4961123,-6.622049,-3.9538054
1583283439337,-5.479901,-6.2446313,-4.513725
1583283439387,-5.486833,-6.2444487,-4.8207073
1583283439438,-5.630855,-5.6717277,-5.5409346
1583283439487,-5.3635545,-5.679503,-5.161925
1583283439538,-5.218459,-6.0978355,-4.578513
1583283439587,-5.4225845,-6.0828705,-4.4511266
1583283439638,-5.183226,-6.2982273,-5.4952197
1583283439688,-5.265608,-7.04588,-6.4406977
1583283439737,-5.387406,-7.0808854,-4.5440607
1583283439787,-5.528141,-7.2824206,-4.137979
1583283439837,-6.024416,-6.560477,-3.262401
1583283439887,-6.8488607,-5.174487,-0.87890947
1583283439937,-7.4926505,-4.3022475,0.33636793
1583283439987,-7.704881,-5.2615433,1.2995315
1583283440038,-7.3335524,-5.8603206,1.4140383
1583283440087,-7.603475,-5.6601715,2.1621776
1583283440137,-7.227025,-5.6433363,2.625543
1583283440187,-7.3123345,-5.4420147,3.123744
1583283440238,-7.2642293,-5.3231907,3.2073631
1583283440287,-7.239142,-5.4238777,3.235711
1583283440337,-7.319746,-5.0122385,3.2524104
1583283440387,-7.4372077,-5.6847363,3.2780237
1583283440437,-7.2954516,-5.2106953,3.7202106
1583283440488,-7.2247753,-5.045381,3.7965117
1583283440538,-7.162493,-5.0862155,3.805449
1583283440588,-7.127599,-5.8679767,3.7774625
1583283440638,-7.0848885,-5.433206,3.7058141
1583283440687,-7.0886083,-5.1620016,3.7278051
1583283440737,-7.1986446,-5.1245556,3.672242
1583283440787,-7.0596585,-5.574293,3.6667428
1583283440838,-6.9751554,-5.6435194,3.8851042
1583283440888,-6.9680157,-5.372331,4.1686425
1583283440938,-6.83754,-5.408938,4.472171
1583283440987,-6.929032,-5.284222,4.439664
1583283441038,-6.9959855,-4.6913266,4.5917892
1583283441087,-6.797689,-4.6472855,4.823213
1583283441137,-6.854904,-4.3329434,4.937136
1583283441188,-6.8288636,-4.64722,4.965386
1583283441238,-6.7831874,-4.697936,5.3112473
