Time,rotX,rotY,rotZosboxe
1583286758762,1.001314,-3.207677,1.8885487
1583286758812,0.3743795,-3.9167442,2.136653
1583286758862,0.3144482,-4.5008335,2.3703933
1583286758912,0.045390744,-4.580406,2.4209728
1583286758963,-0.5448407,-4.0520306,2.1148977
1583286759013,-1.0911146,-3.038634,1.6445171
1583286759062,-0.69529736,-1.6750565,0.9540411
1583286759112,0.30264166,0.15547302,0.020326827
1583286759162,0.6490634,1.9412211,-0.7628359
1583286759213,0.945362,3.1777413,-1.4664507
1583286759263,0.80211633,3.8490212,-2.0910137
1583286759313,0.17996804,4.2259774,-2.5316777
1583286759362,-0.35407913,4.3365593,-2.6153255
1583286759413,-1.0196352,4.299271,-2.371322
1583286759463,-0.38783857,3.7339962,-1.9712963
1583286759512,-0.2860587,2.491563,-1.355818
1583286759562,-0.5275611,0.53633016,-0.22207734
1583286759612,0.1422437,-1.5978764,1.1572832
1583286759662,0.5264661,-2.7586834,1.8215901
1583286759712,0.54734826,-3.3207595,2.000387
1583286759763,0.39770156,-4.0027485,2.2353237
1583286759813,0.36954385,-4.355173,2.445727
1583286759862,0.110152245,-4.229807,2.4974494
1583286759912,-0.48713163,-3.7644083,2.1945424
1583286759962,-0.8662351,-2.9161003,1.5383357
1583286760012,-0.38973874,-1.7195526,0.74341124
1583286760062,-0.043318283,-0.2807469,0.0787651
1583286760112,0.46476206,1.2325833,-0.51527584
1583286760162,0.8891487,2.4918003,-1.0453111
1583286760212,1.0390568,3.33022,-1.5883404
1583286760263,0.5701983,3.8533094,-2.0574954
1583286760313,0.12258004,4.062785,-2.3299
1583286760363,0.25802657,3.9359398,-2.5514643
1583286760412,0.47399524,3.4360545,-2.9963553
1583286760462,1.2919316,2.5914452,-3.7685854
1583286760512,1.122094,1.7810982,-4.328996
1583286760563,1.4421083,0.6185236,-4.5002337
1583286760612,2.7661903,-0.6604986,-4.1991086
1583286760662,3.9538057,-1.7582973,-3.2662702
1583286760712,4.9418697,-2.9663196,-1.6202704
1583286760762,3.8073053,-3.235041,0.24254973
1583286760812,2.4904728,-2.9986432,1.7750714
1583286760862,1.4516985,-2.1717994,2.9919748
1583286760913,0.94485223,-1.6949352,3.655657
1583286760962,-0.11367153,-1.2585764,3.925986
1583286761012,-0.63798803,-1.1932968,3.5681756
1583286761062,-0.55608267,-1.0584407,3.091386
1583286761113,-0.75819564,-0.83588165,2.6205518
1583286761162,2.511554,-0.43239033,1.6488332
1583286761212,6.3769903,0.11824541,0.32831344
1583286761263,5.287957,-0.40315178,-0.0016177846
1583286761312,4.232588,-0.09361938,-0.37474453
1583286761362,-0.37312302,0.19766814,0.007233427
1583286761413,-1.8320862,0.008111047,0.18310717
1583286761463,-1.1571302,-0.09046833,0.05166481
1583286761512,-0.5851946,0.009071404,-0.08076327
1583286761563,-0.48975047,0.04089895,-0.14063123
1583286761612,-0.05060475,-0.04212133,-0.12538174
1583286761662,-0.06368838,-0.04807425,-0.037986483
1583286761713,-0.07947794,-0.0060940194,0.023027971
1583286761763,0.022565309,0.029267075,0.009705565
1583286761812,0.02995271,0.028328786,-0.016525257
1583286761862,-0.023002021,-0.009660887,-0.021070406
1583286761912,-0.08560771,-0.008846264,-0.03923172
1583286761963,-0.009436359,-0.017833209,-0.017678302
1583286762013,0.03099637,0.0064253905,-0.025227133
1583286762062,-0.009025397,0.01492908,-0.010375134
1583286762113,-0.02520938,0.030784499,-0.013084877
1583286762162,-0.06099602,0.020891275,-0.0064815343
1583286762213,0.015086652,0.006611148,0.0030291425
1583286762262,-0.0029181533,0.015383884,-3.4473836E-4
1583286762313,-0.02281774,0.009300881,-0.0020767776
1583286762363,-0.042989105,0.005271115,-0.013455417
1583286762412,-0.04389676,0.0050693695,-0.00577325
1583286762462,-0.018746788,0.01801946,-0.007117881
1583286762513,0.0018228663,0.0056474945,3.7580263E-5
1583286762563,-0.0024484147,0.01341431,-0.013714121
1583286762613,-0.035920344,0.010233361,-0.015152513
1583286762663,0.026463771,0.0056927316,-0.014180215
1583286762712,-0.039089024,0.010733619,-0.014890934
1583286762763,0.030143155,7.410613E-4,-0.0127996905
1583286762813,-0.0012366038,0.005935261,-0.01947489
1583286762862,0.008801068,0.0022316012,-0.014436191
1583286762913,0.022037977,0.001292374,-0.016531954
1583286762962,-0.025700035,0.0143036675,-0.017697444
1583286763012,-0.02578537,0.015766708,-0.015027367
1583286763063,-0.0029583361,0.006683054,-0.012357288
1583286763113,0.0086771855,-2.2488972E-4,-0.011327829
1583286763162,0.022000926,-0.0028935247,-0.0052784355
1583286763212,0.018966038,-0.0015955535,-0.004604738
1583286763263,-0.015382637,0.010337035,-8.527548E-4
1583286763313,-0.024170602,0.01279908,-0.005871152
1583286763363,-0.022731114,0.01279908,0.0037572952
1583286763413,-0.0052251765,0.008709893,0.012349856
1583286763463,-2.2971857E-4,0.0064090802,1.514079E-4
1583286763513,-0.007823793,0.01077956,0.004821175
1583286763563,0.012249105,0.0053440803,0.0021987567
1583286763612,-0.006444399,0.0046449155,0.016435217
1583286763662,0.034737237,0.0013714684,0.018430833
1583286763712,3.6147487E-4,0.007822567,0.0055029914
1583286763763,-0.017924262,0.011381207,0.0072866986
1583286763813,-0.025791703,0.016007043,0.009616868
1583286763863,-0.041584536,0.015090361,0.01333898
1583286763913,-0.03910014,0.020632878,0.0042940592
1583286763963,-0.02640898,0.021465205,0.0042075096
1583286764012,-0.034723084,0.018795127,0.001785262
1583286764063,-0.030124512,0.003131336,-2.1377113E-4
1583286764112,0.0047738743,0.008440694,-0.0093202535
1583286764162,0.03443246,0.014668148,-0.0076911105
