Time,rotX,rotY,rotZosboxe
1583287829099,3.9373605,0.049959283,0.31387076
1583287829150,6.307871,0.11809142,0.72942466
1583287829200,5.519008,-0.3331966,1.1213619
1583287829250,3.3690648,-0.61370254,1.1211766
1583287829300,2.966453,-0.06839475,0.8941174
1583287829350,2.439043,0.18446626,0.5237768
1583287829400,1.3383312,0.33752644,0.06590577
1583287829450,0.22662458,0.1437443,-0.36259323
1583287829500,0.6456149,0.04337885,-0.3636021
1583287829550,0.7895039,-0.24142219,-0.24568212
1583287829600,0.44843295,-0.38706392,-0.23817778
1583287829650,0.15453747,-0.29411837,-0.28711736
1583287829700,0.05701788,-0.11407453,-0.24407908
1583287829750,-0.0799071,0.0045468817,-0.21894832
1583287829800,-0.33341584,0.012508882,-0.14106518
1583287829850,-0.15054998,0.053081404,-0.020256843
1583287829900,-0.22292408,0.0016676183,0.11794854
1583287829950,-0.11905505,0.033918504,0.2571402
1583287830000,-0.607444,-0.031193826,0.33320972
1583287830050,-0.4758026,-0.07169011,0.40884402
1583287830100,-0.1974588,-0.15379567,0.4287681
1583287830150,0.17061871,-0.052324176,0.40360743
1583287830200,0.22633973,0.04508413,0.34416497
1583287830250,0.23304528,0.16954602,0.172079
1583287830300,0.010996164,0.18846112,-0.014060072
1583287830350,0.03235699,0.1099181,-0.08423879
1583287830400,0.009562624,-0.03394029,-0.12997177
1583287830450,-0.0016623903,-0.10537341,-0.17495677
1583287830500,-0.03389481,-0.11152211,-0.20368381
1583287830550,0.14367586,-0.12521374,-0.17196512
1583287830600,0.12076767,-0.22454616,-0.15428537
1583287830650,0.1445214,-0.3036878,-0.13424104
1583287830700,0.23534513,-0.27366033,-0.08014766
1583287830750,0.13793413,-0.20865357,-0.06643629
1583287830800,0.15239695,-0.14067437,-0.045448035
1583287830850,0.1037506,-0.10369423,-0.024535388
1583287830900,0.04060177,-0.06044587,-0.0030619728
1583287830950,-0.038399395,5.853502E-4,0.027497955
1583287831000,-0.055468444,0.02999716,0.047916777
1583287831050,-0.033597987,0.036974363,0.05035643
1583287831100,-0.041118022,0.016611477,0.03897003
1583287831150,-0.060362946,0.0020997478,0.021780163
1583287831200,-0.13161887,-0.016379923,-0.004083948
1583287831250,-0.06609155,-0.011123089,-4.2652013E-4
1583287831300,-0.014677911,0.0046965997,-0.002513507
1583287831350,-0.034526877,0.018032767,-0.023466617
1583287831400,-0.07236843,0.02485132,-0.040757105
1583287831450,-0.12831907,-0.022205781,-0.11783961
1583287831500,0.07665829,-0.44258812,-0.36231756
1583287831550,0.7571135,-1.0539,-0.43215418
1583287831600,0.9021271,-1.4029024,-0.38088495
1583287831650,0.116802245,-2.2448142,0.041970618
1583287831700,-0.27328944,-3.0553746,0.16347633
1583287831750,-0.16679029,-2.2022758,0.13036217
1583287831800,0.088424735,-1.6117352,0.33627835
1583287831850,-0.0017627282,-0.57914865,0.14343132
1583287831900,-0.96488005,0.39054853,-0.22714342
1583287831950,-1.0860403,1.0491517,-0.33258352
1583287832000,-1.2029757,0.41490707,-0.40844578
1583287832050,-1.3840973,0.06488472,-0.0760855
1583287832100,-0.7384655,-0.70799494,-0.25843236
1583287832150,0.2704136,-1.6582782,-0.71514547
1583287832200,0.3984582,-2.8501627,-1.0973904
1583287832250,0.4833766,-3.061535,-1.4403418
1583287832300,0.9318556,-2.1995864,-1.7218043
1583287832350,1.4406772,-1.6920199,-1.810531
1583287832400,1.2756913,-1.2034457,-1.8665205
1583287832450,0.022096224,-0.88577783,-1.9557918
1583287832500,0.23236093,-0.5281179,-1.8911339
1583287832550,0.8357574,-0.5536631,-1.8101174
1583287832600,0.69712305,-0.7676213,-1.657321
1583287832650,1.0731783,-0.78399026,-1.3726635
1583287832700,1.1390917,-0.77627563,-1.016839
1583287832750,0.8748609,-1.1436057,-0.8009742
1583287832800,0.5314306,-0.96300626,-0.8273892
1583287832850,0.42293528,-1.005187,-0.78291994
1583287832900,0.022484973,-0.9454736,-0.6205326
1583287832950,-0.0982975,-0.75285685,-0.2825446
1583287833000,-0.014316249,-0.56348574,0.20564416
1583287833050,0.28551728,-0.5660184,0.71556807
1583287833100,0.34264168,-0.22700106,1.1478697
1583287833150,0.46221808,-0.039235424,1.4049278
1583287833200,-0.011677842,0.30649397,1.2572705
1583287833250,-0.318114,0.5888733,0.9096784
1583287833300,-0.29888347,0.7230731,0.5428452
1583287833350,-0.083614275,0.3522142,-0.026546158
1583287833400,0.13774428,-0.049335364,-0.9815027
1583287833450,0.5670929,-0.4075223,-1.2919357
1583287833500,0.8709256,-0.7861869,-1.4189171
1583287833550,0.8157489,-1.1783059,-1.5043468
1583287833600,1.7521358,-2.0495653,-1.1826266
1583287833650,2.6609921,-3.0037732,-0.436501
1583287833700,3.976575,-3.9798455,0.98275536
1583287833750,5.291418,-3.451245,3.1208982
1583287833800,4.177987,-0.79160106,4.3698044
1583287833850,2.269743,0.39641392,4.459549
