Time,accX,accY,accZ
1583288555062,-0.05153296,6.867224,7.43189
1583288555112,-0.018695785,6.765645,7.4795527
1583288555162,-0.013133589,6.825328,7.4367423
1583288555213,-0.0065107355,6.869023,7.429579
1583288555263,0.019898603,6.8160725,7.423907
1583288555312,0.007902546,6.8914933,7.4129434
1583288555363,0.016130326,6.8511577,7.4290776
1583288555413,-0.013474118,6.886628,7.435258
1583288555462,-0.039547797,6.741062,7.4754267
1583288555512,-0.0260229,6.9010167,7.4151216
1583288555562,-0.043040425,6.8756614,7.420463
1583288555613,-0.07598912,6.814375,7.445761
1583288555662,-0.053263556,6.8460226,7.431373
1583288555712,-0.032305516,6.8175883,7.434569
1583288555763,-0.06409694,6.827723,7.435156
1583288555813,-0.015666021,6.879001,7.4186034
1583288555862,-0.008953813,6.849873,7.417517
1583288555912,0.015772767,6.886438,7.4085317
1583288555963,0.03820529,6.9434705,7.3767934
1583288556013,0.046031695,6.955238,7.3606744
1583288556062,-0.01610611,6.913733,7.396814
1583288556112,-0.061189223,6.679338,7.478084
1583288556163,-0.06616507,6.929526,7.3699427
1583288556213,-0.0697398,6.976061,7.336729
1583288556263,-0.08423866,6.8495398,7.41108
1583288556312,-0.033586875,6.8256226,7.40988
1583288556362,0.018163936,7.0277457,7.3209167
1583288556413,0.0013486352,6.9662886,7.348142
1583288556462,0.0015521459,6.8955183,7.39209
1583288556513,0.018879306,6.9501915,7.339537
1583288556562,-0.0029798606,6.941812,7.344704
1583288556613,0.021703724,6.9509177,7.3633995
1583288556662,0.018455582,6.9268527,7.34671
1583288556712,0.033298712,6.925265,7.3303084
1583288556763,0.042695094,6.952893,7.3632827
1583288556813,0.0365615,6.9242053,7.3457127
1583288556862,0.053176668,6.969024,7.3274436
1583288556913,0.05869903,6.940898,7.335781
1583288556962,0.059322648,6.9536963,7.336366
1583288557012,0.045812055,6.9234834,7.3619113
1583288557062,-0.00931121,7.0091147,7.3279567
1583288557113,-0.034011964,6.992461,7.3089385
1583288557162,-0.03967574,6.97495,7.3081384
1583288557212,-0.09062608,6.9811087,7.3134284
1583288557262,-0.083559595,6.9017577,7.362974
1583288557312,-0.01557587,6.9161053,7.3312225
1583288557363,0.013086834,7.027143,7.280013
1583288557413,-6.725192E-4,7.036355,7.268662
1583288557463,-0.032424577,6.9780464,7.33486
1583288557512,-0.03931868,6.9483933,7.3143945
1583288557563,-0.028433125,7.0357013,7.282853
1583288557613,-0.037601545,6.9544177,7.3160753
1583288557663,-0.027514512,6.9842715,7.3105164
1583288557712,-0.023078471,7.035607,7.280512
1583288557762,-0.053816285,6.9846015,7.2879276
1583288557813,-0.03670267,6.9768763,7.3250146
1583288557862,-0.019361302,7.049974,7.259746
1583288557912,-0.06806624,6.9905477,7.2844014
1583288557962,-0.030808676,6.985218,7.312385
1583288558012,-0.04468759,7.0210342,7.2599897
1583288558063,-0.058865372,7.012075,7.2881966
1583288558113,-0.037687104,6.9854383,7.324629
1583288558162,-0.047281,7.0198126,7.277493
1583288558212,-0.050663304,6.984046,7.308315
1583288558263,-0.038280718,7.012075,7.2987113
1583288558313,-0.06251816,7.0259123,7.273196
1583288558362,-0.048537757,6.9759135,7.312199
1583288558412,-0.03632726,7.0577354,7.253047
1583288558463,-0.06375647,6.9730477,7.3183713
1583288558513,-0.05898511,6.920558,7.3464723
1583288558562,-0.008817192,6.967471,7.289197
1583288558612,0.019266881,7.087808,7.241172
1583288558663,0.019125387,7.026712,7.3163643
1583288558713,-0.014412145,7.00764,7.2732687
1583288558763,-0.04382472,6.9804864,7.2949014
1583288558812,-0.032031428,6.9962683,7.282522
1583288558863,-0.04783274,7.048129,7.264156
1583288558913,-0.024101011,7.01287,7.2937965
1583288558963,-0.04507523,7.0240746,7.2739663
1583288559012,-0.04930947,6.9836655,7.327473
1583288559063,-0.018358245,6.9697766,7.293078
