Time,accX,accY,accZ
1583287854200,-2.4419162,7.3034744,7.002469
1583287854250,-1.7704864,7.0205812,7.483899
1583287854300,-1.0185237,6.078247,7.92109
1583287854350,-0.657035,6.3921337,7.784982
1583287854400,-1.2915868,7.3273787,7.068225
1583287854450,-1.9622447,8.237174,6.6438737
1583287854500,-0.7348734,7.0471954,7.3350554
1583287854550,-0.66898507,6.871384,8.070592
1583287854600,-0.6285344,6.4455795,7.9638925
1583287854650,-0.125416,5.727726,7.2911744
1583287854700,0.78367865,5.6997623,6.936261
1583287854749,1.1670811,5.4553823,7.2041454
1583287854800,0.054818362,7.5148,8.286831
1583287854850,-0.1639485,7.1145797,7.1500955
1583287854900,-0.13436446,7.437034,7.024256
1583287854950,-0.10522911,7.7959566,6.557271
1583287855000,0.15724021,8.258011,6.2177024
1583287855050,0.24214885,8.271128,6.2823124
1583287855100,-0.6983905,8.224432,6.1977983
1583287855150,0.5537468,7.8597574,6.4259434
1583287855200,1.1797585,6.560014,6.6006413
1583287855250,1.5580916,7.0313334,7.2584248
1583287855300,0.9195713,7.0843153,6.43367
1583287855350,1.7455771,8.175433,6.3431525
1583287855400,1.6543977,8.934534,6.7542686
1583287855450,1.5558234,8.118504,6.024106
1583287855500,0.58158034,7.382807,5.837219
1583287855550,-0.6123939,7.508988,6.187711
1583287855600,-0.9245596,7.073304,6.897339
1583287855650,-0.6099713,6.580581,7.3059306
1583287855700,-0.7486679,6.315253,7.2261086
1583287855750,-0.37313753,6.5729475,7.371792
1583287855800,-0.1432521,6.2432175,7.4911127
1583287855850,1.1275449,7.8124866,8.31154
1583287855900,0.42056888,6.8102746,6.406151
1583287855950,0.66167176,7.315525,6.9765053
1583287856000,0.680853,7.0406966,5.526291
1583287856050,1.009438,7.296071,5.0510736
1583287856100,0.9458718,7.5161915,4.0829225
1583287856150,1.0192046,9.145632,6.467496
1583287856200,-0.7436015,9.9331,9.550908
1583287856250,-2.0686376,3.3807838,13.639217
1583287856300,-3.4528346,3.3681104,15.80205
1583287856350,-4.2818804,6.1413755,13.391659
1583287856400,-8.116197,10.015947,10.442318
1583287856449,-12.58852,11.642659,10.370716
1583287856499,-13.41872,11.211729,7.417944
1583287856550,-11.729849,6.6047754,-1.5296878
1583287856600,-9.27569,2.6983757,-8.423103
1583287856650,-4.0894337,1.8583963,-10.008523
1583287856700,-0.68400866,1.3452481,-11.855231
1583287856750,2.022772,2.1331306,-15.802192
1583287856800,1.1807905,8.456474,-16.890135
1583287856850,-1.1542797,12.631805,-17.137833
1583287856900,-4.4365797,13.406861,-15.754278
1583287856950,-7.317728,12.203951,-14.027468
1583287857000,-10.494737,11.889485,-11.048468
1583287857050,-11.35117,11.376327,-8.896496
1583287857100,-10.539451,9.790461,-6.6044006
1583287857150,-8.622249,9.054764,-5.254245
1583287857200,-7.981052,8.727194,-2.033371
1583287857250,-6.3175144,6.4346085,0.08989763
1583287857300,-5.3124714,8.65579,4.3702087
1583287857350,-4.6750503,10.662219,8.5949135
1583287857400,-2.9377644,14.681762,16.952835
1583287857450,1.6715009,13.197898,15.672196
1583287857500,-1.6145656,15.351328,13.366243
1583287857550,1.2436782,11.741474,6.569523
1583287857600,-0.5310264,10.645869,3.4811273
1583287857650,-2.2007875,10.953842,0.046016276
1583287857700,-3.4758642,11.227055,-1.784037
1583287857750,-4.2432017,9.9896755,-3.3505979
1583287857800,-5.4937615,8.916281,-3.6921096
1583287857850,-6.723647,6.782031,-5.623026
1583287857900,-6.510276,7.5879416,-7.1100473
1583287857950,-4.9671545,8.977175,-9.131094
1583287858000,-2.9210906,8.299102,-13.849824
1583287858050,-0.24213475,7.255892,-18.026873
1583287858100,2.478001,6.736,-19.182388
1583287858150,3.099639,6.145318,-19.910522
1583287858200,0.33618528,7.206131,-17.743824
1583287858250,-3.4201355,8.147362,-14.60742
1583287858300,-6.7094975,9.158157,-11.92374
1583287858350,-8.51046,10.245731,-9.364829
1583287858400,-7.6557083,10.976395,-6.351741
1583287858450,-5.5721416,9.982341,-4.720433
1583287858500,-4.130292,9.8290415,-2.5576177
1583287858550,-2.3162951,8.00912,-3.0250125
1583287858600,-2.8619413,9.162943,-1.5815252
1583287858650,-3.1668816,9.99733,0.78082
1583287858700,-1.1374068,9.607994,3.3779516
1583287858750,0.8789437,10.07755,9.497702
1583287858799,1.303932,11.269398,17.253403
1583287858850,3.0175047,11.863543,16.033703
1583287858900,-0.6790313,10.820076,10.503221
1583287858950,0.30465367,9.950577,9.163887
1583287859000,-0.5935873,10.354974,7.0439234
1583287859050,-2.1812954,10.852804,4.1466084
1583287859100,-4.198363,10.390942,0.14940798
1583287859150,-6.3760023,10.206957,-2.4294164
1583287859200,-8.119871,9.573839,-5.0133867
1583287859250,-9.818115,7.9831214,-7.316475
1583287859300,-11.729293,6.6830926,-11.303347
1583287859350,-8.937696,7.825918,-13.1131935
1583287859400,-5.3475676,7.414017,-15.406837
1583287859450,-1.9829032,6.404171,-17.564388
1583287859500,-0.029455509,7.8155212,-20.043715
1583287859550,0.111863434,12.402658,-21.827536
1583287859600,-0.51516414,10.594294,-20.254898
1583287859650,-3.256057,7.951122,-17.036648
1583287859700,-6.0245857,6.5785675,-15.431021
1583287859750,-9.750322,6.2570305,-13.251936
1583287859800,-12.880624,8.018753,-10.554373
1583287859849,-11.31818,7.5790615,-8.202436
1583287859900,-8.819196,8.291723,-5.08057
1583287859950,-4.775258,8.762901,-4.0322723
1583287860000,-1.5260665,11.121897,-3.4707353
1583287860050,-1.2122986,11.143782,-0.85872453
1583287860100,-1.9264524,10.353579,1.9184822
1583287860150,-1.5627404,8.818462,6.726283
1583287860200,-0.9234245,8.241862,11.071596
1583287860250,-0.4653268,5.6237283,21.754002
1583287860300,0.1742543,12.130611,7.866743
1583287860350,-0.37471893,9.447364,7.7330084
1583287860400,-0.6028227,8.602469,8.065092
1583287860449,-0.92178464,8.544534,6.160186
1583287860500,-0.7847058,7.3705344,3.6643655
1583287860550,-1.2153673,7.576498,-0.29823798
1583287860600,-1.9269702,7.75801,-3.1689262
1583287860650,-2.7658253,7.8371873,-5.8655167
1583287860700,-3.906466,8.030849,-7.181687
1583287860750,-6.227331,7.50023,-8.61734
1583287860800,-7.0405293,8.213134,-10.603878
1583287860850,-10.705202,10.937044,-9.9603815
1583287860900,-10.784175,10.651943,-9.284444
1583287860950,-10.438044,14.453154,-8.760557
1583287861000,-7.4561872,16.636036,-7.0021544
1583287861049,-6.3276834,14.128014,-5.26304
1583287861100,-6.8671865,12.900244,-2.838604
1583287861150,-9.618288,10.351662,-3.398224
1583287861200,-11.832222,7.8377504,-1.8125912
1583287861250,-12.550949,5.363125,-1.7719909
1583287861300,-11.237234,5.3619976,-0.34707946
1583287861350,-12.124983,6.333597,6.4242396
1583287861399,-7.3517427,-10.897777,4.8409586
1583287861450,-8.6930485,8.652695,-0.660618
1583287861500,-9.267479,5.9571724,-0.5626067
1583287861550,-8.412288,5.3239975,0.13934508
1583287861600,-7.407803,4.8627996,-0.031546198
1583287861650,-6.7182016,6.069776,-1.6895309E-4
1583287861700,-7.1003914,5.922827,-0.18072498
1583287861750,-7.829294,6.204652,-0.68161476
1583287861800,-8.2804785,6.400927,-1.0615363
1583287861849,-8.686463,6.8133945,-1.5241802
1583287861900,-8.833843,6.653644,-1.3391232
1583287861950,-8.878923,6.1051683,-0.9788327
1583287861999,-8.848695,6.015477,-0.82800734
1583287862050,-8.8511715,5.5191345,-1.0630598
1583287862100,-8.790296,4.6354475,-1.1084727
1583287862150,-8.646616,4.1255236,-1.2359796
1583287862200,-8.639477,4.0982943,-1.2974385
1583287862250,-8.768718,4.032465,-1.089437
1583287862300,-8.856047,4.2952223,-0.96931976
1583287862350,-8.865306,4.4539614,-0.96795833
1583287862400,-8.868071,4.5240803,-1.0461812
1583287862449,-8.84259,4.478161,-1.0982461
1583287862500,-8.719681,4.565774,-1.1573253
1583287862550,-8.7350235,4.6009645,-1.1488433
1583287862600,-8.753748,4.475337,-1.1481751
1583287862650,-8.800001,4.4418507,-1.142153
1583287862700,-8.809675,4.4290266,-1.1490448
1583287862750,-8.855466,4.4734726,-1.1785113
1583287862800,-8.832291,4.4655385,-1.1598082
