Time,accX,accY,accZ
1583287158463,3.174863,-6.6562405,6.432304
1583287158513,3.1533897,-6.6471786,6.4753785
1583287158563,3.1564004,-6.617837,6.4656057
1583287158612,3.1558194,-6.622195,6.4472
1583287158662,3.1696796,-6.630168,6.463952
1583287158712,3.1815631,-6.6693535,6.4400916
1583287158762,3.2136836,-6.6425843,6.4238863
1583287158812,3.1735315,-6.60716,6.5073566
1583287158863,3.0983825,-6.483164,6.607483
1583287158912,3.189444,-6.64061,6.416666
1583287158963,3.1533868,-6.6571903,6.508356
1583287159012,3.1277285,-6.551767,6.5543594
1583287159062,3.1911337,-6.520154,6.5427957
1583287159113,3.1133575,-6.546796,6.5417376
1583287159163,3.1424255,-6.604329,6.532443
1583287159212,3.173594,-6.633492,6.4985747
1583287159262,3.1574361,-6.4777846,6.576428
1583287159312,3.193489,-6.348118,6.6173615
1583287159362,3.1528249,-6.5011663,6.6138916
1583287159413,3.1858141,-6.5764966,6.5162044
1583287159462,3.1850228,-6.474294,6.537594
1583287159512,3.1722736,-6.54624,6.5219193
1583287159563,3.1411295,-6.555352,6.557354
1583287159613,3.1334593,-6.6086226,6.6086993
1583287159662,3.0713336,-6.6459126,6.577858
1583287159712,3.1130478,-6.5788064,6.489441
1583287159763,3.172271,-6.5300245,6.4819756
1583287159812,3.1283638,-6.515048,6.6485696
1583287159863,3.1160743,-6.340851,6.7636924
1583287159912,3.10389,-6.4665775,6.667676
1583287159963,3.0901904,-6.4286427,6.777733
1583287160012,3.043709,-6.4406013,6.8058186
1583287160062,3.0738227,-6.398662,6.671052
1583287160112,3.200772,-6.4416127,6.600443
1583287160162,3.1436222,-6.459093,6.6577864
1583287160213,3.1044135,-6.4515905,6.6007643
1583287160263,3.0965548,-6.4734893,6.617984
1583287160312,3.105551,-6.535402,6.559397
1583287160363,3.0579705,-6.5610905,6.610231
1583287160412,3.060667,-6.582336,6.5583844
1583287160463,3.0958564,-6.482392,6.561093
1583287160512,3.131164,-6.5442767,6.4427214
1583287160562,3.1539278,-6.561426,6.4317765
1583287160612,3.114222,-6.0542617,7.002336
1583287160663,2.997998,-6.5955887,6.7234187
1583287160713,3.0382571,-6.583974,6.6171184
1583287160763,3.049142,-6.3363166,6.8151927
1583287160813,2.946861,-6.4206834,6.824824
1583287160862,3.0799074,-6.3761663,6.8118935
1583287160913,3.0884285,-6.4606175,6.6593585
