Time,accX,accY,accZ
1583288275062,-0.3147887,9.360454,3.8807077
1583288275112,-0.30645394,9.34962,3.9070346
1583288275163,-0.31694555,9.36478,3.883421
1583288275212,-0.3019598,9.365461,3.90241
1583288275263,-0.31586853,9.335156,3.9530015
1583288275312,-0.309394,9.343601,3.9160285
1583288275362,-0.31060362,9.355548,3.9257898
1583288275412,-0.31075475,9.337055,3.9250343
1583288275463,-0.3099908,9.343826,3.9218714
1583288275513,-0.2999438,9.335701,3.96106
1583288275562,-0.30795002,9.358274,3.9166174
1583288275613,-0.3035995,9.337841,3.9330504
1583288275662,-0.31376874,9.35693,3.9189124
1583288275712,-0.320368,9.313073,3.9613378
1583288275763,-0.3049597,9.361201,3.9390848
1583288275812,-0.3243714,9.315857,3.9804602
1583288275863,-0.31871626,9.328508,3.9419777
1583288275913,-0.30390078,9.351026,3.9673507
1583288275962,-0.3185312,9.314806,3.97151
1583288276012,-0.29960027,9.332951,3.9573998
1583288276063,-0.31204048,9.321797,3.9843092
1583288276113,-0.32089907,9.310697,3.9576073
1583288276163,-0.296413,9.339218,3.9776068
1583288276212,-0.30494815,9.325465,3.9573681
1583288276262,-0.32108384,9.329445,3.9750595
1583288276313,-0.2989769,9.337843,3.9905534
1583288276362,-0.320368,9.308573,3.954747
1583288276412,-0.3144777,9.315734,3.9774995
1583288276463,-0.3044059,9.327384,3.9776974
1583288276513,-0.31677857,9.30909,3.980977
1583288276562,-0.30241764,9.336193,3.9983294
1583288276613,-0.3143572,9.305345,3.9834087
1583288276662,-0.31634754,9.299557,3.9824328
1583288276713,-0.29991317,9.352957,3.9652312
1583288276762,-0.2938826,9.3210745,3.9591174
1583288276812,-0.3093929,9.316952,3.9677196
1583288276862,-0.3143086,9.327873,3.9731758
1583288276913,-0.3113861,9.321975,3.9745834
1583288276962,-0.32435286,9.326889,3.9897738
1583288277013,-0.3033326,9.31788,3.9693277
1583288277063,-0.3040505,9.327265,3.9546196
1583288277113,-0.30383137,9.312536,3.9921448
1583288277163,-0.30900562,9.254063,3.9499364
1583288277213,-0.3332466,9.317427,3.9644592
1583288277263,-0.3456678,9.246167,4.050789
1583288277312,-0.34680033,9.49018,3.7765958
1583288277362,-0.31948817,9.468518,3.8363547
1583288277413,-0.35662216,9.337512,3.7742403
1583288277462,-0.3432802,9.503755,3.73193
1583288277513,-0.34173793,9.43321,3.879342
1583288277563,-0.37363005,9.354417,3.8740072
1583288277613,-0.2900678,9.373357,3.937226
1583288277663,-0.26244986,9.3487425,3.8058906
1583288277712,-0.2888238,9.413381,3.8230588
1583288277762,-0.2890816,9.331688,3.964783
