Time,accX,accY,accZ
1583286908462,6.3237295,-1.3229017,7.7012057
1583286908513,6.306203,-1.3399988,7.690673
1583286908563,6.330525,-1.3731723,7.6916475
1583286908612,6.3301377,-1.3474542,7.6971927
1583286908663,6.341262,-1.3416729,7.703086
1583286908712,6.2985363,-1.3281044,7.6996355
1583286908763,6.302284,-1.3696762,7.691349
1583286908812,6.306937,-1.3181903,7.7078753
1583286908863,6.327578,-1.3959485,7.693873
1583286908912,6.328153,-1.3402557,7.6579657
1583286908963,6.3197246,-1.3456205,7.6970696
1583286909013,6.3086195,-1.3719369,7.703082
1583286909062,6.3143353,-1.3608617,7.6842494
1583286909112,6.3339195,-1.3636049,7.687459
1583286909162,6.3165293,-1.3517791,7.7017245
1583286909212,6.2826886,-1.361435,7.6996565
1583286909262,6.317398,-1.358432,7.722861
1583286909312,6.3213887,-1.3051378,7.6977854
1583286909363,6.297151,-1.3846151,7.6847153
1583286909412,6.3079805,-1.3660988,7.6943674
1583286909462,6.3203526,-1.3464817,7.694728
1583286909512,6.289982,-1.3558089,7.6967645
1583286909562,6.3193264,-1.3781208,7.7056084
1583286909613,6.3089485,-1.3434309,7.7130075
1583286909662,6.2986994,-1.3640348,7.69631
1583286909712,6.3635354,-1.3889294,7.694201
1583286909762,6.33099,-1.3620108,7.6889744
1583286909813,6.2888494,-1.2689711,7.6868634
1583286909862,6.292133,-1.3307114,7.771862
1583286909912,6.282462,-1.3658757,7.704041
1583286909962,6.338354,-1.357165,7.6609178
1583286910013,6.348015,-1.321233,7.6954255
1583286910063,6.3132463,-1.3082808,7.6921697
1583286910112,6.330896,-1.3302383,7.688268
1583286910163,6.316164,-1.2847363,7.7179084
1583286910212,6.300067,-1.343347,7.7021756
1583286910262,6.3092422,-1.3375119,7.7146864
1583286910313,6.3242564,-1.2760129,7.7127686
1583286910362,6.333343,-1.2932371,7.689616
1583286910412,6.3223634,-1.2957717,7.713734
1583286910463,6.2977376,-1.353439,7.6890893
1583286910513,6.3256707,-1.3342466,7.677475
1583286910562,6.337429,-1.308749,7.6834173
1583286910612,6.3123817,-1.318107,7.70623
1583286910662,6.3099003,-1.2949724,7.6923494
1583286910712,6.3728004,-1.3489753,7.682149
1583286910763,6.3195324,-1.3577806,7.703025
1583286910813,6.307745,-1.3107946,7.6849685
1583286910863,6.3603806,-1.3388692,7.6919208
1583286910912,6.3459277,-1.3326628,7.6853385
1583286910963,6.316395,-1.345153,7.6769314
1583286911012,6.3244777,-1.301673,7.7061667
1583286911063,6.3498907,-1.2973711,7.6919136
1583286911113,6.343682,-1.3501403,7.6571116
1583286911162,6.3506546,-1.3307148,7.6818585
1583286911212,6.323629,-1.311648,7.6759305
1583286911263,6.34318,-1.3709714,7.687942
1583286911312,6.339971,-1.3122368,7.6832657
1583286911362,6.348803,-1.3570155,7.6556215
1583286911413,6.328753,-1.3304513,7.677658
1583286911462,6.3152647,-1.3410356,7.6716027
1583286911513,6.3094187,-1.3392849,7.702485
1583286911562,6.316039,-1.3491688,7.6979456
1583286911612,6.3164434,-1.3695048,7.694768
1583286911662,6.324752,-1.3221227,7.6905932
1583286911712,6.3264804,-1.3046997,7.67873
1583286911762,6.310196,-1.3362981,7.7114162
1583286911812,6.312365,-1.3436351,7.681217
1583286911863,6.3079805,-1.3215672,7.7101912
1583286911913,6.313871,-1.305821,7.714966
1583286911962,6.32954,-1.3401623,7.680273
1583286912013,6.316455,-1.3244725,7.7031627
1583286912063,6.3288093,-1.328101,7.69373
1583286912112,6.3066034,-1.3085343,7.7090507
1583286912162,6.310965,-1.3421991,7.685027
1583286912213,6.321369,-1.3027368,7.6990714
1583286912262,6.3240576,-1.3292032,7.6932297
1583286912313,6.308208,-1.326923,7.6999583
1583286912363,6.3098397,-1.3136226,7.700987
