Time,accX,accY,accZ
1583286509688,-2.7596838,-9.370398,-2.114833
1583286509737,-3.492868,-9.089124,-1.8839333
1583286509788,-3.5706325,-8.498683,-2.5700974
1583286509837,-3.646572,-7.954991,-2.549723
1583286509887,-3.7236378,-7.673809,-2.778993
1583286509937,-3.7345934,-7.65883,-2.7498677
1583286509987,-3.9314198,-7.951295,-3.1738062
1583286510038,-4.0816755,-7.922735,-3.1033487
1583286510087,-4.150655,-8.012558,-3.373697
1583286510138,-4.3719263,-7.925049,-3.4253592
1583286510188,-4.23698,-8.087594,-3.4447255
1583286510238,-4.200163,-7.9353294,-3.0894854
1583286510287,-4.025328,-7.9522476,-3.1699862
1583286510337,-3.9605763,-7.9774923,-3.355611
1583286510387,-3.9262688,-8.214058,-3.5789275
1583286510437,-3.8903382,-8.12103,-3.3773222
1583286510488,-3.8667932,-7.9721837,-3.2190692
1583286510538,-3.9349113,-8.002383,-3.1192226
1583286510587,-3.9542391,-8.107538,-3.0908864
1583286510637,-3.8556342,-8.051649,-3.156569
1583286510687,-3.86519,-8.170519,-3.0749435
1583286510738,-3.800894,-8.197106,-2.9969628
1583286510787,-3.7798414,-8.106449,-2.8450654
1583286510837,-3.7063577,-8.161402,-2.8402655
1583286510888,-3.6740851,-8.185187,-2.9005933
1583286510938,-3.7474241,-8.122153,-2.8343773
1583286510988,-3.7255073,-8.352813,-2.7658134
1583286511037,-3.6720498,-8.130088,-2.8217363
1583286511088,-3.619577,-8.056461,-2.9382296
1583286511137,-3.6419563,-8.03271,-2.8848298
1583286511188,-3.8989284,-8.762458,-2.4177258
1583286511238,-3.6109395,-8.304265,-2.048657
1583286511287,-3.5513558,-8.619838,-2.0964582
1583286511337,-3.5172634,-8.8387785,-2.365562
1583286511388,-3.5336795,-8.691612,-2.6071548
1583286511437,-3.391431,-8.895774,-2.7258768
1583286511488,-3.0679302,-11.46792,-4.0372725
1583286511538,-3.7542615,-13.554024,-4.323159
1583286511588,-4.9156003,-10.4131775,-5.899831
1583286511637,-3.1139398,9.699782,-5.278178
1583286511687,-1.737011,16.141676,7.109069
1583286511738,-1.70487,5.390382,10.37062
1583286511788,-2.334547,7.3254185,7.4602613
1583286511838,-2.5353332,5.734432,7.958719
1583286511888,-2.6062436,5.5793266,7.812792
1583286511938,-2.193959,6.4475985,7.631416
1583286511987,-2.1958246,6.6834607,7.7073116
1583286512038,-2.2983615,6.3697944,7.304848
1583286512087,-2.2828515,6.2950945,7.3478513
1583286512137,-2.2688267,6.242857,7.3934045
1583286512187,-2.1708124,6.1116986,7.4011745
1583286512238,-1.5527184,5.379401,8.138537
1583286512288,-1.0224597,4.349137,8.498891
1583286512337,-0.64167684,3.312707,8.560363
1583286512387,-0.8849585,3.6632354,7.2844462
1583286512437,-0.7425777,3.827198,6.819583
1583286512487,-1.1868446,3.617628,5.6505375
1583286512538,-2.2800078,3.0798187,5.4615517
1583286512587,-2.8401036,3.191501,8.099996
1583286512637,-3.0240633,4.0287337,9.178936
1583286512687,-2.252059,0.5022478,9.360221
1583286512738,-3.2417488,-2.3458288,11.744881
1583286512788,0.35886598,-2.048592,15.809827
1583286512838,3.193444,-4.211111,16.628332
1583286512887,1.8733747,-1.8177584,11.40679
1583286512938,1.0220637,-1.4799707,6.627755
1583286512988,0.6444804,-2.9381423,8.660847
1583286513037,1.6424406,-3.2967849,10.965512
1583286513088,1.2168823,-2.1031053,9.990476
1583286513138,0.737503,-1.60283,9.167323
1583286513187,0.8822129,-1.705243,9.925077
1583286513237,0.8057439,-2.9904807,9.65217
1583286513287,0.86083305,-3.4866662,9.062405
1583286513337,0.95774055,-4.144824,8.948503
1583286513387,0.7509074,-4.418774,8.898792
1583286513438,0.6403679,-3.9400086,8.970924
1583286513487,0.6840838,-3.6735,9.10358
1583286513538,0.7826725,-3.8925738,9.034312
1583286513587,0.8152925,-3.9189918,8.93542
1583286513637,0.8093904,-4.106348,8.888673
1583286513687,0.7172825,-4.2442393,8.834321
1583286513738,0.76627344,-4.315,8.841994
1583286513787,0.7280838,-4.2037807,8.855445
1583286513838,0.7340251,-3.9935958,8.939033
1583286513887,0.7102287,-4.1056867,8.907148
1583286513937,0.82693577,-3.6805568,8.930968
1583286513987,1.0305536,-3.623983,8.961925
1583286514038,0.98321855,-3.6927667,9.075331
1583286514088,1.2387618,-4.427719,9.252647
1583286514138,1.3146054,-3.5712016,8.896712
1583286514188,1.1205353,-3.2699609,9.097173
1583286514237,0.8511208,-3.6906943,9.14848
1583286514287,0.70259947,-3.4839396,9.051957
1583286514337,0.70429164,-3.2536435,9.071886
1583286514387,0.6495688,-4.2118487,9.02539
1583286514438,0.6173187,-4.171583,8.8225
1583286514488,0.5967456,-4.3792224,8.8027935
1583286514538,0.62261736,-4.502935,8.732355
1583286514587,0.64374185,-4.493325,8.663133
1583286514638,0.6286981,-4.610765,8.594899
1583286514687,0.5163356,-4.920081,8.484298
1583286514738,0.42796522,-5.2870774,8.358175
1583286514787,0.40523714,-5.209006,8.225937
1583286514838,0.35564992,-5.2998624,8.246517
1583286514888,0.60988367,-5.4422297,8.77349
1583286514938,0.78373575,-5.361257,7.319202
1583286514987,0.24558331,-6.5495186,7.363596
1583286515038,0.40064418,-5.4030848,7.663384
1583286515088,0.80951214,-5.3801007,8.338649
1583286515137,0.81180686,-5.6859994,8.215527
1583286515187,0.8605658,-4.135052,7.995451
1583286515237,1.3655138,-4.5844088,8.936121
1583286515288,1.3686962,-5.725495,8.946344
1583286515337,1.1186537,-4.3103256,8.181595
1583286515388,1.0943133,-4.1084757,8.676363
1583286515437,1.097768,-4.3371983,8.907974
1583286515488,0.9999236,-4.41228,8.641838
1583286515537,0.8928053,-4.927453,8.557775
1583286515588,0.7881095,-4.784665,8.542355
1583286515638,0.8465724,-4.2795053,8.583572
1583286515687,0.8304626,-4.702943,8.616237
1583286515738,0.6359469,-5.1177816,8.368884
1583286515787,0.6340367,-5.1754255,8.349437
1583286515838,0.6024212,-5.179447,8.333043
1583286515888,0.5757646,-5.1971407,8.24291
1583286515937,0.5087088,-5.296244,8.344308
