Time,rotX,rotY,rotZosboxe
1583286118538,5.6015793E-5,-5.622669E-4,5.7076104E-6
1583286118588,5.6015793E-5,1.7487677E-4,7.428513E-4
1583286118637,5.6015793E-5,1.7487677E-4,7.428513E-4
1583286118687,5.6015793E-5,1.7487677E-4,-1.9006338E-4
1583286118738,5.6015793E-5,-2.272483E-4,7.428513E-4
1583286118787,5.6015793E-5,-2.1795928E-4,7.068785E-5
1583286118837,5.6015793E-5,1.7487677E-4,-3.2214867E-4
1583286118888,5.6015793E-5,3.2211887E-4,-3.2214867E-4
1583286118937,5.6015793E-5,8.2259625E-4,-3.2214867E-4
1583286118987,5.6015793E-5,1.7487677E-4,3.6464585E-4
1583286119038,5.6015793E-5,1.7487677E-4,-2.1369336E-4
1583286119088,-1.05567044E-4,1.7487677E-4,5.812682E-4
1583286119138,-0.0010089842,1.7487677E-4,-3.2214867E-4
1583286119187,-3.0732306E-4,8.76538E-4,-3.2214867E-4
1583286119237,5.6015793E-5,2.6817666E-4,6.495514E-4
1583286119287,5.6015793E-5,3.5161618E-4,7.428513E-4
1583286119337,5.6015793E-5,7.9344073E-4,2.9641483E-4
1583286119388,5.6015793E-5,-5.41674E-4,-3.2214867E-4
1583286119438,5.6015793E-5,9.597931E-5,6.6395383E-4
1583286119487,5.6015793E-5,3.65288E-4,-3.2214867E-4
1583286119538,5.6015793E-5,3.1763734E-4,1.3897102E-4
1583286119587,5.6015793E-5,-1.5896466E-4,1.1692755E-5
1583286119637,5.6015793E-5,1.7487677E-4,-3.2214867E-4
1583286119687,-1.9579323E-4,-8.901232E-4,-3.2214867E-4
1583286119737,3.4710858E-5,-3.6827568E-4,-3.2214867E-4
1583286119787,3.297343E-4,9.661587E-4,-3.2214867E-4
1583286119838,5.6015793E-5,1.7795386E-4,-3.2214867E-4
1583286119887,-2.1013408E-4,-6.239731E-4,-3.2214867E-4
1583286119938,-0.0010089842,1.7487677E-4,2.1404075E-4
1583286119987,-2.0275626E-4,9.81105E-4,7.428513E-4
1583286120038,5.6015793E-5,1.7487677E-4,-3.2214867E-4
1583286120088,5.6015793E-5,1.7487677E-4,-4.084222E-5
1583286120137,5.6015793E-5,1.7487677E-4,7.428513E-4
