Time,accX,accY,accZ
1583287741613,7.0495977,7.416615,-1.6879582
1583287741663,6.9870977,7.214308,-1.7355766
1583287741713,6.854589,7.0165114,-1.8654445
1583287741763,6.699565,6.6389337,-1.7528688
1583287741812,6.761413,7.355107,-1.4742256
1583287741862,7.0678806,7.175798,-1.6031438
1583287741912,7.1307096,6.8246856,-1.6631621
1583287741963,7.135785,7.1083946,-1.6357977
1583287742012,7.2810173,7.199357,-1.6389027
1583287742063,7.327023,7.277954,-1.6556971
1583287742113,7.3144007,7.273111,-1.7579955
1583287742163,7.1659656,6.7943287,-1.62199
1583287742212,6.9999337,6.969785,-1.4105303
1583287742262,6.9947414,7.129682,-1.5417817
1583287742312,6.772932,7.083869,-1.3845421
1583287742362,6.057028,6.8776717,-0.69306076
1583287742413,5.507768,7.383748,0.6847825
1583287742463,5.5774612,8.041285,1.4574295
1583287742512,5.626794,8.61497,2.16284
1583287742562,5.5048146,8.43835,-0.22003269
1583287742613,5.7591643,10.863251,-1.973558
1583287742663,5.4175577,9.662838,1.5507149
1583287742712,4.069739,6.394558,5.7027035
1583287742762,2.8454046,3.8292346,7.6482086
1583287742813,2.6340415,6.888309,7.3221054
1583287742863,2.4797287,9.044126,7.1404033
1583287742913,2.439248,7.593213,7.5168266
1583287742963,2.876316,6.5757504,6.5657916
1583287743012,3.7987008,6.9738455,5.4805384
1583287743062,3.4373252,6.594924,6.460324
1583287743112,2.1756413,6.2329545,7.17257
1583287743163,0.85528076,5.7750487,8.377823
1583287743212,0.56707114,5.6764245,9.828998
1583287743262,0.53491306,4.157618,10.710601
1583287743312,0.23700216,3.0041964,10.3977
1583287743363,0.008912563,2.274409,9.42554
1583287743413,-0.444408,2.273205,9.082754
1583287743462,-0.76870745,2.576508,9.14948
1583287743513,-1.3288221,2.7591217,8.618418
1583287743562,-0.5960448,4.1427355,9.220648
1583287743612,0.034142196,6.344153,10.874286
1583287743662,0.9929873,3.5181046,8.4456005
1583287743713,1.1868539,4.7083435,9.06113
