Time,rotX,rotY,rotZosboxe
1583287758962,-0.030166883,0.008586292,-0.013751993
1583287759013,-0.07296793,0.0068429755,-0.02475163
1583287759062,-0.07820824,0.0020819157,-0.0108597735
1583287759112,-0.0735981,-0.007292579,0.0023348671
1583287759162,-0.12309731,-0.01792467,-0.013121479
1583287759212,-0.15444498,-0.014220476,-0.033529643
1583287759262,-0.14977646,-0.012567928,-0.04807619
1583287759312,-0.0064885644,-0.02370638,-0.025934689
1583287759363,0.12267956,-0.059885975,0.016984459
1583287759412,0.1319922,-0.028804388,0.037866175
1583287759462,0.05867545,0.020851966,0.036972594
1583287759512,0.0059726452,0.0064648837,0.01970888
1583287759562,-0.021688007,-0.025608085,-0.0012224508
1583287759613,-0.024146877,-0.020603728,-0.0103781745
1583287759663,-0.0060037756,-6.581992E-4,-0.0066932705
1583287759712,-7.5368956E-4,0.011727107,0.004447066
1583287759763,-0.0036802618,0.016479058,0.013101566
1583287759813,0.0021243226,0.0071955905,0.007233397
1583287759862,-0.00969604,-0.0056116283,-0.004089562
1583287759912,-0.005622935,-0.008568085,-0.00789072
1583287759963,-0.0028899577,-0.0047848998,0.0015703747
1583287760013,0.0025406992,0.0022736243,0.009536232
1583287760062,-0.0041939607,0.009617593,0.006938602
1583287760112,-0.0012948727,0.009807507,0.0048892796
1583287760162,0.0020373487,0.0047383,0.005684972
1583287760212,-0.0060054436,-0.0018109521,0.004632242
1583287760262,-0.017968789,-0.005090045,0.007976339
1583287760313,-0.04541329,-0.0024199653,0.008205221
1583287760363,-0.14054634,0.0057845614,-0.004648072
1583287760412,-0.07856918,0.023796393,-0.016053855
1583287760463,0.044346206,0.011357126,0.008517369
1583287760513,0.104116485,0.0264422,0.050728366
1583287760562,0.2397168,0.071497515,0.10017155
1583287760612,0.0926898,0.08537257,0.077584855
1583287760663,-0.11243351,0.07613236,-0.009441878
1583287760713,-0.29563466,0.021160588,-0.078772284
1583287760762,-0.2627939,-0.0015883632,-0.14942089
1583287760812,0.022136476,-0.0037202165,-0.1400533
1583287760862,0.2506387,-0.04784474,-0.0360941
1583287760913,0.101846114,-0.060379792,0.036823988
1583287760963,-0.011879119,-0.0682307,0.02517398
1583287761013,-0.116625026,0.07423855,-0.003890758
1583287761063,-0.018817488,0.14872238,-7.892889E-4
1583287761113,0.043502223,0.028867157,0.02482381
1583287761163,-0.03241231,-0.026536427,0.0103810495
1583287761213,-0.007788915,0.0020934008,-8.440104E-4
1583287761262,0.004349983,0.025829658,0.008222331
1583287761313,0.00670131,0.021300457,0.017863449
1583287761363,0.014347249,0.01976827,0.022247862
1583287761412,0.047565438,-3.299727E-4,0.02299428
1583287761462,0.024746254,-0.024642982,0.015266341
1583287761513,-0.04633973,-0.006657142,-0.008400304
1583287761562,-0.017302774,0.02137949,-0.011404656
1583287761612,-0.006615335,0.0018975036,0.0019793855
1583287761662,-0.024893291,0.008717038,0.012562432
1583287761712,-0.068519406,0.06515348,0.083502606
1583287761763,-0.011254723,0.05415619,-0.05822613
1583287761812,0.123394355,0.05645855,-0.6614862
1583287761862,0.34748468,0.0014214255,-1.0815172
1583287761912,0.43221772,-0.13072476,-1.1125456
1583287761962,0.01931971,0.015404887,-1.0836605
1583287762012,-0.34500548,-0.042089924,-0.9899792
1583287762063,-0.6009573,-0.06092019,-0.8256848
1583287762113,-0.28687665,0.41154295,-0.7633765
1583287762163,-0.27476138,0.5562229,-0.55515754
1583287762212,-0.4222685,0.3985689,-0.27960473
