Time,accX,accY,accZ
1583288535063,-0.035167318,7.3590574,7.0741487
1583288535112,-0.034951698,7.305868,7.069046
1583288535163,-0.104325406,7.068814,7.1604505
1583288535212,-0.03795957,7.2387433,7.068937
1583288535262,-0.031500816,7.19676,7.0893335
1583288535313,-0.03224142,7.20891,7.084622
1583288535362,-0.0063867345,7.2391105,7.0582438
1583288535412,0.010154964,7.253424,7.0318975
1583288535462,0.044129312,7.281272,7.009891
1583288535513,0.115007155,7.3544383,6.9124646
1583288535562,0.15468594,7.5960383,6.8624945
1583288535612,0.12873554,7.287592,6.9971814
1583288535663,0.16768189,7.390668,6.8999557
1583288535712,0.06805888,7.3008356,6.9354877
1583288535763,-0.08382549,6.9411097,7.2037435
1583288535812,0.017615635,7.241061,7.064067
1583288535862,-0.028638616,7.702238,6.73987
1583288535913,0.08066032,7.2901464,6.951859
1583288535963,0.104442,7.509539,6.8381324
1583288536012,0.020746198,7.3837132,6.914425
1583288536063,-0.04197944,7.097619,7.0729966
1583288536112,-0.005596336,7.3146214,7.001087
1583288536162,-0.035181742,7.1731997,7.0656943
1583288536213,-0.052339137,7.559719,6.856237
1583288536262,-0.0373531,7.344772,6.944413
1583288536313,-0.08325038,7.3640323,6.950748
1583288536362,-0.094975874,7.3072615,6.9859257
1583288536413,-0.07283916,7.2247677,7.061087
1583288536462,-0.09575512,7.248794,7.005407
1583288536513,-0.0087537095,7.3806696,6.9041247
1583288536563,0.13851021,7.668357,6.7326093
1583288536612,0.1645622,7.48149,6.8141537
1583288536663,0.086841464,7.4389396,6.8626766
1583288536712,-0.039280213,7.027358,7.101527
1583288536763,-0.019322637,7.275258,6.980211
1583288536813,0.025892679,7.4477935,6.8848763
1583288536863,-0.05022647,7.617053,6.756524
1583288536913,-0.016079433,7.3987446,6.883556
1583288536963,0.06040006,7.277681,6.95518
1583288537013,0.007174629,7.5814557,6.7743573
1583288537062,-0.05000556,7.399905,6.889052
1583288537113,-0.061410688,7.4346857,6.8494806
1583288537163,-0.06646078,7.3441877,6.9007673
1583288537213,-0.0713332,7.319814,6.957604
1583288537263,-0.058733344,7.4436913,6.8479133
1583288537313,-0.07685387,7.379439,6.8794174
1583288537363,-0.05875983,7.46007,6.870296
1583288537413,-0.016900083,7.4655995,6.82038
1583288537462,0.035564486,7.5037065,6.8059955
1583288537512,0.014620215,7.505569,6.805919
1583288537563,0.012438588,7.5115876,6.7383704
1583288537612,0.0015933057,7.511714,6.792164
1583288537663,-0.003353984,7.410764,6.842395
1583288537713,0.039704457,7.554713,6.781156
1583288537763,0.09400661,7.561917,6.7575917
1583288537812,0.037438147,7.548155,6.724643
1583288537863,-0.0199221,7.4248095,6.8625364
1583288537913,-0.08848134,7.1996694,6.950373
1583288537963,-0.055341624,7.4549828,6.855828
1583288538013,-0.035946146,7.5522614,6.793401
1583288538062,-0.06436093,7.4150004,6.887029
1583288538112,-0.055151697,7.4581394,6.859602
1583288538162,-0.04892527,7.3895965,6.879235
1583288538213,-0.03358444,7.447712,6.8390217
1583288538263,-0.01666703,7.4879465,6.8122683
1583288538312,-0.032000974,7.4300766,6.841323
1583288538363,-0.007991197,7.4734225,6.827253
1583288538413,0.0023234028,7.48136,6.795388
1583288538462,0.008329053,7.482954,6.812655
1583288538513,0.014336289,7.483459,6.807265
1583288538562,0.0221885,7.525596,6.776772
