Time,rotX,rotY,rotZosboxe
1583287899224,-0.029593524,0.008434253,-0.012181282
1583287899275,-0.07781164,0.009950152,-0.015828839
1583287899325,-0.005514078,0.010526862,-0.008235612
1583287899375,-0.031634543,-6.2742084E-4,-0.0052445247
1583287899425,-0.047656868,-0.0126569625,0.0029970543
1583287899475,-0.035080876,-0.00606749,-0.0028084524
1583287899525,-0.006361521,7.5828703E-4,-0.0072271097
1583287899575,-0.03144266,0.005442747,-0.015329648
1583287899625,-0.013374362,0.0030020582,-0.012993816
1583287899675,-0.021276172,0.0075420486,-0.012249704
1583287899725,0.0039422,0.0071751093,-0.0033603355
1583287899775,-0.006633715,0.008737329,-0.005212143
1583287899825,-3.9827125E-4,0.0119308345,-0.0033933017
1583287899875,0.0033352224,0.0044754846,0.0028846306
1583287899925,-0.0028343396,0.0033788974,0.0029535037
1583287899975,-0.014620608,0.00680733,-0.004932858
1583287900025,-0.033235814,-0.008134315,-0.008943399
1583287900075,-0.10525505,-0.01079171,-0.044567868
1583287900124,-0.054868754,-0.017949251,-0.023783818
1583287900175,-0.04755627,-0.014353277,-0.026928183
1583287900225,0.008969179,0.009650458,-0.016044239
1583287900275,0.010294158,0.016776823,0.0031037168
1583287900325,0.04472658,0.015355323,0.010779398
1583287900375,0.03193857,0.01921808,0.014457513
1583287900425,0.020782858,0.00904891,0.013637371
1583287900475,0.004300164,-0.0020388495,0.005837115
1583287900525,-0.047837865,0.0093996115,-0.007865744
1583287900575,-0.017277854,-0.0045906007,-0.0052485894
1583287900625,-0.09753444,-0.04132583,-0.05105104
1583287900675,-0.4636062,0.02899133,-0.16855797
1583287900724,-1.438876,-0.33269814,-0.8205241
1583287900775,-2.559522,-1.0525541,-0.62054956
1583287900825,-0.57687086,-0.9492299,-0.8509088
1583287900875,-0.73184276,-1.0630772,-0.8302567
1583287900925,-0.6728655,-0.8219791,-0.8530042
1583287900975,-0.5861912,-0.3738584,-0.7378899
1583287901025,-0.3024052,-0.22254243,-0.46299198
1583287901075,0.030228127,-0.14367451,-0.2719068
1583287901125,-0.20743191,-0.21693142,-0.14427672
1583287901175,0.17330226,-0.09293345,-0.09156441
1583287901225,0.5559811,0.1395437,-0.038017526
1583287901275,0.76054215,0.26252973,0.04415992
1583287901325,0.6300292,0.29999107,0.044261962
1583287901375,0.7875351,0.2849081,0.072062224
1583287901425,0.67664677,0.31179678,0.07848836
1583287901475,0.22740313,0.13829638,-0.0735889
1583287901525,0.24818683,0.07924702,-0.07798585
1583287901575,0.49089882,0.056481943,-0.058933176
1583287901625,0.049773093,-0.21042843,0.058182903
1583287901675,0.065105624,-0.08505768,-0.006653868
1583287901725,0.026621794,0.09891648,-0.0053734644
1583287901775,-0.014322519,0.03908563,0.059436463
1583287901825,0.077239074,0.047437742,0.036901634
1583287901875,0.034134146,0.05009871,0.04507533
1583287901925,0.08546855,0.079507805,0.08985389
1583287901975,-0.094941996,0.057405926,0.04626617
1583287902025,-0.062056463,0.0128767565,-0.0067780535
1583287902075,0.3398449,-0.020119468,-0.026728183
1583287902125,0.3664842,-0.07749755,0.017015057
1583287902175,0.20539528,-0.17494282,0.025868444
1583287902225,0.33993736,-0.15300617,-0.04278779
1583287902275,0.38409021,-0.14591695,-0.07025614
1583287902325,0.21357973,-0.09227985,-0.07930505
1583287902375,0.037234098,-0.07652878,-0.0648713
1583287902425,-0.03186801,-0.057284974,-0.060503885
1583287902475,0.009305648,-0.03340303,-0.038281098
1583287902525,-0.040616926,-0.029139554,-0.032532446
1583287902575,-0.015857527,-0.0017733034,-0.022566935
1583287902625,-0.04757657,-0.012463367,-0.02430925
1583287902674,0.045873534,-0.016312659,-0.038133774
1583287902725,0.031628273,-0.08884981,-0.07068109
1583287902775,0.16448607,-0.18461388,-0.12430834
1583287902825,0.2908,-0.09627736,-0.034520376
1583287902875,0.058591623,-0.08470638,-0.008023318
1583287902925,-0.40151545,-0.021944493,0.03548996
1583287902975,-0.36908004,0.025996044,0.06897733
1583287903025,0.34928197,-0.01047348,0.10446405
1583287903075,0.69313484,-0.027634444,0.21694042
1583287903125,0.12762183,-0.16352549,0.23120628
1583287903175,0.14969723,0.08527154,0.24726038
1583287903225,-0.31177697,0.15822661,0.089550875
1583287903275,-0.15896869,0.17202151,-0.035235763
1583287903325,0.13870344,0.048502013,-0.09274242
1583287903375,-0.67087257,-0.23218432,-0.30883375
1583287903425,-0.3574455,-0.51085496,-0.85180116
1583287903475,0.78036946,-0.29746306,-0.47056988
1583287903525,0.103097714,-0.110822715,-0.15869223
1583287903575,-0.58773583,-0.08691987,-0.046781104
1583287903625,-0.27125373,-0.12753631,-0.06204391
1583287903675,0.13007471,-0.22874072,-0.09497431
1583287903725,0.4946486,-0.16306137,-0.059420105
1583287903775,0.24059819,0.0097406255,0.0825784
1583287903825,-0.03746858,-0.10445302,0.045887515
1583287903875,-0.094008796,-0.27530247,-0.12316757
1583287903925,0.09039726,-0.45510823,-0.44126567
1583287903975,0.13470702,-0.22535002,-0.35739902
1583287904025,-0.8378774,-0.105657384,-0.06541612
1583287904075,-0.78906214,-0.16111669,0.0651305
1583287904125,-0.67881405,-0.050065815,0.068539776
1583287904175,-1.2337388,-0.14806166,0.11870397
1583287904225,-0.4574835,-0.05766339,0.10804316
1583287904275,-0.3638393,-0.055512212,0.13598417
1583287904325,-0.15348384,0.07336243,-0.056219127
1583287904375,-0.26144215,0.20750752,-0.054304283
1583287904425,-0.11893994,0.07154292,0.07088623
1583287904475,0.15083623,0.08843466,0.06260335
1583287904525,-0.02443104,0.07930566,-0.03561871
1583287904575,-0.03688138,0.0464909,0.010899963
1583287904625,0.2503372,-0.03510476,0.17672445
1583287904675,0.8214135,0.43863857,0.48826873
1583287904725,1.0311297,1.1700655,0.885342
1583287904775,0.8377243,0.9988268,0.9599165
1583287904825,-0.0569016,0.5490469,0.28202012
1583287904875,-0.9806378,0.23717055,-0.26471388
1583287904925,0.4752912,-0.04377508,-0.15080877
1583287904975,-0.48569444,-0.7791638,-0.36335057
1583287905024,0.5452302,-0.79740405,-0.51329327
1583287905075,0.6741229,-0.3839946,-0.30115446
1583287905124,0.27302453,-0.05130633,-0.016321884
1583287905175,0.13867581,0.027463108,0.02746441
1583287905225,-0.29506913,0.0028108116,0.051617756
1583287905275,-0.2457312,0.20519105,0.09240525
1583287905325,-0.20001754,0.27389473,0.11224948
1583287905374,-0.23483674,0.482804,0.11300418
1583287905425,-0.24368572,0.17957292,0.012215691
1583287905475,0.2225215,0.05651374,-0.045549393
1583287905525,-0.06251679,-0.26970083,-0.023659667
1583287905575,-0.3818599,-0.43449998,-0.16025274
1583287905625,-0.7142221,-0.35877675,-0.30256012
1583287905675,-0.5882848,-0.3474137,-0.5204762
1583287905725,-0.28482118,0.014708081,-0.40166077
1583287905775,-0.67280173,0.0043203477,0.0021997266
1583287905825,-0.06293542,-0.1492686,0.03208857
1583287905875,-0.6385071,-0.1094744,-0.017459262
1583287905925,-0.3221757,0.10842342,-0.050433002
1583287905975,0.06972613,0.35611868,0.19267409
1583287906025,0.5302434,0.6895117,0.5735048
1583287906075,0.9331914,0.45628184,0.6331218
1583287906125,0.98811895,0.6372768,0.7171699
1583287906175,-0.29608804,0.7507753,0.42132536
