Time,rotX,rotY,rotZosboxe
1583288619462,1.6232703,3.3354187,0.20419593
1583288619512,1.0846322,1.4715406,0.1561955
1583288619563,0.21671617,1.4660555,0.027874714
1583288619612,-0.6369262,0.8981662,-0.025879795
1583288619663,-2.2020407,-1.4748994,-0.35091642
1583288619712,-2.6786191,2.1649446,0.3029596
1583288619762,-1.8268399,-0.2130937,1.1291385
1583288619813,-2.5564811,-1.4263263,1.6159018
1583288619862,-2.662911,-1.9914564,1.6612289
1583288619912,-1.9145513,-4.1302457,0.8990476
1583288619963,-2.4798434,-4.2407928,1.2571211
1583288620012,-0.95660645,-2.0913897,0.74048
1583288620063,-2.1138978,0.24084216,-0.78568757
1583288620112,-1.9146756,1.8831378,-0.7537966
1583288620163,-0.2915451,1.3325926,-1.9604974
1583288620213,0.3463404,0.8986794,-2.621494
1583288620263,0.14478207,0.111255616,-2.0370595
1583288620312,-0.52920765,-0.8274766,-1.5090948
1583288620362,2.493063,-2.0740192,-0.6583465
1583288620413,-0.9601663,-2.0241234,-0.5757232
1583288620463,0.4077087,-1.1524285,-0.48292205
1583288620512,1.5337591,-3.3876,0.3938155
1583288620562,0.3113528,-0.5884587,1.0460356
1583288620613,0.83603865,2.3907046,-0.30777296
1583288620663,1.0748273,2.0629709,-1.085532
1583288620712,0.8314062,1.7705876,-1.4553475
1583288620763,0.303151,1.3983754,-1.6377162
1583288620812,-1.23367,-0.30703562,-0.33163002
1583288620862,-0.38894594,-2.2671723,1.9827057
1583288620912,1.6650074,-2.4195006,2.5952435
1583288620963,2.6439133,-3.769734,2.3690667
1583288621013,1.6057895,-4.2501307,3.029387
1583288621062,-0.55912346,-2.9319515,1.5465384
1583288621113,-0.3358403,-0.34960252,-1.7412081
1583288621162,-1.8877237,2.4358776,-3.5785458
1583288621212,-2.4739714,4.2773466,-4.9081125
1583288621263,-1.6359274,2.7283854,-1.9772302
1583288621313,-0.12176115,1.0387198,-0.20684056
1583288621362,0.3232886,1.621688,-0.47787336
1583288621412,0.49791723,2.131473,-0.3218755
1583288621463,0.17787701,2.6578448,-0.5621853
1583288621512,-0.05511611,0.7355973,0.15371354
1583288621563,-0.05502494,-0.07860159,0.20205094
1583288621612,-1.3891884,-2.040491,0.48981738
1583288621663,-1.7646271,-6.4295826,1.098417
1583288621712,-1.0744513,-3.2527719,0.87196136
1583288621763,-1.9096119,0.7729879,0.19847752
1583288621813,-3.404016,3.1123998,0.36996344
1583288621863,-4.267516,3.4900007,1.026406
1583288621913,-1.3291969,1.4936622,1.0058043
1583288621962,0.3389626,2.4576633,1.6196613
1583288622012,0.2681076,1.8291557,1.0581163
1583288622062,-2.0869215,-3.433002,-0.97491825
1583288622112,-2.2731042,-5.078678,-1.1138855
1583288622162,-0.001680559,0.13016373,1.1414908
1583288622212,2.0645604,3.950234,2.3497508
1583288622263,1.5116694,2.9367514,0.7626048
1583288622312,0.20803806,1.8515631,-0.1652558
1583288622362,-0.28835487,2.0991817,0.5582673
1583288622413,0.7918567,0.11509141,0.15863504
1583288622462,0.80473626,-1.3833597,-0.7416398
1583288622512,0.10838283,-0.7639609,-0.9215671
1583288622563,0.7614666,0.28614634,-1.1472563
1583288622612,2.0637987,-0.68728435,-0.4727524
1583288622662,1.3145106,-2.1626968,-1.0219071
1583288622713,1.340152,-1.7857277,-0.7324411
1583288622762,2.2573009,-3.7027638,-1.0741863
1583288622813,1.0817952,-2.8216228,-0.38964596
1583288622863,-0.39182442,-0.32517976,0.16871633
1583288622912,-3.2758803,2.1705132,0.15385486
1583288622962,-3.9565318,-2.9439914,-0.9899151
1583288623012,-0.9222545,0.09302811,0.34912887
1583288623063,-0.20670596,0.59752005,0.30575937
1583288623113,-0.9937208,-0.8934441,-0.40082964
1583288623162,-1.1331987,-2.4135177,-0.58801126
1583288623213,-0.90078855,0.029682104,-0.28889033
1583288623262,2.0611591,4.0823455,0.6892633
1583288623312,3.749241,4.322274,1.4347581
1583288623362,3.7909153,5.918678,0.8782393
1583288623412,3.930677,5.6454678,-0.80729383
1583288623462,2.126764,5.0064697,-0.3668101
1583288623512,0.07076841,2.3150957,-0.5629373
1583288623563,-1.8720161,-0.73463607,-1.3725183
1583288623612,-0.70925826,-0.4701723,0.6122143
1583288623662,-0.15205042,0.1108399,1.847138
1583288623712,0.5602868,-0.35998902,0.71906215
1583288623762,1.2961125,-0.06753753,0.75770825
1583288623812,0.53357774,-0.7559255,-0.10135222
1583288623862,-0.17850523,-2.0816338,0.4295479
1583288623913,-0.9097534,-2.12032,1.2306876
1583288623963,-1.8482016,-0.36672264,1.8251145
1583288624012,-2.9624732,0.6302515,-1.1559219
1583288624062,-3.7284923,1.0632488,-2.9174662
1583288624112,-1.7828126,2.390089,0.55483764
1583288624163,-2.0023172,1.9647621,0.40749368
1583288624212,-1.1112062,3.7515292,2.1064749
1583288624263,0.9353893,3.5945275,1.715355
1583288624313,-0.06901879,0.17053014,-0.42059872
1583288624362,-1.5038991,0.5197441,0.09291222
1583288624412,-1.075382,-0.5799878,-0.20175295
