Time,rotX,rotY,rotZosboxe
1583287478763,-3.0079424,-0.6250668,1.0732359
1583287478813,-2.8059773,-0.83733016,0.74243164
1583287478863,-2.0545046,-0.72410524,0.42675263
1583287478913,-1.0375229,-0.510531,0.06105453
1583287478962,-1.1307318,-0.031463884,-0.1975503
1583287479013,-0.3228456,0.097729236,-0.04473165
1583287479062,0.20549263,0.07917451,-0.0043735444
1583287479113,1.0112562,0.1068827,0.0828103
1583287479163,1.2522763,0.19043401,0.120725356
1583287479213,0.5912293,0.15107192,0.05783308
1583287479262,0.48768184,0.12532303,0.036565833
1583287479312,0.38864133,0.11957331,0.038282197
1583287479362,0.33703178,0.22078139,0.11688467
1583287479412,-0.50745183,0.38258314,0.14881502
1583287479462,-0.38461277,0.51035655,-0.043775525
1583287479513,0.99776405,0.8898965,-0.5838541
1583287479562,1.0032629,1.0260631,-0.81039774
1583287479612,-0.124970704,0.79725075,-0.630713
1583287479662,-0.6342793,0.44510946,-0.47421563
1583287479713,-1.1322407,0.027975911,-0.53023744
1583287479762,-1.1308981,-0.2504034,-0.72251356
1583287479813,-1.3680148,-0.34428957,-0.82884496
1583287479862,-1.8460923,-0.19533092,-0.8164998
1583287479913,-2.162646,0.05391135,-0.6829943
1583287479963,-2.167253,0.34298638,-0.269395
1583287480012,-0.7282551,0.35624537,-0.15346354
1583287480063,-0.6778644,0.2965971,-0.10396788
1583287480112,-0.057627633,0.24086937,-0.053217642
1583287480163,0.16022924,0.08068036,-0.0037991642
1583287480213,0.46177557,0.047473192,-0.024990484
1583287480263,0.68885976,0.13469252,0.021716287
1583287480312,0.82208747,0.17736289,0.056865033
1583287480363,0.34884015,0.20187727,-0.12136376
1583287480413,0.2272364,0.15743601,-0.17839088
1583287480462,0.65966934,0.15174882,-0.13965291
1583287480513,2.7534833,0.21407226,-0.14427705
1583287480563,7.5796795,0.6277877,-0.0296088
1583287480613,7.897854,1.0652335,-0.24877472
1583287480663,4.645757,1.1542634,-0.8609047
1583287480713,2.8330455,0.27484226,-1.4718999
1583287480762,2.9966419,-0.91728526,-1.4874005
1583287480812,2.7914522,-1.8868531,-1.277758
1583287480862,2.5984197,-2.4459605,-0.7451546
1583287480912,3.0800467,-2.4103177,-0.21073249
1583287480963,3.0821934,-2.1371484,-0.067355886
1583287481013,2.3227594,-1.6978906,-0.27493846
1583287481062,0.49810925,-0.713306,-0.4995671
1583287481112,-1.1738831,0.11530467,-0.54552674
1583287481163,-2.012354,0.032155953,-0.2908186
1583287481212,-2.0462408,0.17976515,-0.08126982
1583287481262,-2.4247675,0.48524904,0.166487
1583287481312,-1.134896,1.0903165,0.461241
1583287481363,-0.90719897,1.3575333,0.7433188
1583287481412,-0.5179368,1.0241112,0.6834727
1583287481463,-0.2232773,0.6468953,0.61406666
1583287481512,-0.096594684,0.44757098,0.5455144
1583287481563,0.4758849,0.43896407,0.44903442
1583287481613,1.2865475,0.40935436,0.40946254
1583287481663,1.8856492,0.30537984,0.38785037
1583287481712,2.6170752,0.3042364,0.39468598
1583287481762,2.0028422,0.35065326,0.25190368
1583287481812,0.947546,0.3854373,0.19706972
1583287481862,0.52975184,0.26504174,0.23855287
1583287481912,0.49541125,0.09004494,0.0954593
1583287481962,0.046009153,-0.043091543,-0.090477444
1583287482012,-0.6711168,-0.2241948,-0.3089392
1583287482062,-1.3227462,-0.3976798,-0.35636398
1583287482112,-1.0162247,-0.498649,-0.41456512
1583287482163,-0.7061369,-0.45523596,-0.5329817
1583287482212,-0.86196756,-0.29456428,-0.5828054
1583287482262,-0.47341934,-0.1553784,-0.56469816
1583287482312,0.0566618,-0.09031489,-0.43906966
1583287482362,0.09527649,-0.07223852,-0.3120807
1583287482412,-0.083779685,-0.00908071,-0.07640544
1583287482462,0.16549681,0.072905175,0.018692397
1583287482513,0.43294218,0.22481135,0.045776762
1583287482562,0.5568066,0.29779625,-0.04847414
1583287482612,0.3769461,0.3461905,-0.18582028
1583287482662,-0.21167114,0.4068308,-0.35765457
1583287482712,-0.54238987,0.40148863,-0.39001757
1583287482763,-0.99870247,0.4354028,-0.35528886
1583287482813,-1.7094041,0.36765498,-0.1748687
1583287482862,-2.2042325,0.24535605,-0.012087721
1583287482912,-2.350963,0.18126625,0.15266865
1583287482963,-2.2838683,0.12872401,0.30864012
1583287483013,-1.2654474,0.24401799,0.28706542
1583287483062,-1.0548317,0.33894944,0.31747124
1583287483112,-0.9155132,0.24231797,0.32212853
1583287483163,-1.1334645,0.062023096,0.31757447
1583287483212,-1.1608735,0.033076882,0.25861657
1583287483262,-0.3842806,0.0055853333,0.15684527
1583287483312,0.11299467,-0.09862802,-0.0022674478
1583287483362,0.35411277,-0.075767845,-0.08685362
1583287483412,0.7458074,-3.835056E-4,-0.11350079
1583287483463,0.4910965,0.039747998,-0.14208834
1583287483512,0.56135106,0.11372493,-0.22146387
1583287483563,0.6006788,0.15766495,-0.21469301
1583287483612,1.1433501,0.1848024,-0.20264482
1583287483663,1.3191603,0.20306481,-0.31271043
1583287483712,0.5727636,0.15302035,-0.42921966
1583287483763,0.8779405,0.09032953,-0.45232624
1583287483813,1.2116113,-0.023989031,-0.46872127
1583287483863,0.69299906,-0.22931208,-0.45667773
1583287483912,0.87440425,-0.31346023,-0.34519848
1583287483963,-0.47779945,-0.48588407,-0.29841337
1583287484012,-1.5836508,-0.6736177,-0.25527775
1583287484063,-0.8742114,-0.2854996,-0.3603528
1583287484112,0.32119092,0.040389985,-0.33279097
1583287484162,-1.416338,0.07252334,-0.20995747
1583287484212,-1.9829892,-0.09742929,-0.19586106
1583287484263,-1.0504231,-0.18326277,-0.13191177
1583287484312,-0.23068656,-0.016424017,-0.17678255
1583287484363,-0.3687623,0.1235935,-0.26235002
1583287484413,-0.35574386,0.11663025,-0.16502982
1583287484462,0.02751295,0.05979214,-0.08688347
1583287484513,0.08394838,-0.0038234675,-0.04684352
1583287484563,0.27562538,-0.014259867,0.023316763
1583287484613,0.61125875,0.026588025,0.1387223
1583287484663,1.2266755,0.10378211,0.09913624
1583287484712,1.1858584,0.09692138,0.2303471
1583287484762,0.79669863,0.09630935,0.25916013
1583287484812,0.44826314,0.12646939,0.21312532
1583287484862,0.8548667,0.15230475,0.19530019
1583287484913,0.39268646,0.045235366,0.22657162
1583287484962,-0.024281243,-0.07385693,0.16775972
1583287485013,0.13233547,-0.046607867,0.038929727
1583287485063,0.27080205,0.010912972,0.0034334823
1583287485112,0.5408539,7.8249024E-4,0.039272066
1583287485163,0.49982372,-0.0034488197,0.14387155
1583287485213,-0.28157866,0.018943232,0.34286207
1583287485262,-0.4355607,-0.019420724,0.3992723
1583287485313,-0.5702598,-0.056314625,0.32858709
1583287485363,-0.17261441,-0.044799075,0.08430903
1583287485413,1.379484,-0.055454582,-0.05193544
1583287485463,2.015124,-0.11454863,-0.036153547
1583287485513,2.2584012,-0.07986152,0.020791482
1583287485562,1.9183751,-0.19848548,0.07918475
1583287485613,1.0636353,-0.24244466,0.0770723
1583287485663,0.5810314,-0.14660701,0.033815127
1583287485713,0.7907731,-0.07420891,0.0765957
1583287485763,0.791303,-0.025753563,0.0976129
1583287485812,0.63234544,0.05629319,0.080802105
1583287485863,0.17036842,0.05326435,0.041668136
1583287485913,0.12670042,0.047232024,0.032569338
1583287485963,-0.31056762,0.053281978,0.0191683
1583287486013,-1.4615214,0.07197252,0.028428037
1583287486063,-1.690979,0.101779096,0.0064932765
1583287486112,-0.9865074,0.117205665,-0.05285363
1583287486162,-0.8560141,0.12826034,-0.027145132
1583287486212,-0.9425414,0.0748412,0.108507894
1583287486262,-0.31962258,0.009360505,0.086427584
1583287486312,-0.14223187,0.027971895,0.021789424
1583287486363,0.013108088,0.030802915,-0.08862158
1583287486412,-0.10531673,0.048671395,-0.0895889
1583287486462,0.22602314,0.06355103,0.04519291
1583287486513,0.65629977,0.06762921,0.07723899
1583287486562,0.34790108,0.064876355,0.10151251
1583287486613,-0.13603418,0.050362155,0.07834151
1583287486662,0.48794562,-0.026710471,0.036934793
1583287486712,-0.35670546,0.06867554,-0.047092132
1583287486763,-0.84945726,0.13202854,-0.07851966
1583287486812,-0.39090842,0.04711289,-0.09450794
1583287486863,-1.0269707,0.028587738,-0.11513611
1583287486912,-0.6955024,0.048418716,-0.16146068
1583287486963,-0.6441733,-0.020625988,-0.16385356
