Time,rotX,rotY,rotZosboxe
1583287438763,-0.07690434,0.09518515,-0.023194073
1583287438813,-0.08012801,0.091246806,-0.06961872
1583287438862,0.19149178,-0.041386627,-0.11905466
1583287438912,0.26321596,-0.13892396,0.056539472
1583287438962,0.28847697,-0.17685804,0.026226543
1583287439013,-0.010116639,0.00808754,-0.14124185
1583287439062,0.31499872,0.22010967,-0.24765614
1583287439112,0.2040459,0.14581712,-0.07443203
1583287439163,-0.034691244,-0.05845292,0.15521961
1583287439213,-0.0344738,-0.115630515,0.16481012
1583287439262,-0.15313563,-0.07616507,-0.0026760953
1583287439313,-0.08231214,0.016142368,-0.13257997
1583287439363,-0.07366362,0.024585735,-0.097640954
1583287439413,-0.2347358,0.021665042,0.0037135412
1583287439462,-0.06323227,0.035678685,0.015686223
1583287439513,4.2465562E-4,0.038658082,0.012705969
1583287439562,-0.017310001,0.010859251,0.027046435
1583287439612,-0.04227203,-0.026706954,0.02934486
1583287439662,-0.10686882,0.06549444,0.022302493
1583287439713,-0.051015377,0.024851155,0.026491199
1583287439762,0.006559347,-0.078817025,0.052025143
1583287439813,0.08687722,-0.037717767,0.104579665
1583287439863,0.01454596,0.005330978,0.107086025
1583287439912,0.028662838,-0.04940945,0.1343971
1583287439963,0.06968345,0.0016972106,0.08056232
1583287440012,-0.028145218,0.036490463,0.025341973
1583287440062,0.014618179,-0.00991153,0.015335962
1583287440112,-0.02322825,0.0015430287,0.0036551584
1583287440162,-0.009787319,0.003831535,0.025876857
1583287440212,0.0013406891,0.0309866,0.029860742
1583287440263,0.02331504,0.0011338498,0.08413972
1583287440312,0.02955796,0.0030220626,0.057347048
1583287440362,0.0023672115,0.022063224,0.03570581
1583287440413,-0.014179803,0.0165409,0.018168129
1583287440462,0.006777892,-0.0230345,-0.011751292
1583287440512,-0.06230864,-0.02161046,-0.0075699873
1583287440563,-0.08813815,0.03333114,-0.0021974859
1583287440612,0.014181079,0.08057677,-0.006441987
1583287440663,0.015617128,-0.0056284945,-0.014531067
1583287440712,0.113201044,-0.07528732,0.014700778
1583287440763,0.042259455,8.3605386E-4,-0.06597345
1583287440813,-0.037442192,0.15622747,-0.16890317
1583287440863,-0.04862445,0.2153143,-0.22119975
