Time,rotX,rotY,rotZosboxe
1583287168763,-0.6829224,1.1518202,2.7659433
1583287168813,-0.6406871,0.7309286,1.8410953
1583287168862,-0.24070077,0.19439496,0.6312851
1583287168912,0.017794289,-0.46496305,-0.7603554
1583287168963,0.13855103,-1.0748158,-2.0480075
1583287169012,0.048871826,-1.349435,-2.9236555
1583287169062,-0.15525055,-1.10413,-3.4144154
1583287169113,-0.999396,-0.7888539,-3.36435
1583287169162,-1.6309805,-0.71934634,-3.0985193
1583287169213,-1.5767196,-0.5201396,-2.8790486
1583287169263,-1.358834,-0.5127252,-2.6323771
1583287169312,-0.91668075,-0.4699678,-2.410468
1583287169363,-0.39755076,-0.43664938,-2.1695275
1583287169412,-0.5363539,-0.66106933,-1.7429887
1583287169462,-0.82837087,-0.8395666,-1.1461457
1583287169513,-1.182478,-0.85400087,-0.23252314
1583287169562,-0.5916086,-0.65367305,1.0436097
1583287169612,0.8396389,-0.45235854,2.546486
1583287169662,1.6536043,0.47833678,3.8880801
1583287169713,2.2882164,1.5375203,4.373165
1583287169762,3.0252402,2.4944434,4.1442313
1583287169812,2.1790204,2.6892195,3.3215363
1583287169862,0.23430754,2.416401,2.5466557
1583287169913,-1.0651449,2.0059464,2.042633
1583287169962,-1.424016,1.5376275,1.54491
1583287170013,-1.0948851,0.88109845,0.613322
1583287170062,-0.67118603,-0.02008422,-0.7688034
1583287170113,-0.22513019,-0.7861867,-2.2784889
1583287170162,-0.08600847,-1.1877221,-3.3781857
1583287170213,-0.2927768,-1.2160362,-3.638894
1583287170263,-1.5424186,-0.8001103,-2.9764304
1583287170313,-2.3999448,-0.31644505,-1.9481992
1583287170362,-4.0661397,-0.29050398,-1.1731505
1583287170413,-3.9015944,-0.3312919,-1.2476231
1583287170462,-0.0067443093,-0.73320943,-1.582599
1583287170512,0.040255502,0.14943834,-1.601216
1583287170562,-0.69198173,-1.2349958,-1.0042069
1583287170613,-2.7888505,-3.536517,-0.49428615
1583287170662,-4.5037155,-0.8911486,-0.51948434
1583287170712,-5.633973,0.4566625,0.4408877
1583287170762,-5.322535,0.370222,2.0637367
1583287170812,-2.5306518,-0.13710745,3.2531154
1583287170862,-0.065382585,-0.14894089,3.5583885
1583287170913,1.6401575,0.059050065,3.2930374
1583287170962,2.6432214,0.61138994,2.8647711
1583287171013,2.5564435,1.2387751,2.2891188
1583287171062,1.9808282,1.5730214,1.9292474
1583287171112,1.0661179,1.5108184,1.6454284
1583287171163,0.3507591,1.0171522,1.2169392
1583287171212,-0.05289994,0.3927814,0.4020782
1583287171263,-0.3838831,-0.06144231,-0.8027336
1583287171313,-0.64729404,-0.29695338,-2.051695
1583287171363,-0.98609644,-0.2623644,-2.8961346
1583287171412,-1.4609474,-0.122328095,-3.1464744
1583287171463,-1.9539148,-0.14196225,-3.1401532
1583287171513,-2.4372864,-0.16455328,-3.2628567
1583287171563,-3.193281,-0.021876652,-3.3944542
1583287171612,-3.1306138,0.02961089,-3.255368
1583287171663,-2.467737,-0.2559715,-2.909622
1583287171712,-1.3321654,-0.5884416,-2.4602802
1583287171762,-0.75351906,-0.8596424,-1.9633056
1583287171813,-1.0662358,-0.91154987,-1.2581116
1583287171862,-1.2186364,-0.7422168,-0.07227701
1583287171913,-0.53404593,-0.74853843,1.533689
1583287171962,1.0046049,-0.70213604,3.0275385
1583287172013,2.6456604,-0.17807738,3.8286715
1583287172063,4.0432043,0.9861535,4.0768023
1583287172112,3.6588318,2.0654671,3.8532133
1583287172163,1.5451671,2.1274588,3.1709995
1583287172213,-0.6830128,1.8128517,2.5499036
1583287172262,-1.6132816,1.3223734,2.0544586
1583287172312,-1.2496722,0.8172628,1.4922009
1583287172363,-0.53603363,0.2475288,0.65465933
