Time,accX,accY,accZ
1583286838462,5.4644656,0.15442893,8.470902
1583286838512,5.430266,0.1914494,8.461955
1583286838562,5.452147,0.18262412,8.479808
1583286838612,5.4544463,0.21361157,8.467347
1583286838662,5.425666,0.16957861,8.460245
1583286838713,5.421654,0.16793132,8.493092
1583286838762,5.4241905,0.2124249,8.479861
1583286838812,5.4333534,0.13012728,8.49005
1583286838862,5.430542,0.13684559,8.451806
1583286838913,5.424041,0.16903518,8.4800005
1583286838962,5.4413385,0.18896192,8.487309
1583286839012,5.444962,0.191824,8.482636
1583286839062,5.4551826,0.18855207,8.479804
1583286839112,5.4574084,0.19805491,8.473656
1583286839163,5.477358,0.25612918,8.49281
1583286839213,5.469028,0.24750932,8.526836
1583286839262,5.6020107,0.93123937,8.795626
1583286839313,6.679435,3.4861,10.341352
1583286839363,8.774975,4.79688,11.349882
1583286839412,8.672035,3.3938005,6.997796
1583286839463,7.539323,-0.5170577,4.7674794
1583286839512,6.7959795,1.3015425,2.5702941
1583286839562,7.0583844,2.880331,2.5753832
1583286839613,10.375343,1.4894912,5.4301667
1583286839662,20.444315,-0.7977828,4.9524417
1583286839713,26.682589,-5.623657,4.4729695
1583286839762,23.27453,-9.895271,5.215763
1583286839813,18.805502,-16.71359,2.9665318
1583286839863,13.758544,-21.884531,-0.9043205
1583286839913,11.895454,-17.761599,-5.389553
1583286839962,10.290505,-11.701546,-7.900097
1583286840012,11.013956,-6.097633,-6.1675825
1583286840063,9.287715,0.20614499,-4.977227
1583286840112,4.187121,4.763996,-3.4070287
1583286840162,3.7353292,7.356718,-0.30646658
1583286840212,3.9951522,8.356122,3.4988265
1583286840262,8.132709,5.6402283,7.363015
1583286840312,10.83009,3.6866508,10.964634
1583286840362,15.418053,1.0199026,15.155331
1583286840412,20.286642,-2.19597,18.21847
1583286840463,23.787008,-9.566148,17.413836
1583286840513,22.690222,-17.228863,12.667805
1583286840563,18.71048,-22.85675,5.813754
1583286840613,11.797897,-24.207403,-0.916955
1583286840662,9.421517,-20.011902,-3.8449686
1583286840713,9.2388115,-14.918783,-6.772536
1583286840763,11.563318,-8.501158,-6.5851793
1583286840812,13.139897,-1.7493587,-3.8886294
1583286840862,8.613548,3.5518343,-1.4868295
1583286840912,4.148478,6.9092174,1.068972
1583286840963,2.5489247,6.9797926,4.4671316
1583286841013,3.2998078,6.033965,4.8591394
1583286841062,6.5924945,1.9316622,7.062673
1583286841113,11.326831,-1.9854225,9.969675
1583286841162,15.786698,-5.943313,13.066751
1583286841212,21.859,-11.531638,16.427345
1583286841262,24.408554,-19.225681,14.271627
1583286841312,23.312464,-25.498201,8.025859
1583286841362,19.050528,-26.757856,-0.5099206
1583286841412,14.789326,-21.23112,-6.58814
1583286841463,10.475371,-13.641504,-9.086596
1583286841512,8.735681,-8.010082,-9.498667
1583286841562,9.248416,-5.2851133,-6.9265404
1583286841612,9.657231,-3.6234944,-4.2552233
