Time,accX,accY,accZ
1583287884337,-6.031252,4.681159,6.4136586
1583287884387,-6.0773916,4.680991,6.386192
1583287884438,-6.0611987,4.6725717,6.401754
1583287884488,-6.0466747,4.709478,6.3959174
1583287884538,-6.0436378,4.7046585,6.3969016
1583287884588,-6.085584,4.680729,6.3839197
1583287884637,-6.0668592,4.671706,6.4072423
1583287884687,-6.0520577,4.643214,6.42578
1583287884737,-6.045444,4.7653747,6.364059
1583287884788,-6.023164,4.702113,6.3967423
1583287884838,-5.9947686,4.7422957,6.407008
1583287884887,-6.0518494,4.694953,6.4077873
1583287884937,-6.0890927,4.65378,6.3988876
1583287884987,-6.089244,4.6943636,6.3850565
1583287885038,-6.05674,4.709496,6.3785357
1583287885087,-6.0441875,4.740336,6.3960066
1583287885137,-6.002182,4.7019377,6.4394846
1583287885187,-6.0386324,4.706632,6.379011
1583287885238,-6.023903,4.735975,6.391365
1583287885287,-6.017885,4.732315,6.402872
1583287885337,-6.0447197,4.740635,6.387858
1583287885388,-6.0588784,4.65003,6.4237304
1583287885438,-6.0696964,4.703407,6.394895
1583287885488,-6.0602083,4.704095,6.3933296
1583287885537,-6.0458484,4.7164526,6.4063807
1583287885588,-6.076909,4.671409,6.3854623
1583287885637,-6.057891,4.6842537,6.393471
1583287885688,-6.0420628,4.6995344,6.3851423
1583287885737,-6.0646467,4.67633,6.3945737
1583287885788,-6.0678744,4.683981,6.399358
1583287885837,-6.062503,4.665352,6.3993325
1583287885887,-6.098314,4.6757913,6.3815303
1583287885937,-6.076485,4.7021847,6.397092
1583287885988,-6.046351,4.6739554,6.3992076
1583287886037,-6.0527267,4.7007356,6.394929
1583287886087,-6.0485625,4.6791496,6.406062
1583287886138,-6.0464664,4.727781,6.37095
1583287886187,-6.0852623,4.6838813,6.3859644
1583287886238,-6.072246,4.7066364,6.3908343
1583287886287,-6.0274954,4.695719,6.419428
1583287886338,-5.9990234,4.750838,6.4187255
1583287886387,-6.030538,4.7467103,6.372619
1583287886438,-6.047172,4.7302375,6.410348
1583287886487,-6.0393834,4.704944,6.4195514
1583287886537,-6.05806,4.720346,6.3816338
1583287886588,-6.0218477,4.756129,6.370114
1583287886637,-6.014182,4.771812,6.387741
1583287886688,-6.0218215,4.752856,6.3917966
1583287886738,-6.0214953,4.7068944,6.4190407
1583287886787,-6.020036,4.7553635,6.3806334
1583287886837,-6.009209,4.781401,6.378442
1583287886887,-5.9425955,4.7751603,6.4342957
1583287886938,-5.9343877,4.7748637,6.4377575
1583287886987,-5.960221,4.758471,6.43134
1583287887037,-5.9752965,4.7738533,6.4030886
1583287887087,-5.99959,4.7667265,6.4083786
1583287887137,-6.03623,4.762102,6.397506
1583287887188,-5.9549236,4.7732396,6.439813
1583287887237,-5.9790626,4.7648654,6.4127874
1583287887288,-5.967266,4.788084,6.402169
1583287887337,-5.934736,4.7839975,6.430571
1583287887388,-5.9600153,4.779738,6.430571
1583287887437,-5.972702,4.754509,6.4334893
1583287887488,-5.9854903,4.7660074,6.420895
1583287887538,-5.9729123,4.7979803,6.405335
1583287887587,-5.971877,4.7236533,6.4403815
1583287887637,-5.9734735,4.7121687,6.467761
1583287887687,-5.971056,4.7978234,6.391855
1583287887737,-6.013721,4.736527,6.4058657
1583287887787,-6.0435767,4.696323,6.434803
1583287887837,-6.06633,4.7137117,6.4133286
1583287887887,-6.0127583,4.748625,6.4292946
1583287887937,-5.9990826,4.7149105,6.4069233
1583287887988,-6.012999,4.753288,6.386932
1583287888037,-6.021658,4.6899676,6.434467
1583287888087,-6.023825,4.660685,6.4198523
1583287888138,-6.034651,4.725111,6.4122868
1583287888188,-6.0527997,4.693109,6.405207
1583287888238,-6.0512056,4.680981,6.412991
1583287888287,-6.0746174,4.6767826,6.3919845
1583287888338,-6.0536304,4.6948524,6.405882
1583287888387,-6.05449,4.6861587,6.41897
1583287888438,-6.045485,4.6814904,6.402824
1583287888487,-6.0477138,4.707675,6.4102287
1583287888538,-6.070852,4.6596994,6.407268
1583287888587,-6.0511646,4.7076364,6.4122295
1583287888638,-6.0374026,4.7023945,6.4066887
1583287888687,-6.050404,4.6949043,6.403646
1583287888738,-6.030449,4.7093177,6.4190874
1583287888788,-6.0026155,4.735622,6.4088902
1583287888838,-6.0236964,4.7115498,6.4151263
1583287888888,-6.024134,4.674451,6.4372725
1583287888937,-6.0382404,4.715003,6.40072
1583287888988,-6.008674,4.742764,6.418339
1583287889037,-5.997924,4.735442,6.419902
1583287889087,-5.9929585,4.728901,6.423291
1583287889137,-6.0137577,4.730889,6.4233847
1583287889188,-6.01459,4.739236,6.410536
1583287889238,-5.99015,4.7221375,6.4183397
1583287889287,-6.019073,4.733566,6.4138656
1583287889337,-5.991147,4.7559004,6.4461694
1583287889387,-5.986416,4.7216463,6.420921
1583287889438,-5.98486,4.7379184,6.41505
1583287889488,-5.9878182,4.7552514,6.4279504
1583287889537,-5.9717574,4.7560835,6.42578
1583287889587,-5.984758,4.740371,6.441616
1583287889637,-5.9993577,4.726854,6.427566
1583287889687,-5.9772444,4.746187,6.4340024
1583287889738,-5.965695,4.7426634,6.441682
1583287889787,-5.9656396,4.7318487,6.4445744
1583287889837,-5.970727,4.7316093,6.4515047
1583287889887,-5.9669056,4.729487,6.4622984
1583287889938,-5.9530888,4.730991,6.457499
1583287889988,-5.9575996,4.728013,6.46215
1583287890038,-5.96149,4.701403,6.460999
1583287890087,-5.971015,4.74969,6.4484367
1583287890137,-5.942133,4.7192006,6.4679117
1583287890187,-5.980597,4.698772,6.4524794
1583287890238,-5.9663982,4.7005663,6.472202
1583287890287,-5.9382954,4.761719,6.4455423
1583287890337,-5.9710193,4.7363777,6.442129
1583287890388,-6.0031786,4.7002234,6.4537044
1583287890438,-6.011248,4.689833,6.438673
1583287890488,-5.993678,4.717077,6.428635
1583287890537,-6.0048895,4.7170453,6.438393
1583287890588,-6.0076222,4.702567,6.4490433
1583287890637,-6.0412626,4.640095,6.4659476
1583287890688,-6.0514197,4.63535,6.504049
1583287890738,-5.902804,4.7772217,6.4084096
1583287890787,-5.874354,4.864778,6.385539
1583287890837,-5.942571,4.819789,6.317032
1583287890887,-6.128283,4.7759695,6.374861
1583287890937,-6.275549,4.3321576,6.6692977
1583287890988,-6.1843114,4.3230443,6.6059546
1583287891037,-6.0581794,4.6759653,6.47852
1583287891087,-6.2100244,4.918186,6.578543
1583287891137,-6.3246217,4.697035,6.5931444
1583287891188,-6.214414,4.6200566,6.186225
1583287891238,-6.2225323,4.7509027,6.0852447
1583287891288,-6.415467,4.243151,6.6723065
1583287891337,-6.9966373,3.1234322,8.0500965
1583287891387,-8.110775,1.7256324,9.462747
1583287891438,-9.61197,-0.39307368,11.351633
1583287891488,-10.470357,0.30513358,11.574261
1583287891537,-10.131154,0.924801,10.367373
1583287891587,-10.577972,1.8392444,7.846142
1583287891638,-12.357755,2.7513084,5.2133756
1583287891687,-13.940255,4.304495,3.9388986
1583287891737,-12.371459,5.688058,1.2855395
1583287891787,-11.4058485,6.512517,-1.2590642
1583287891837,-9.118685,6.0463333,-4.5346627
1583287891888,-5.4086595,4.2546024,-8.655246
1583287891937,-1.5389081,2.4822114,-11.159947
1583287891988,1.7141733,1.546198,-13.957791
1583287892038,2.9533513,2.615736,-18.350647
1583287892088,1.825252,7.1836348,-19.550915
1583287892138,-0.46535206,9.062721,-18.106567
1583287892187,-3.872665,7.4508505,-15.876658
1583287892237,-7.812558,7.3749127,-13.8709
1583287892287,-11.888476,8.5926075,-11.730145
1583287892338,-12.951142,9.289266,-8.986557
1583287892388,-11.317073,9.926104,-5.590702
1583287892437,-7.9182997,8.810372,-3.9290884
1583287892487,-5.5659294,9.103895,-0.19854376
1583287892537,-3.6529253,8.422192,1.7497095
1583287892588,-3.0493572,9.789129,5.908528
1583287892638,-2.0293722,13.037382,11.59684
1583287892687,-1.7474023,14.525849,18.60884
1583287892738,-2.7445326,11.24303,20.928053
1583287892787,-4.632525,7.7964134,15.559135
1583287892838,-6.2121778,7.4565644,9.498324
1583287892887,-8.375286,8.284318,4.5267024
1583287892937,-9.5658245,8.762731,1.5450357
1583287892988,-11.754158,8.993307,-1.204252
1583287893038,-13.825216,8.423148,-4.7473607
1583287893087,-14.495351,7.2874827,-7.3165436
1583287893138,-13.882974,7.915034,-9.42197
1583287893188,-11.345243,8.387303,-15.089163
1583287893237,-3.2505958,8.651882,-23.593658
1583287893287,1.960894,9.122111,-28.524668
1583287893338,1.6937361,11.703957,-24.971231
1583287893387,-2.4323587,10.477157,-18.758146
1583287893438,-6.4008384,7.4850845,-14.21451
1583287893487,-10.513542,9.299275,-12.512308
1583287893537,-15.194026,9.6058235,-9.746117
1583287893587,-15.916477,9.316766,-6.742452
1583287893637,-14.327979,9.5818405,-4.0384383
1583287893687,-11.931519,8.926439,-2.0675807
1583287893737,-8.742868,8.32414,0.23176956
1583287893788,-5.4641175,8.970383,4.601385
1583287893838,-2.422108,8.7174425,9.584436
1583287893887,-2.7742743,12.918315,19.453175
1583287893938,-0.88695335,16.311893,22.906166
1583287893988,-1.0041041,13.993503,11.548932
1583287894038,-3.6044261,10.416343,10.791284
1583287894088,-4.5799584,10.508879,5.9330816
1583287894137,-6.2869687,9.466132,1.7997099
1583287894187,-8.558409,9.168624,-1.8756523
1583287894237,-10.929658,9.973563,-5.079084
1583287894287,-13.0604725,9.486452,-8.364701
Time,accX,accY,accZ
1583287884337,-6.031252,4.681159,6.4136586
1583287884387,-6.0773916,4.680991,6.386192
1583287884438,-6.0611987,4.6725717,6.401754
1583287884488,-6.0466747,4.709478,6.3959174
1583287884538,-6.0436378,4.7046585,6.3969016
1583287884588,-6.085584,4.680729,6.3839197
1583287884637,-6.0668592,4.671706,6.4072423
1583287884687,-6.0520577,4.643214,6.42578
1583287884737,-6.045444,4.7653747,6.364059
1583287884788,-6.023164,4.702113,6.3967423
1583287884838,-5.9947686,4.7422957,6.407008
1583287884887,-6.0518494,4.694953,6.4077873
1583287884937,-6.0890927,4.65378,6.3988876
1583287884987,-6.089244,4.6943636,6.3850565
1583287885038,-6.05674,4.709496,6.3785357
1583287885087,-6.0441875,4.740336,6.3960066
1583287885137,-6.002182,4.7019377,6.4394846
1583287885187,-6.0386324,4.706632,6.379011
1583287885238,-6.023903,4.735975,6.391365
1583287885287,-6.017885,4.732315,6.402872
1583287885337,-6.0447197,4.740635,6.387858
1583287885388,-6.0588784,4.65003,6.4237304
1583287885438,-6.0696964,4.703407,6.394895
1583287885488,-6.0602083,4.704095,6.3933296
1583287885537,-6.0458484,4.7164526,6.4063807
1583287885588,-6.076909,4.671409,6.3854623
1583287885637,-6.057891,4.6842537,6.393471
1583287885688,-6.0420628,4.6995344,6.3851423
1583287885737,-6.0646467,4.67633,6.3945737
1583287885788,-6.0678744,4.683981,6.399358
1583287885837,-6.062503,4.665352,6.3993325
1583287885887,-6.098314,4.6757913,6.3815303
1583287885937,-6.076485,4.7021847,6.397092
1583287885988,-6.046351,4.6739554,6.3992076
1583287886037,-6.0527267,4.7007356,6.394929
1583287886087,-6.0485625,4.6791496,6.406062
1583287886138,-6.0464664,4.727781,6.37095
1583287886187,-6.0852623,4.6838813,6.3859644
1583287886238,-6.072246,4.7066364,6.3908343
1583287886287,-6.0274954,4.695719,6.419428
1583287886338,-5.9990234,4.750838,6.4187255
1583287886387,-6.030538,4.7467103,6.372619
1583287886438,-6.047172,4.7302375,6.410348
1583287886487,-6.0393834,4.704944,6.4195514
1583287886537,-6.05806,4.720346,6.3816338
1583287886588,-6.0218477,4.756129,6.370114
1583287886637,-6.014182,4.771812,6.387741
1583287886688,-6.0218215,4.752856,6.3917966
1583287886738,-6.0214953,4.7068944,6.4190407
1583287886787,-6.020036,4.7553635,6.3806334
1583287886837,-6.009209,4.781401,6.378442
1583287886887,-5.9425955,4.7751603,6.4342957
1583287886938,-5.9343877,4.7748637,6.4377575
1583287886987,-5.960221,4.758471,6.43134
1583287887037,-5.9752965,4.7738533,6.4030886
1583287887087,-5.99959,4.7667265,6.4083786
1583287887137,-6.03623,4.762102,6.397506
1583287887188,-5.9549236,4.7732396,6.439813
1583287887237,-5.9790626,4.7648654,6.4127874
1583287887288,-5.967266,4.788084,6.402169
1583287887337,-5.934736,4.7839975,6.430571
1583287887388,-5.9600153,4.779738,6.430571
1583287887437,-5.972702,4.754509,6.4334893
1583287887488,-5.9854903,4.7660074,6.420895
1583287887538,-5.9729123,4.7979803,6.405335
1583287887587,-5.971877,4.7236533,6.4403815
1583287887637,-5.9734735,4.7121687,6.467761
1583287887687,-5.971056,4.7978234,6.391855
1583287887737,-6.013721,4.736527,6.4058657
1583287887787,-6.0435767,4.696323,6.434803
1583287887837,-6.06633,4.7137117,6.4133286
1583287887887,-6.0127583,4.748625,6.4292946
1583287887937,-5.9990826,4.7149105,6.4069233
1583287887988,-6.012999,4.753288,6.386932
1583287888037,-6.021658,4.6899676,6.434467
1583287888087,-6.023825,4.660685,6.4198523
1583287888138,-6.034651,4.725111,6.4122868
1583287888188,-6.0527997,4.693109,6.405207
1583287888238,-6.0512056,4.680981,6.412991
1583287888287,-6.0746174,4.6767826,6.3919845
1583287888338,-6.0536304,4.6948524,6.405882
1583287888387,-6.05449,4.6861587,6.41897
1583287888438,-6.045485,4.6814904,6.402824
1583287888487,-6.0477138,4.707675,6.4102287
1583287888538,-6.070852,4.6596994,6.407268
1583287888587,-6.0511646,4.7076364,6.4122295
1583287888638,-6.0374026,4.7023945,6.4066887
1583287888687,-6.050404,4.6949043,6.403646
1583287888738,-6.030449,4.7093177,6.4190874
1583287888788,-6.0026155,4.735622,6.4088902
1583287888838,-6.0236964,4.7115498,6.4151263
