Time,rotX,rotY,rotZosboxe
1583288229462,0.7971061,-2.4992747,2.9871893
1583288229512,0.5072781,-1.1215814,1.0297225
1583288229562,1.021522,-0.01595034,-0.3695429
1583288229612,0.9516214,0.94355565,-1.3958267
1583288229663,0.72728187,1.487235,-2.0139444
1583288229712,0.34101343,2.155379,-2.68277
1583288229762,-0.026651911,3.141701,-3.3966105
1583288229813,-0.1888634,3.767459,-3.692619
1583288229863,-0.24386966,4.147867,-3.8064227
1583288229912,0.105782576,4.282904,-3.6887455
1583288229962,0.14776063,4.020459,-3.4243414
1583288230012,0.56741476,3.8607998,-3.5652177
1583288230063,0.5723778,2.894998,-3.3699734
1583288230112,0.7563148,1.5029892,-2.2800095
1583288230162,0.9351609,-1.5698379,-0.70077
1583288230213,0.3725243,-0.9115649,0.45417392
1583288230262,-2.0457613,-1.5314234,0.55662704
1583288230313,-1.0564694,-2.325744,1.2936822
1583288230362,-0.11890339,-2.6459553,1.5985471
1583288230412,-0.5979568,-3.0102866,2.2673728
1583288230463,0.20039839,-3.0228615,2.8531725
1583288230513,0.21866995,-1.9158288,2.9339213
1583288230562,-0.8556523,0.10708816,1.6488001
1583288230612,-0.6539073,1.3484222,0.35783285
1583288230662,0.27303746,1.6669058,0.26812282
1583288230713,2.1566758,1.522492,0.14165868
1583288230762,0.75665027,2.199515,-0.12437907
1583288230813,-0.8757139,1.6145606,-0.052726757
1583288230862,-0.34510317,1.1373299,0.12497138
1583288230912,-1.1951514,0.13768022,0.42999828
1583288230963,-2.3253753,-0.7064527,0.5506024
1583288231013,-0.889631,-1.0979337,0.004153157
1583288231063,0.39135328,-0.86872566,-0.6496149
1583288231113,-0.4291295,-0.6325873,-0.68832004
1583288231163,-0.68576616,-0.28896505,-0.5888249
1583288231213,-0.048263095,-0.19405027,-0.5923815
1583288231263,0.3921659,-0.048183825,-0.6859653
1583288231312,0.7102714,0.21157576,-1.0172697
1583288231363,1.0527674,0.606549,-1.5572361
1583288231413,1.271744,1.4940287,-2.295467
1583288231463,0.97233707,2.056695,-2.7898042
1583288231513,0.1373758,1.9254848,-2.6806226
1583288231562,-0.9231223,1.5257881,-2.0683389
1583288231613,-1.3145877,1.4593474,-1.6607999
