Time,rotX,rotY,rotZosboxe
1583285978475,0.0011383792,-6.9101946E-4,-6.942032E-4
1583285978525,4.1890878E-4,-1.898813E-4,-6.942032E-4
1583285978575,7.570197E-5,2.0988425E-4,-6.942032E-4
1583285978625,2.3298373E-4,-0.0015045218,-4.417263E-5
1583285978674,7.5750134E-4,-8.7996386E-4,-5.44603E-4
1583285978725,9.0284285E-4,-0.0010995725,-4.3692812E-4
1583285978775,3.7152052E-4,-8.711871E-4,-5.5566616E-4
1583285978825,6.328694E-4,3.46642E-4,-8.308403E-4
1583285978875,2.3298373E-4,-3.3914298E-4,-5.5929413E-4
1583285978925,2.3298373E-4,-9.858506E-4,-2.9853545E-4
1583285978975,7.654837E-4,3.3074152E-4,-6.9816224E-4
1583285979025,6.199855E-4,-9.638844E-4,-0.0012171785
1583285979075,7.544508E-4,-2.0091422E-4,-1.6170321E-4
1583285979125,2.3298373E-4,-0.0012548813,-4.0829368E-4
1583285979175,7.654837E-4,-3.3173338E-4,-5.5235066E-4
1583285979225,0.0010061077,-9.6300524E-4,-3.1705853E-4
1583285979275,7.3985185E-4,-7.223813E-4,-6.6857133E-4
1583285979325,2.3298373E-4,-5.5574253E-4,7.028831E-5
1583285979374,1.7244194E-4,3.0201953E-4,-2.6284438E-4
1583285979425,6.294685E-4,-5.863663E-4,-2.9771868E-4
1583285979475,2.3298373E-4,1.6727997E-4,-2.8960174E-4
1583285979525,-7.8568095E-4,-5.419217E-4,-3.3328356E-4
1583285979575,-0.0037596026,-6.273226E-4,-6.0802605E-4
1583285979625,-7.7886414E-4,9.505884E-4,4.239492E-4
1583285979675,-3.6125595E-4,-0.0011748481,-0.0010666368
1583285979725,-1.0766473E-4,1.938222E-4,-3.6709476E-4
1583285979775,0.0011700852,-1.8623611E-4,-6.284313E-4
1583285979825,2.3298373E-4,-5.825339E-4,-0.0010303771
1583285979875,6.896503E-4,-4.798826E-5,-7.700366E-4
1583285979925,2.3298373E-4,1.361696E-4,-2.9645627E-4
1583285979975,2.3298373E-4,-2.648877E-4,-6.942032E-4
1583285980025,9.745484E-4,-0.0012548813,-7.6767243E-4
1583285980075,7.654837E-4,-2.675876E-4,-8.3996914E-5
1583285980125,2.3298373E-4,1.5606545E-4,-7.7692326E-4
1583285980175,-6.895802E-4,-5.799453E-4,2.2836076E-4
1583285980225,6.3180446E-4,6.077597E-4,6.032549E-5
1583285980275,-7.0411724E-4,-6.309068E-4,2.7932227E-4
1583285980325,2.3298373E-4,-1.898813E-4,-2.9784953E-4
1583285980375,2.3298373E-4,2.376521E-4,-6.942032E-4
1583285980425,2.3298373E-4,-9.874627E-4,-0.0010929937
1583285980475,6.594105E-4,-7.223813E-4,-7.662689E-5
1583285980525,2.3298373E-4,-0.0016240105,-4.063691E-4
1583285980575,6.521117E-4,-0.001765389,2.3543276E-4
1583285980625,-5.512391E-4,1.9919686E-4,-2.990584E-4
1583285980675,2.1722156E-4,3.4261867E-4,-5.1547773E-5
1583285980725,-1.665355E-4,2.0963792E-4,-4.1055307E-4
1583285980775,2.3298373E-4,3.4268713E-4,-0.0012266347
1583285980825,-1.6210775E-4,-7.207561E-4,-6.942032E-4
1583285980875,2.3298373E-4,-1.9157492E-4,-5.5421377E-4
1583285980925,6.377519E-4,2.1014363E-4,3.7079677E-4
1583285980975,3.75552E-4,-0.001112313,2.2822851E-4
1583285981025,4.894062E-4,-1.898813E-4,-2.899142E-4
1583285981074,-6.8205816E-4,1.78379E-4,-6.942032E-4
1583285981125,6.27315E-4,-4.3571647E-4,1.2496207E-4
1583285981175,0.0011373571,-4.7232537E-4,-1.8110778E-4
