Time,rotX,rotY,rotZosboxe
1583288189462,0.010068139,-3.9355114,1.0266706
1583288189513,-0.3346323,-2.0839286,0.79538804
1583288189563,-0.23444608,-0.50192827,-0.16806391
1583288189612,0.110418536,0.44938144,-0.97860533
1583288189663,0.13506205,2.3572896,-1.6767801
1583288189712,-0.13127679,4.610246,-2.573322
1583288189763,-0.08746376,5.863104,-3.270598
1583288189813,-0.43312532,6.4310007,-3.4442475
1583288189863,-1.4032674,6.4894366,-3.332556
1583288189912,-1.156222,6.125989,-2.9297748
1583288189963,0.17947999,5.1463976,-2.5877595
1583288190012,0.93073744,3.2685683,-2.01929
1583288190063,1.1916536,1.0854024,-1.4539082
1583288190113,0.34787893,-1.9231405,-0.42814824
1583288190163,0.14159524,-1.194467,0.76651764
1583288190213,-1.2492758,-2.652126,1.3196809
1583288190263,-0.87029904,-3.5991528,1.469107
1583288190313,-0.69485235,-4.166847,1.5220994
1583288190363,0.14138928,-4.774218,1.9664036
1583288190412,0.886366,-5.344888,2.654976
1583288190462,1.7419722,-5.3618555,3.3848772
1583288190513,2.0450013,-4.612677,3.8979697
1583288190563,1.7179488,-4.0371747,3.591117
1583288190612,0.9343259,-2.9016154,2.0940385
1583288190663,0.5481384,-0.9939472,0.056510173
1583288190713,0.81947803,0.57181525,-1.1670375
1583288190763,0.25515074,1.989392,-2.1174815
1583288190813,-0.34452087,3.2983606,-2.8971326
1583288190863,-0.88744104,4.6439404,-3.6338966
1583288190913,-1.2266109,5.632066,-3.9173622
1583288190963,-1.3406578,6.044344,-3.827057
1583288191012,-1.2241973,6.06112,-3.5509233
1583288191063,0.5639518,5.3691783,-2.9422534
1583288191112,2.31316,4.018138,-2.5049517
1583288191163,3.548346,1.8365388,-1.9545212
1583288191212,1.9433148,0.27357557,-1.1146923
1583288191263,-0.23736864,-0.7964879,0.51587236
1583288191312,-1.1249168,-1.2598697,0.8399288
1583288191362,-2.3261247,-2.6114695,1.698624
1583288191413,-1.3982533,-3.6717825,2.1557977
1583288191462,-0.41240257,-4.2485495,2.4613957
1583288191513,0.40579492,-4.5162644,3.168217
1583288191563,1.294049,-4.3105607,4.0043173
1583288191612,0.6770665,-3.908564,4.534748
1583288191662,1.3740815,-3.5672343,4.699109
1583288191713,1.7691653,-3.0921352,4.8138704
1583288191762,0.787679,-2.9184136,3.9547355
1583288191813,0.40602478,-2.3921223,1.3853819
1583288191863,1.6896966,-1.1891947,-0.801278
1583288191912,1.0461138,-0.4742063,-1.6971555
1583288191963,0.61356634,1.0194266,-2.5150442
1583288192012,0.59295565,1.8297526,-3.2459025
1583288192063,0.72602665,2.366175,-4.152628
1583288192112,-0.8562704,3.4901018,-4.9161434
1583288192162,-2.0449462,4.33164,-5.2611995
1583288192213,-2.0967698,4.656674,-5.065685
1583288192263,-1.6174884,4.5371313,-4.0164933
1583288192312,-0.27320015,3.8411064,-2.678679
1583288192363,1.1170145,2.8433368,-2.370047
1583288192412,1.1141815,1.8486562,-2.4173498
1583288192463,1.2923102,0.93210655,-2.2444906
1583288192513,2.5253408,-2.2567248,-0.6263846
1583288192563,1.9551396,-0.9900024,-0.5609318
1583288192612,-0.6409344,-1.3064036,-1.0198715
1583288192662,-0.28515655,-1.1085377,-1.1827673
1583288192712,-0.31351846,0.14851853,-1.2483268
1583288192762,-1.0097643,0.4822343,-1.1878289
1583288192812,-1.4929265,0.5307923,-0.82886857
1583288192862,-1.7954619,0.59297234,-0.30557328
1583288192912,-1.6177918,0.86823386,-0.15926655
1583288192962,-1.2725799,0.90117294,-0.11953594
1583288193013,-1.0852948,0.69963056,0.17447175
1583288193063,-0.356184,0.15570131,0.34533548
1583288193113,-0.6227228,0.070577085,0.29517493
1583288193162,-0.39648953,0.27850994,0.001052517
1583288193212,-0.58439493,0.17723979,-0.018378597
1583288193263,-0.71825355,0.13754068,0.023483641
1583288193313,-0.75887865,0.05566879,-0.004706898
1583288193362,-0.78425324,0.045896966,-0.012276739
1583288193413,-0.7145038,0.07975057,-0.060966022
1583288193462,-0.34849575,0.011961189,-0.054122485
1583288193512,-0.14259991,-0.15733227,-0.030354764
1583288193562,-0.22289376,-0.28491244,-0.06612162
1583288193613,0.07261453,-0.5443726,-0.11140124
1583288193663,0.1547815,-0.6919791,-0.1324558
1583288193712,0.1726929,-0.5483054,-0.17326826
1583288193763,0.27869767,-0.28766444,-0.11830403
1583288193812,0.1704589,-0.010914045,-0.032060314
1583288193863,-0.31390807,0.21608251,0.02298228
1583288193912,-0.38093778,0.2365408,0.019230403
1583288193963,-0.22561514,0.14038558,0.01608457
1583288194013,-0.23013532,0.0734893,0.022521276
1583288194063,-0.35607356,0.034085054,0.02302736
1583288194113,-0.40276513,0.0395502,0.026462894
1583288194163,-0.23919417,0.022524148,0.017810982
1583288194212,-0.1553894,0.006188982,0.0033640163
1583288194262,-0.19745545,-0.006338261,0.024694376
1583288194313,-0.06811597,0.003471652,0.0084034195
1583288194362,-0.05146467,0.0063824304,0.0060930494
1583288194413,-0.037829254,9.3728537E-4,0.0072330767
1583288194463,-0.00354711,0.0072814412,0.010248947
1583288194513,0.016023725,0.0053169737,0.009377478
1583288194562,0.054228578,-0.0010287138,0.007218674
1583288194612,0.03960984,-0.004387714,0.0065725567
1583288194662,0.03532485,-0.010777715,0.0042948723
1583288194712,0.024728542,-0.0051633017,0.010681803
1583288194763,0.017573437,0.0067298785,0.008800324
1583288194813,0.051150396,0.0036667385,0.009337921
1583288194863,0.033385515,0.0073975073,0.0050185453
1583288194913,0.031658206,0.0060104597,0.006667841
1583288194962,0.0020586126,0.0033784835,0.0035019042
1583288195012,-0.036802847,0.0069579636,0.0034437804
1583288195062,-0.045791313,0.011331154,-0.0011299152
1583288195112,-0.043016795,0.005904368,-0.009677731
1583288195163,-0.06696338,0.0021881983,-0.009845985
1583288195212,-0.08068767,-0.0076786503,-0.006280414
1583288195262,-0.024958108,-0.0120437825,-0.012925295
1583288195313,-0.027623305,-0.01360214,-0.011143617
1583288195363,-0.03868032,-0.010345268,-0.01707057
1583288195412,-0.038194057,-0.0013625044,-0.022348851
1583288195463,-0.045242816,-5.904725E-4,-0.012301382
1583288195513,0.00528081,-0.0013018819,-0.0027782524
1583288195563,0.054571696,0.010020686,0.004543702
1583288195613,0.11131171,0.008164365,0.010710049
1583288195662,0.096259676,0.0022639781,0.014724794
1583288195713,0.050618526,0.003731401,0.016593102
1583288195763,0.063379705,-0.0016291831,0.020618647
1583288195812,0.04772401,-0.0053848512,0.024977379
1583288195863,0.02692529,0.008804281,0.010615098
1583288195913,0.030257551,0.005285873,0.013285176
1583288195962,0.044825356,0.0032837423,0.009986646
1583288196013,0.048274174,0.0051972857,0.0019764104
1583288196063,0.041573364,0.0051972857,0.0014619478
1583288196112,0.035036713,0.0047060926,-3.6428403E-4
1583288196163,0.025702965,0.005654751,-7.506651E-4
1583288196213,0.017508935,0.0041997437,5.843728E-4
1583288196262,0.015330011,0.0030672858,-0.0037616177
1583288196312,0.017443342,0.00408076,-0.008915372
1583288196363,0.015986899,0.0036440683,-0.012361724
1583288196413,0.019414572,0.0041137133,-0.014273325
1583288196462,0.013952956,0.004694352,-0.011910431
1583288196512,0.009363785,0.004631802,-0.010575392
